index	input_data_loc	output_data_loc
400	Data S1, Data S2, Data S3, Data S4, Data S5, Data S6	['data s1', 'data s2', 'data s3', 'data s4', 'data s5', 'data s6']
442	Data S1, Data S3, Data S4, Data S5	['data s1', 'data s3', 'data s4', 'data s5']
672	Extended Data Fig. 4	['extended data figure 4']
955	Fig 2 B, Fig 3 A, Fig 4 A	['figure 2b', 'figure 3a', 'figure 4a']
1333	Figure 1 and Extended Data Figure 1	['figure 1', 'extended data figure 1']
1416	Figure 1 and PDB 1WCB	['figure 1', 'pdb 1wcb']
1668	Figure 1 and Supplementary Figure 8	['figure 1', 'supplementary figure 8']
3794	Figure 1, Supplementary Figures 3 and 4	['figure 1', 'supplementary figure 3', 'supplementary figure 4']
4066	Figure 1, Table 1 and Figure S1	['figure 1', 'table 1', 'figure s1']
4421	Figure 1, Table S1 and PDB 6Q3K	['figure 1', 'table s1', 'pdb 6q3k']
5018	Figure 17	['figure 17']
5043	Figure 1A and Supplemental Figure S1	['figure 1a', 'supplemental figure s1']
5123	Figure 1A, 5, 7, 8 and 9	['figure 1a', 'figure 5', 'figure 7', 'figure 8', 'figure 9']
5448	Figure 1B,C and Supplemental Fig. 3, 4	['figure 1b', 'figure 1c', 'supplemental figure 3', 'supplemental figure 4']
5502	Figure 1C and Supplementary Figure 1	['figure 1c', 'supplementary figure 1']
5595	Figure 1C, Table 2	['figure 1c', 'table 2']
5599	Figure 1C, Table S1, and PDB 5NUZ	['figure 1c', 'table s1', 'pdb 5nuz']
6268	Figure 2 and Supplementary Figure 1 Figure 4	['figure 2', 'supplementary figure 1 figure', 'supplementary figure 4']
7144	Figure 2, 4, Table 2 and PDB 5KSA	['figure 2', 'figure 4', 'table 2', 'pdb 5ksa']
7855	Figure 2, Supplemental Figure S1	['figure 2', 'supplemental figure s1']
7868	Figure 2, Supplemental Figures 4, 11 and Supplemental Figure 5	['figure 2', 'supplemental figure 4', 'supplemental figure 11', 'supplemental figure 5']
10046	Figure 3 and PDB 3R08	['figure 3', 'pdb 3r08']
10116	Figure 3 and Supplemental Figure 1	['figure 3', 'supplemental figure 1']
10131	Figure 3 and Supplemental Figure S4	['figure 3', 'supplemental figure s4']
10299	Figure 3 and Supplementary Material Fig. S1	['figure 3', 'figure s1']
10331	Figure 3 and Supplementary Table S4	['figure 3', 'supplementary table s4']
11389	Figure 3, S5, Supplementary Table S2 and PDB 4QXT	['figure 3', 'figure s5', 'supplementary table s2', 'pdb 4qxt']
12295	Figure 3, Table S1 and PDB 3D25	['figure 3', 'table s1', 'pdb 3d25']
13195	Figure 3e and 5	['figure 3e', 'figure 5']
13641	Figure 4 and Supplementary Table S2	['figure 4', 'supplementary table s2']
13714	Figure 4 and Table S1	['figure 4', 'table s1']
14320	Figure 4, FIgure 5	['figure 4', 'figure 5']
15228	Figure 4, Table S2 and PDB 7SD5	['figure 4', 'table s2', 'pdb 7sd5']
15417	Figure 4, Tables S-6, S-7 and PDB 6BXQ	['figure 4', 'table 6', 'table 6s', 'table 7', 'table 7s', 'pdb 6bxq']
15900	Figure 5 and S2 Fig.	['figure 5', 'figure s2 figure']
16028	Figure 5 and Supplementary Material Figure S1	['figure 5', 'figure s1']
16056	Figure 5 and Supplementary Tables 9, 10 and 11	['figure 5', 'supplementary table 9', 'supplementary table 10', 'supplementary table 11']
16088	Figure 5 and Table 7	['figure 5', 'table 7']
16357	Figure 5, Extended Data Figure 9, Table S4 and PDB 7X6A	['figure 5', 'extended data figure 9', 'table s4', 'pdb 7x6a']
16516	Figure 5, Supplemental Figure 3, Supplemental Table 1 and PDB 6Z9V	['figure 5', 'supplemental figure 3', 'supplemental table 1', 'pdb 6z9v']
17042	Figure 5, Table 2 and PDB 3K3Q	['figure 4', 'table 4', 'pdb 12k12q']
17620	Figure 6 A	['figure 6a']
17966	Figure 6, Extended Data Table 3, and PDB 7TR4	['figure 6', 'extended data table 3', 'pdb 7tr4']
18045	Figure 6, S5, S6, Table S2 and PDB 7R8L	['figure 6', 'figure s5', 'figure s6', 'table s2', 'pdb 7r8l']
19231	Figure 8, Table 1 and PDB 7EJM	['figure 8', 'table 1', 'pdb 7ejm']
19459	Figure S1 and Table S1	['figure s1', 'table s1']
20275	Figures  3 and 4	['figure 3', 'figure 4']
20393	Figures 1 and 2 and Supplementary Figures 6 and 8	['figure 1', 'figure 2', 'supplementary figure 6', 'supplementary figure 8']
20777	Figures 1 and 3 and Tables 2 and 3	['figure 1', 'figure 3', 'table 2', 'table 3']
22049	Figures 1, 2, 3,  5 and 6	['figure 1', 'figure 2', 'figure 3', 'figure 5', 'figure 6']
22626	Figures 1, 2, 3, 4, 5, 6, and 7, table 1	['figure 1', 'figure 2', 'figure 3', 'figure 4', 'figure 5', 'figure 6', 'figure 7', 'table 1']
25355	Figures 1, 2, 3, S1, S8, S9 and Table 2	['figure 1', 'figure 2', 'figure 3', 'figure s1', 'figure s8', 'figure s9', 'table 2']
26873	Figures 1, 2, 4, Table S2 and PDB 6PY2	['figure 1', 'figure 2', 'figure 4', 'table s2', 'pdb 6py2']
27657	Figures 1, 2, and 3, Tables I, II, III, and IV	['figure 1', 'figure 2', 'figure 3', 'table 1', 'table 2', 'table 3', 'table 4']
27691	Figures 1, 2, and 4 and Tables 2 and 4.	['figure 1', 'figure 2', 'figure 4', 'table 2', 'table 4']
28017	Figures 1, 2, S1, S2	['figure 1', 'figure 2', 'figure s1', 'figure s2']
28224	Figures 1, 2, S1, Table S1 and PDB 7TY0	['figure 1', 'figure 2', 'figure s1', 'table s1', 'pdb 7ty0']
28715	Figures 1, 2, Supplementary Table 1 and PDB 4HJJ	['figure 1', 'figure 2', 'supplementary table 1', 'pdb 4hjj']
28820	Figures 1, 2, Table 1 and PDB 1NMC	['figure 1', 'figure 2', 'table 1', 'pdb 1nmc']
30826	Figures 1, 3, S1, S3 and Tables S2 and S3	['figure 1', 'figure 3', 'figure s1', 'figure s3', 'table s2', 'table s3']
31556	Figures 1, 4, 5, 6, S1, S5 and Table S1	['figure 1', 'figure 4', 'figure 5', 'figure 6', 'figure s1', 'figure s5', 'table s1']
31746	Figures 1, 4, 6, and 7 and Tables 2, 3, and 5	['figure 1', 'figure 4', 'figure 6', 'figure 7', 'table 2', 'table 3', 'table 5']
31859	Figures 1, 4, and S1	['figure 1', 'figure 4', 'figure s1']
32175	Figures 1, 4, Table 1 and PDB 5FDW	['figure 1', 'figure 4', 'table 1', 'pdb 5fdw']
32274	Figures 1, 5 and 9	['figure 1', 'figure 5', 'figure 9']
32325	Figures 1, 5 and Table 3	['figure 1', 'figure 5', 'table 3']
32444	Figures 1, 5, 6, S6, S8, S9 and S10	['figure 1', 'figure 5', 'figure 6', 'figure s6', 'figure s8', 'figure s9', 'figure s10']
32580	Figures 1, 5, S2 and Table S2	['figure 1', 'figure 5', 'figure s2', 'table s2']
32632	Figures 1, 5, Supplementary Figure S2	['figure 1', 'figure 5', 'supplementary figure s2']
32777	Figures 1, 6, 7, and Supplemental Figures 2a, 5, and 6	['figure 1', 'figure 6', 'figure 7', 'supplemental figure 2a', 'supplemental figure 5', 'supplemental figure 6']
33709	Figures 1, S2, S3, Table S1 and PDB 3EFF	['figure 1', 'figure s2', 'figure s3', 'table s1', 'pdb 3eff']
34032	Figures 1, S4 and Table S2	['figure 1', 'figure s4', 'table s2']
34292	Figures 11 and S3 and Tables 1 and S4	['figure 11', 'figure s3', 'table 1', 'table s4']
34370	Figures 1-3, Table 2	['figure 1', 'figure 3', 'table 2']
35541	Figures 1E, 3, 4D and 4F	['figure 5e', 'figure 18', 'figure 233d', 'figure 233f']
36444	Figures 2, 10, Supplementary Figure 1	['figure 2', 'figure 10', 'supplementary figure 1']
36743	Figures 2, 3 Table S1	['figure 2', 'table 3 table', 'table s1']
37790	Figures 2, 3, 4, 5, S2, S3, S4, Tables S3, S4 and PDB 7KFH	['figure 2', 'figure 3', 'figure 4', 'figure 5', 'figure s2', 'figure s3', 'figure s4', 'table s3', 'table s4', 'pdb 7kfh']
38219	Figures 2, 3, 4, and 5 and Tables 2, 3, 4, and 5	['figure 2', 'figure 3', 'figure 4', 'figure 5', 'bleta 2', 'bleta 3', 'bleta 4', 'bleta 5']
38447	Figures 2, 3, 4, S2, S3, S4, S5, S6, S7, S8, Table S3 and PDB 2QAD	['figure 2', 'figure 3', 'figure 4', 'figure s2', 'figure s3', 'figure s4', 'figure s5', 'figure s6', 'figure s7', 'figure s8', 'table s3', 'pdb 2qad']
40990	Figures 2, 3, Supporting Figures 2, 3, Supporting Table 2 and PDB 6Q0L	['figure 2', 'figure 3', 'supporting figure 2', 'supporting figure 3', 'supporting table 2', 'pdb 6q0l']
41931	Figures 2, 4, and 5 and Supplementary Figures 2 and 4	['figure 2', 'figure 4', 'figure 5', 'supplementary figure 2', 'supplementary figure 4']
42190	Figures 2, 4, S6 and S7	['figure 9', 'figure 12', 'figure s150', 'figure s50']
42285	Figures 2, 4, Supplementary Figures 1 and 2 and Supplementary Table 1	['figure 2', 'figure 4', 'supplementary figure 1', 'supplementary figure 2', 'supplementary table 1']
42513	Figures 2, 5 and 9	['figure 2', 'figure 5', 'figure 9']
43555	Figures 2, S1, Tables S1, S2, S3, and PDB 6PLK	['efigur 2', 'efigur s1', 'table s1', 'table s2', 'table s3', 'pdb 6plk']
44210	Figures 2, S4, Table S3 and PDB 5MEV	['figure 2', 'figure s4', 'table s3', 'pdb 5mev']
44355	Figures 2, S7, S8, S9, Table S5 and PDB 7Y7J	['figure 2', 'figure s7', 'figure s8', 'figure s9', 'table s5', 'pdb 7y7j']
44536	Figures 2-5, Table 2	['figure 2', 'figure 5', 'table 2']
47528	Figures 3, 4, 6, Supplementary Figure 4, Supplementary Tables 1, 2 and PDB 8GV6	['figure 3', 'figure 4', 'figure 6', 'supplementary figure 4', 'supplementary table 1', 'supplementary table 2', 'pdb 8gv6']
47561	Figures 3, 4, 6, Tables 1, S2 and PDB 6OCA	['figure 3', 'figure 4', 'figure 6', 'table 1', 'table s2', 'pdb 6oca']
47847	Figures 3, 4, and S1, Table S1	['figure 3', 'figure 4', 'figure s1', 'table s1']
47981	Figures 3, 4, S2, and S3	['figure 3', 'figure 4', 'figure s2', 'figure s3']
48131	Figures 3, 4, S3, Table S2, Data S1 and PDB 7UZ5	['figure 3', 'figure 4', 'figure s3', 'table s2', 'data s1', 'pdb 7uz5']
48757	Figures 3, 4, Tables 1, 2 and PDB 4NNP	['figure 3', 'figure 4', 'table 1', 'table 2', 'pdb 4nnp']
