h_age,occurrences
NULL,3429209
"19 to 83 years",120324
"33 years",112083
"1 year",89060
67,66504
"53 years",54066
"58 years",47545
"19-60 years",43852
"young and old",40186
old,40186
33,39009
"25 to 87 years",31715
42,25670
"11 years",21674
"69 years",13622
"45 years",13494
"31 years",11509
"48 years",9254
Fetus,8069
"30 years",7929
"80 years old",7850
adult,6590
"51 years old",6462
"67 years",6403
"12 weeks",6096
"82 years",6048
"24 to 82 years",5070
"38 years",4946
"6-8 weeks",4538
"37-91 years old",4370
"8 to 10 weeks",3942
"65 years",3800
"64 years old",3561
"54 years",3531
"7-8 weeks",3294
"24 years old",3288
"60 years",3237
"75 years",2807
"25-54 years",2705
"30-50 years-old",2603
"60 years old",2510
"43 years",2219
"6 years",2190
"12 to 51 years",2164
"8-20 weeks",2031
"59 years",1874
"8 years",1660
"61 years",1631
"5-8 weeks",1436
"56 years",1319
"22-49 years",1230
"40 years",1180
"0 years",851
"6 months to 15 years",705
"2 years",667
"37 to 70 years",606
"21-57 years",606
"> 50 years",585
"35-76 years",525
"8-12 weeks",509
"4 days - 9 months",460
"35-87 years old",456
"51 years",425
"10 years",419
"7-9 weeks old",416
"8-10 weeks old",346
"5 months to 5 years",279
"40 to 72 years",267
neonatal,242
"35 years",238
50,183
"37-70 years",181
"12-43 years",164
"26-41 years",151
"6 to 8 weeks",147
"7-11 weeks",129
"52 years",124
"36 years",93
"31-88 years old",81
"25-73 years",78
"8-10 weeks",43
"16 years",42
"6-12 weeks",40
"60-64 years",40
"49 years",40
37,30
"6 weeks",23
"63 years",23
middle-aged,14
63,14
"9-52 years",13
"74 years",7
"27 +/- 6 years",6
57,6
"73 years",5
"2-3 months",4
60,4
55,3
pediatric,3
"50 years",2
"55-85 years",2
59,2
66,2
65,2
"39 years",2
"57 years",2
64,2
68,2
71,2
78,2
86,2
87,2
89,2
90,2
91,2
92,2
94,2
95,2
96,2
97,2
101,2
38,2
39,2
40,2
44,2
45,2
47,2
48,2
49,2
51,2
52,2
56,2
"22 years",1
"2 weeks",1
"6 to 10 weeks",1
"8 weeks",1
"7 months",1
"6 months to 5 years",1
"5 years",1
"66 years",1
55-74,1
69,1
70,1
72,1
73,1
74,1
75,1
76,1
"81 years",1
77,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
88,1
93,1
98,1
99,1
100,1
41,1
43,1
46,1
53,1
54,1
58,1
61,1
62,1
26,1
"7 years",1
