h_age,occurrences
NULL,3355685
"33 years",105135
"1 year",89060
67,66500
"53 years",54066
"58 years",47545
"young and old",40186
old,40186
"25 to 87 years",31715
42,25669
"11 years",21674
"69 years",13622
"45 years",13494
"31 years",11509
"48 years",9254
Fetus,8069
"30 years",7929
"80 years old",7850
Adult,6590
"51 years old",6462
"67 years",6403
"12 weeks",6096
"82 years",6048
"24 to 82 years",5070
"38 years",4946
"6-8 weeks",4538
"37-91 years old",4370
"8 to 10 weeks",3942
"65 years",3800
"64 years old",3561
"54 years",3531
"24 years old",3288
"60 years",3237
"7-8 weeks",3219
"75 years",2807
"25-54 years",2705
"30-50 years-old",2603
"60 years old",2510
"43 years",2219
"6 years",2190
"12 to 51 years",2164
"8-20 weeks",2031
"59 years",1874
"8 years",1660
"61 years",1631
"5-8 weeks",1436
"56 years",1319
"22-49 years",1230
"40 years",1180
"0 years",851
"6 months to 15 years",705
"2 years",667
"37 to 70 years",606
"21-57 years",606
"> 50 years",585
"35-76 years",525
"8-12 weeks",509
"4 days - 9 months",460
"35-87 years old",456
"51 years",425
"10 years",419
"7-9 weeks old",416
"8-10 weeks old",346
"5 months to 5 years",279
"40 to 72 years",267
neonatal,242
"35 years",238
"37-70 years",181
50,181
"12-43 years",164
"26-41 years",151
"6 to 8 weeks",147
"7-11 weeks",129
"52 years",124
"36 years",93
"31-88 years old",81
"25-73 years",78
"8-10 weeks",43
"16 years",42
"6-12 weeks",40
"60-64 years",40
"49 years",40
"6 weeks",23
"63 years",23
middle-aged,14
"9-52 years",13
63,12
"74 years",7
"27 +/- 6 years",6
"73 years",5
"2-3 months",4
pediatric,3
"57 years",2
60,2
"50 years",2
"55-85 years",2
"39 years",2
"7 years",1
"22 years",1
"7 months",1
"6 months to 5 years",1
"5 years",1
66,1
65,1
59,1
"66 years",1
"8 weeks",1
26,1
"81 years",1
"2 weeks",1
"6 to 10 weeks",1
