h_age,occurrences
NULL,260365
"6-8 weeks",25850
"18-40 years old",24877
"20-65 years-old",21188
"22-53 years",8350
"21-55 years",8350
"6 to 8 weeks",5262
"21-76 years",5176
"8-12 weeks",4646
"8-10 weeks",4466
"0-18 years",3864
"57 years",3744
"18-65 years",3518
"8 weeks",3378
"44 years",3253
"6-12 weeks",3251
"6 weeks",2743
"8 to 10 weeks",2635
"23-61 years",2360
Adult,2352
"25-80 years",2242
"5-7 weeks",2205
"6-10 weeks",1798
"20-58 years-old",1644
"61 years",1643
"8 to 12 weeks",1623
"4 weeks",1602
"18-60 years",1586
"49 years old",1417
"4-6 weeks",1369
"6 - 8 weeks",1298
"20-46 years",1284
"21 to 66 years",1273
"19 to 91 years",1239
"19 to 65 years",1201
"7 to 62 years",1185
Adults,1178
"19- 95 years",1173
"5 weeks",1145
"6 to 10 weeks",1062
"12 weeks",1057
"23-66 years",1047
"20-26 years",1026
"51 years old",1017
"27-64 years",1002
"33-45 years",919
"2-6 months",883
"Mean: 29 years",853
"Mean: 30 years",853
"5-8 weeks",846
14-56,840
"5-6 weeks",824
"6-8 weeks old",795
"31-70 years",784
"12-16 weeks",772
"6-16 weeks",747
"average 48 years",720
"63 years",706
"18-50 years",693
"7-8 weeks",672
"2-4 months",644
"2 months",637
"6 to 12 weeks",637
"21-92 years",628
"21-56 years",626
"5 to 8 weeks",591
"7-10 weeks",588
"12 +/- 2 weeks",586
"10 weeks",581
"18-62 years",578
"23-95 years",578
"21-82 years",578
"3 weeks",574
"19-77 years",568
"18-60 years-old",567
"7-9 weeks",557
"26-45 years",552
"6-7 weeks",536
"1-25 years",522
"8-16 weeks",516
"20 to 69 years",506
Calves,496
"20-39 years",489
"7 weeks",487
"> 50 years",486
"20-63 years",484
"21-75 years",479
"65 years",471
"23 to 55 years",469
"27-40 years",465
"10 to 14 weeks",459
"26-39 years",451
"18-51 years",450
"26-62 years",450
"19 to 36 years",439
"6 to 7 weeks",439
"55 years",436
"25-78 years",433
"2-3 months",409
"32- 53.5 years",409
"30-59 years",400
"21 to 70 years",399
"7-8 months",398
"5 to 6 weeks",396
"20-45 years",381
"41 to 75 years",376
"40 to 73 years",376
"21 to 77 years",376
"21 to 67 years",372
"5 to 19 weeks",366
"18-68 years",357
"6-20 weeks",357
"18-56 years",349
"3-8 months",349
"7-12 weeks",337
"> 6 weeks",320
"23-39 years",320
"56 years",311
"4-16 years old",311
"67 years",311
56-63,300
"27-57 years",300
"8-14 weeks",298
"43 years",298
58-75,297
"4-8 weeks",295
"7 to 9 weeks",293
"51 years",291
"22 - 64 years",290
"32-74 years",287
"53 years",282
"20-60 years",282
"4 to 6 weeks",281
">50 years-old",279
"23-52 years",277
"4-5 weeks",276
70,276
"6 to 8 weeks old",275
"41 and 43 years",274
"6-10 weeks-old",272
"21 to 53 years",271
"1 day",264
