h_age,occurrences
NULL,1068171
"19-83 years",69106
"23-84 years",68961
"55.9 to 76.9 years",14710
"54.8 to 72.4 years",14710
"55.2 to 65.2 years",9147
"6-8 weeks",7259
"> 20 years",6995
"6 weeks",6772
"21-85 years",6548
"17-59 years",6526
"35-87 years",5401
"7 to 11 years",5274
"28 to 54 years",3991
"29 to 52 years",3991
"28 to 52 years",3990
"8 weeks",3393
Adult,3368
"19 to 47 years",3307
"36-63 years",3235
"49-72 years",3235
"36 +/- 10 years",3056
"43 +/- 12 years",3056
"6 to 8 weeks",2272
"12-58 years",2024
"18-40 years",2024
"4 weeks",1963
"26-85 years",1945
"31-45 years",1944
"9-17 years",1590
"4-6 weeks",1408
"3 months",1231
"14-50 years",1170
"22-75 years",1105
"8-12 weeks",1025
"11-83 years",1014
"4 to 6 weeks",974
"8 months to 54 years",929
"3-15 years old",830
"8-10 weeks",811
"8-9 years",794
"6 weeks old",766
"6-16 weeks",740
"5-6 weeks",719
"5 weeks",713
"6-8 weeks old",693
"70 years",632
"4-18 years",629
"19 to 66 years",624
"14 and younger",616
"10 weeks",612
"18-55 years",602
adult,576
"6 - 8 weeks",524
"mean = 45 years",493
"mean = 48 years",493
"2 months - 12 years",482
"5 to 11 months",480
"3-48 years old",439
"7 weeks",436
Adults,412
"2 to 65 years",407
"35 years",402
"5-7 weeks",398
"8 to 10 weeks",386
"32 years",384
"8 to 12 weeks",372
"23-45 years",365
"29-71 years",345
"7-8 weeks",337
"3-70 years old",335
"5-8 weeks",322
"1-17 years",311
"4 to 7 week-old",301
"8 to 10 months",294
"1-12 years",286
"4-5 weeks",285
"6-10 weeks",276
"1-16 years",272
"12 weeks",271
Children,268
"6 months",268
"7-9 weeks",266
"18-50 years",265
"4-11 months",255
"6-7 weeks",255
"18 to 66 years",254
"2 months",254
"27 to 65 years",253
"6 to 8 months",253
"9 weeks",248
"7-9 wks",244
"51 years",231
"over 18 years",230
"60 years",227
"14 weeks",227
"31 years",220
"26-30 years",214
"26 to 55 years",213
"6 -12 weeks",211
"1 year",209
"mean 6.6 years",207
"8-9 weeks",201
"3 years",201
"8 months",198
"21-25 years",198
"10-12 weeks",193
"4 weeks old",192
"34-96 years",185
"3 weeks old",184
"20-80 years",182
"1-5 years old",182
"3 weeks",181
"34 years",179
"2.5-16 years",178
"6 years",175
"2 to 16 years",174
"6-9 weeks",173
"18-70 years",173
"21-51 years",173
"19.7 to 63.3 years",172
"19.5 to 60.2 years",172
Infant,170
"26 years",170
"56 years",169
"18-27 years",166
"median 54 years",161
"median 55 years",161
"21 to 76 years",161
"36 years",158
"44-52 weeks",158
"4 - 6 weeks",157
"> 18 years",154
"17-68 years",154
"19 to 45 years",154
"19-77 years",152
"12-24 month old",152
"28 years",151
"3-week old",150
"6 months to 14 years",148
"18-45 years",147
"55 years",147
"40 years",147
"53 years",146
"8 weeks old",144
"3-9 years",141
"6 to 10 weeks",141
"16-20 years",140
"2-3 months",140
"5 years",139
"19-74 years",138
"18-69 years",137
"6 months - 9 years",136
"19-56 years",135
"52 years",134
"19-70 years",132
"22-74 years",132
"5 to 6 weeks",132
"35 to 40 days",130
"10-62 years",130
"33 to 71 years",129
"4-86 years",129
"6 month",127
"19-65 years",127
"4 to 45 years",124
"42 days",120
"33 to 81 years",119
"13 to 31 years",118
"45 to 55 years",118
"25 to 52 years",118
"54 to 70 years",117
"10-75 years",116
"33 years",116
"20 to 70 years",114
"36 to 66 years",114
"2-5 years",114
">/= 18 years",114
Juvenile,112
"1-10 years old",110
"20-29 years",110
"<21 years",108
"4-6 wks",107
"4-8 years",106
"30 to 45 years",106
"30-68 years",106
"6 months to 3 years",106
"38 years",105
"1 to 5 years",104
"3-4 months",104
"6-8 weeks-old",103
"11 months - 55 years",103
"29-96 years",103
"23-38 years",102
"16-83 years",101
"4-10 weeks",101
"15-48 years",100
"27 to 55 years",100
Infants,100
"4-15 years",99
"32 to 73 years",99
"4-6 months",99
"65 years",99
"23 to 89 years",98
"7 to 8 weeks",98
"21 years",97
"at least 2 months",96
"0- 59 years",96
"8-10 wo",94
77,93
38-73,93
"average age 54",92
"7-10 weeks",91
"17 to 24 years",90
"10 to 12 weeks",90
"45-65 years",90
"53-63 years",90
"52.7 +/- 10 years",88
"8 to 10 years",87
"10-14 weeks",86
"7-63 years",86
"4 months",86
"6-12 weeks",85
"7-12 months",85
"90 days",84
"8 to 9 weeks",83
"18 months",83
"25-76 years",83
children,83
"36-40 years",82
"2-65 years",82
"6 Weeks",82
"1-84 years old",82
"3-6 years",81
"> 12 weeks",81
"4 years",80
"6 - 9 months",79
"35-85 years",79
neonate,79
"4-8 weeks",78
8-9-weeks-old,78
"12-73 years",78
"32-79 years",76
"27 years",76
"8 years",76
"6 to 7 weeks",75
"10 to 66 years",75
"0.5 - 3 years",74
"average 30.2 years",72
6-7-week-old,72
"average 34.5 years",72
"51.4 +/- 18 years",71
"56.3 +/- 12.8 years",71
"87 years",71
"20-60 years",71
"21-73 years",70
"3-4 weeks",70
"21-70 years",70
"8 to 12 months",70
"123 days",69
"27 to 85 years",69
"0.2 to 18 years",69
"34-70 years",68
"0.3 to 12 years",67
"47 years",67
"7-10 years",67
"4-115 months",67
"3 to 4 months",66
"mean age = 48.94 years",66
"23 to 55 years",66
"19 to 36 years",66
"29-82 years",66
"6-8 Weeks",65
"18-85 years",65
"born before 1968",65
"50 years",64
"18-65 years",64
"2-54 years-old",63
"10 to 65 years",63
"3 to 14 years",63
"5 months",63
"6-40 years",62
"21-44 years",62
"6-62 years-old",62
"33 to 83 years",62
"6.5 to 11 years",62
"13-29 years",61
"8 mo to 35 years",61
"4 to 8 weeks",61
"26-72 years",61
"8-10 weeks old",60
"4-9 years",60
"54 years",59
"20-31 years",59
"22 to 32 years",59
"8 - 10 weeks",59
"18-60 years",58
"33 to 84 years",58
"1-34 years",58
"25 days",58
"53-81 years",58
"27 to 77 years",58
"11 weeks",57
Foals,57
"33 to 53 years",57
"25-62 years",57
"<16 years",56
"22-41 years",56
"17 to 39 years",56
"10-70 years",56
"4 to 18 years",56
"48-80 years",56
"74 years",56
"33-71 years",55
"39 to 82 years",54
"25-60 years",54
"6 to 12 weeks",53
"17-66 years",53
"21 to 56 years",52
"16-70 years",52
"19-80 years",52
"21-47 years",52
"2 to 3 years",52
"1.8-14.2 years",51
"Adults and children",51
"8-week old",51
"53-85 years",51
"6 week old",51
"1-1.5 years",51
"24-34 years",50
"18-38 years",50
"8-15 weeks",50
"6-10 weeks-old",50
"12 to 16 weeks",50
"98 to 140 days",50
"25 to 46 years",49
"25-50 years",49
"1-3 years",49
"8 weeks-old",49
"43.9 to 71.5 years",48
"35 to 52 years",48
"50-85 years",48
"18-38 years, with an average of 22 years",48
"3-5 weeks",48
"43 years",48
"57 to 75 years",48
"20 to 60 years",47
"0.75-15 years",47
"75 years",47
"57 years",47
"4-week old",47
"20-30 years",47
"12-88 years",46
"9-12 weeks",46
"43 days",46
"≥ 18 years",46
"3 to 5 months",46
"51-70 years",46
"39 years",46
"2-4 months",45
"58 years",45
Calves,45
"16 weeks",45
"45 years",45
"62.8 ± 10 years",44
"59 to 72 years",44
"16-76 years",43
"7-12 weeks",43
"8-46 years",43
"7 weeks old",43
"6 weeks-old",43
"52 to 77 years",42
"12 to 14 weeks",42
"46-96 years",42
"50 to 71 years",41
"4-10 years",41
"8-12 weeks-old",41
"71 years",41
"8-12 weeks old",41
"24-55 years",41
"5-11 years",40
"86 years",40
"6-7 weeks-old",40
"4-16 years",40
"49 years",40
"51-89 years",40
"8-14 weeks",39
"4-43 years",39
"Children and adults",39
"1 to 7 years",39
"0.8 to 81 years",39
"2 to 36 months",39
"18 years",39
"4 to 70 years old",39
"3 days",39
"22-79 years",38
"23-59 years",38
"12.9 +/- 7.7 years",38
"19-54 years",38
"2-3 weeks",38
"8-16 weeks",38
"2-13 years",38
"1-55 years",38
"35-84 years",38
"23 years",38
"3.1-18 years",37
"19-55 years",37
12-week-old,37
"10 to 72 years",37
"91-101 years",37
"9 months",37
"8-16 week",37
"1-6 years",36
"2-18 years",36
"17-71 years",36
"8 week-old",36
"38 to 76 years",36
"20-44 years",36
"24 to 60 years",36
"35 to 66 years",35
"2 weeks",35
"48 years",35
"6 months old",35
"9 to 12 weeks",35
"11 to 82",35
"40 to 41 years",35
"2 years",35
"29 years",35
"< 3 years",34
"6-10 weeks old",34
"61 years",34
"46-79 years",34
"5 to 38 years",34
"2-4 weeks",34
"10-66 yr",34
"22-42 years",34
"20 weeks",34
"More than 15 years",34
"16 to 41 years",34
"5-6 weeks old",33
"8 week",33
"45-72 years",33
14,33
"9-10 weeks",33
"26-55 years",32
"23-64 years",32
Three-month-old,32
"5 to 7 weeks",32
"37 years",32
"5-6 weeks-old",31
"12-14 weeks",31
"5 week",31
"7 to 36 years",31
"1-2 years",31
"31-66 years",31
"18-83 years",30
"16-84 years",30
"One week",30
"4-6 weeks old",30
"27-74 years",30
"median 9 years",30
"52 to 70 years",30
"1 to 66 years",30
57,30
"30 years",30
"64 years",30
"0-6 years",29
"8-30 years",29
"23 to 59 years",29
"4- to 6-week-old",29
"18 to 78 years",29
"14-15 weeks",29
"6-37 years",28
"20 to 66 years",28
"18 to 54 years",28
18-72,28
"19 months",27
"14 - 66 years",27
"12 to 54 years",27
"3-4 months-old",27
"8-18 years",27
"22 to 81 years",27
"2-11 years",27
"18 to 55 years",27
"1-9 years",27
"2-7 years",27
"10 months",27
"31–83 years",27
"17-57 years",27
"4 to 5 weeks",27
"23-69 years",27
"18 to 68 years",27
"5-18 years",27
"10 to 89 years",27
"4-54 years",26
"31-76 years",26
"23-39 years",26
"7 years",26
"1 week",26
"14-53 years",26
"54 to 85 years",26
"29-56 years",26
"25 weeks",25
"39-65 years",25
"2 to 3 months",25
"36.1 years (mean)",25
"Children <5 years old",25
"3.5-15 years",25
1.5-7years,25
"3-23 years",25
"26-51 years",25
"20-53 years",25
"39.0 +/- 13.8 years",25
"2-49 years",25
"37.0 +/- 12.6 years",25
"2 to 3 weeks",25
"35.5 +/- 12.8 years",25
"5-39 years",25
"63 years",25
"0.8-18.7 years",25
Ponies,25
"6 - 58 years",25
"45 to 51 years",24
"60-83 years",24
"22-52 years",24
"median 4 years",24
"33-66 years old",24
"22-59 years",24
"42 years",24
"18 to 65 years",24
"23-48 years",24
"20-49 years",24
"6-10 week",24
"13 years",24
"26 weeks",24
"19 years",23
"6-9 months",23
"4-7 years",23
"17-67 years",23
"31.63 +/- 1.37 years",23
"23-33 years",23
"54-78 years",23
"24.92 +/- 0.84",23
"6-17 years",23
"76 years",23
"15-50 years",23
"44 years",23
"up to 12 weeks old",22
"20-89 years",22
"36 to 85 years",22
"20-56 years",22
"38+/- 11 years",22
"46 years",22
"9 to 53 years",22
"24-95 years",22
"31 to 73 years",22
"28-65 years",22
"50-70 years",22
"25-67 years",22
"69 years",22
"13 to 29 years",21
"14 +/- 3 years",21
"mean age = 38.7 years",21
"18 to 70 years",21
"29 +/- 9 days",21
"15-69 years",21
"27-51 years",21
"22-70 years",21
"8 to 53 years",20
"24-45 years",20
"11-71 years",20
"18-66 years",20
"8-16 years",20
"5-10 weeks",20
"22 years",20
"18-74 years",20
"> 65 years",20
"4 months-30 years",20
"18-77 years",20
"28-56 years",20
"21 days",20
"3 weeks-15 years",20
"55-70 years",20
"25-43 years",20
"20 years",19
"1 month",19
"6-15 years",19
"17 to 82 years",19
"50 to 68",19
"8-12 wk",19
"1 to 6 years",19
"23-61 years",19
"4-6 weeks-old",19
"31-58 years",19
"4 to 54 years",19
"4 months- 4 years",19
"35-40 days",19
"20 to 40 years",19
"60-90 days old",19
"5-6 years",19
"10 to 13 weeks",19
