as_location,occurrences
"Author Provided",432470
NULL,206889
"Data File S1",37159
"Appendix A",15519
"Table 1",13317
"Figure 1",8420
"Supplementary Table S1 and PXD020818",7508
"Table 2",7243
"Supplemental Table 1",6604
"Supplementary File 1b and Figure 4-figure supplement 1",6232
PXD020818,4982
"Figure 2",4820
"Table 3",4119
"Figure 3",3995
"Supplemental Table 4",3792
"Table 4",3489
"Figure 4",3417
"Table I",3241
"Figure 5",2239
"Table S2",2111
"Table S4",1370
"Table II",1323
"Figure S1",1166
"Table 5",1075
"Figure 6",1031
"Figure 1 and Supplementary Table III",1016
"Dataset 1",957
"Table IV",943
"Table III",834
"Supplementary Table 1",833
"Table 6",805
"Supplemental Table 2",699
"Supplemental Material 1",672
"Table S1",666
"Table 8",644
"Supplementary material S1",641
"Table 7",597
"Supplementary Table 2",538
"Figure 3 and Text P. 1942",518
"Supplementary Table S1",472
"Figure 7",448
"Table 1 and figure 1",442
"Supplemental Data",442
"Tables I and II",434
"FIgure 1 and Table 1",355
"Supporting Information Table S1",324
"Table 9",321
"Figures 3, S5 and Table S3",308
"Figure 2 and Text P. 1940-1941",290
"Figure 1 and Table S2",290
"Figure 2B",283
"Supplementary Table S2",270
"Supplementary Figure S10",262
"Figure 2a",256
"Supplemental Table 1 and Figure 5",252
"Supplementary table",232
"Additional file 3",228
"Figure 1A",220
"Tables 4 and 5",214
"Cited Reference:  https://www.immunitrack.com/free-coronavirus-report-for-download/",207
"Table SV",189
"Tables 2, 3, S3 and Figure S6",189
"Table II and Supplementary Table I",174
"Figures 1, 2 and table 1",170
"Results, p. 253",169
"Supplemental 3",168
"Supplementary Table S2 and S3",168
"Supplementary Table S3",165
"Table SI",162
"Supplementary Table 5",157
"Figures 2 and 3",153
"Table S1A",150
"Figure S1, Author provided",149
"Supplement Table 5",145
"Figures 1 and 2",143
"Table S1C",140
"Figure 1B",137
"Table S6",133
"Figure 9",128
"Figure 1 and Tables 3 and 5",128
"Table S1B",125
"Table1 ",123
"Supplemental Table 3",122
"Table 3, Figure 2",121
"Table 1, Supplemental Material 1",120
"Supplementary Table S5",118
"Authors' communication",116
"Figure 4 and Table 1",115
"Figure 1, Table 1",112
"Supplementary Table 13",112
"Figure S2 and Table S1",112
"Supplementary Figure 1",108
"Table V",108
"Table I and Figure 1",102
"Figure 8",102
"Table 1, Figure 2 and Supplementary Table 2",102
"Table II, Figure 4, and Supporting Information Figure S1",100
"Supplemental Table 1 and Figure 2",99
"Figure 3, Table S3",98
"Supplemental Figure S2",97
"Supplementary Table 17",96
"Table 1, Figure 5",94
"Supplemental Figure 1",93
"Table VI",88
"Table S5",86
"Figure 5 and Table S4",84
"Supplementary tables",83
"Supplementary Table 27",83
"Table 2 and figure 4",82
"Figure 2C",82
"Table 1 and Figure 2",80
"Supplemental Table 9",80
"Supplementary Table 15",80
"Supplementary Table 3",79
"Figure 3 and Table 2",78
"Figures 1, 2",77
"Tables 1 and 3",77
"Supplementary Table 12",77
"Figures 1 and S1",76
"Table 2 and Figure 2",75
"Table S3",74
"Figure 2 and Table 1",72
"Text p. 624",72
"Table S2 and Figure S5",72
"Figure 1, ESM Table 1",70
"Table 2 and figure 3",69
"Figure S2",68
"Figures 5 and 6",68
"Supplementary Table 4 and Figure S1",68
"Figure 2, Supplementary figure 3, Supplementary Table 4",64
"Supplementary Table 14",64
"Figure 2, Supplementary Figure S2",63
"Figure 5A, Figure 5B",62
"Tables S1, S2",62
"Figure 5 and Table S1",61
"Figures 1, 2 and 3",57
"Figure 1 and Table S1",57
"Figures 4 and 5",56
"Figure 3 and Table 1",56
"Tables 1 and 2",55
"Figure 5A",55
"Table 2, Figure 1 and Table 1",55
"Supplemental Table IV",55
"Figure 1 and Table 2",54
"Figure S4",54
"Supplementary Table 8 and Figure S5",53
"Figures 2, 3, and Supplementary table I",50
"Supplementary Table S6",50
"Figure 1, Supplementary Table 1",48
"Figures 1, 2, S1, and Table 1",48
"Figure 5B",47
"Table S2 and Figures 4, 8",47
"Supplemental Table 5",47
"Supplementary Figure 2",47
"Figure 3b",44
"Figure S3",43
"Supplemental Figure 4",43
"Supplemental Material Table S1",42
"Table 1 and Figure 3",41
"Table 2A",40
"Supplementary data S5",40
"Table 1, Supplemental Table 1",39
"Figure S7",39
"Figure 6, Supplementary Tables S3 and S4",39
"Table I and Figure 2",38
"Tables 1, 4, Figure 3",38
"Supplemental Table S14",38
"Table 11",37
"Supplementary Table 24",37
"Table VII",36
"Results page 178",36
"Text page 38",36
"Table 6 and Supplental Table 2",36
"Figure 2 and Table S3",36
"Figure 3, Supplementary Table S1",35
"Figure 1D",35
"Figure 4A",34
"Tables 1, 2",34
"Figure 1 and Supplementary Table 3",34
"Figures 3 and 4",33
"Supplementary Table 25",33
"Figure 2 and Table A2",33
"Table 6.4",32
"Figures 3, 4, Table 1",32
"Tables 1 and 6",31
"Table 2 and figures 2 and 3",31
"Figure S5",31
"Table 2 and Figure 1",31
"Table SIII",31
"Tables S3, S4 and Figure S7",31
"Table 3 and Additional file 3",30
"Table I and Figure 6",30
"Additional file 6",30
"Supplementary Table 26",30
"Figure S9 and Data file S6",30
"Figure 3C",29
"Figure S11",29
"Figure 6A",29
"Table S6 and Figure S4",29
"Table 1 and Figures 1 and 2",29
"Supplementary Table 23",29
"Extended Data Figure 9",29
"Figures 1 and 4",28
"Supplementary Figure 4",28
"Figures 6, 7",28
"Tables S2, S4",28
"Figure 3, Table 2",28
"Table 1 and Figure 4",28
"Results page 4",28
"tFigure 2 and Supplementary Table 2",28
"Tables I, SV",27
"Figure 4 and Table II",27
"Figure 3A",27
"Supplementary Table 5 and Figure S1",27
"Table 2, Figure 1",27
"Figure 4 and Table S2",27
"Table E2",26
"Figure 2B, Table 2.",25
"Text page 445",25
"Supplementary Table 4",25
"Supplementary Figure 3",24
"Table III and Figure 3",24
"Figure 6C",24
"Figure 1 and Table I",24
"Figure 4C",24
"Table I and Figure S2",24
"Table I and figure 3",23
"Figure 1 and Table 4",23
"Figure 2 and Table 2",22
"Tables 2 and 3",22
"Table 1, Figures 1 and 2",22
"Tables 2 and SV",22
"Figures 1 and 3",22
"Table 10",22
"Supporting information Table SII",22
"Figure 2 and Supplementary Table 3",22
"Supplemental Figure S3",22
"Figure S8 and Data file S6",21
"Figure 3 and Table S1",21
"Figure 4B",21
"Figure S6",21
"Figure 2 and Table II",21
"Figure  1",21
"Figure 7a",21
"Suppplementary Figure 1",21
"Figure 4 and Table S1",20
"Table 1 and Figure S1",20
"Figures 4, 5",20
"Figure 6 and Table II",20
"Table 2 and Figure 5",20
"Figure 2 and Table I",20
"Text p. S49",20
"Figures 7 and 8",20
"Table III and Supplementary Table I",20
"Table S4 and Figure S6",20
"Supplemental Table 6",20
"Figures 1, S1",20
"Figure 4 and Table S3",19
"Figures 2c and 2d",19
"Supplementary Table 9",18
"Table 2, Table 3",18
"Figures 2, 3",18
"Figures 1, 2, 3 and 4",18
"Table S2 and Figure 7, 8",18
"Tables S2, S5",18
"Figure 3 and Table 4",18
"Table V and figure 3",18
"Supporting Information Table 1 and Figure 1",18
"Tables S2 and Figure S5",18
"Table 2 and Supplemental Figure 3",18
"Table 1, Figure 1",17
"Table VIII",17
"Tables S1, S5",17
"Figure 2, S2 and Table S3",17
"Figure 5 and Data file S6",17
"Tables 3, 4",17
"Figures 1 and 5",16
"Table 2, Table 4",16
Text,16
"Table S2 and Figure 8",16
"Figure 2, Table 2",16
"Figure 1 and Supplementary Table 2",16
"Figures 1, 2, 4",16
"Tables I, II and IV",16
"Figures 2 and 5, Table 2",16
"Extended Data Figure 1",16
"Figure 4 and Supplementary Table S3",16
"Supplementary Table 16",16
"Table S1 and Figures 2, 3, S2",16
"Figures 3, 4",15
"Extended Data Figure 7",15
"Table S7",15
"Figures 1, 3",15
"Figure 2D",15
"Text p. S50",15
"Table 2, 3",15
"Table 3 and Figure 5",15
"Table I, Figure 4",15
"Figure 1B-D",15
"Figure 4 and Supplementary Figure 3",15
"Figures 3, S4",15
"Table 4 and  Figure S1",14
"Tables 1 and SI",14
"Figure 2 b",14
"Figure 1 and Table II",14
"Table 1 and Figure 5",14
"Figure 6D",14
"Figure 9 and Text",14
"Tables II and III",14
"Figure 2, Table II",14
"Figure 3, Table 1",14
"Supplementary Table II",14
"Table IX",14
"Figure 7-supplement 1",14
"Tabel II",14
"Supplementary Table 6",13
"Tables 3 and 4",13
"Supplemental Figure 2",13
"Figure 5 and Supplementary Table 5",13
"Figures 2",13
"Table 1, Figure 3",13
"Figure 2 C",13
"Figure 2 A",13
"Figure 5 and Table S2",13
"Text p. 987",13
"Table 4 and Figure 3",13
"Supplementary Table 8 and Figures S5 and S12",12
"Figure 1C",12
"Figures 1-4",12
"Figures 2, 3, 4",12
"Fig 6c",12
"Supplementary Table A.2",12
"Table 1 and Figure 6",12
"Figure 1, Supplementary Figures 1 and 2, Supplementary Tables 3 and 4",12
"Figure 3 and Table I",12
"Supplementary Figure 2C",12
"Supplementary Figure 14",12
"Figure 11B",12
"Figure 11A",12
"Supplementary Table S4",12
"Supplemental Figure S5",12
"Table S7 and Figure S23",12
"Table 2 and Supplementary Figure 1",12
"Supplemental Table S3",11
"Table 2, Figure 2",11
"Dataset S4",11
"Suppl Table 3",11
"Figure 3D",11
"Figure 1, Supplementary Figure 1",11
"Table S2 and Figures 5, 8",11
"Figures 2 and 4",11
"Extended Data Figure 2",11
"Figures 2, S2, Table S4, S11",11
"Figures 5, 6, S5 and Table S1",11
"Figure 1, Supplemental Table 1",11
"Figures 2, 4",11
"Figure 1 and Tables 1, 2",11
"Tables 1, S1 and Figures 2, 3, S2",11
"Table 3, Table 2",10
"Figure 2 and Supplementary Figure 1",10
"Table 3 and Supplemental Figure 4",10
"Dataset S8",10
"Figure 10",10
"Table 2, Supplementary File 1b and Figure 4-figure supplement 1",10
"Table II and Figure 2",10
"Figure 5E",10
"Table 1 and Figure 1, Table 1",10
"Supplemetal Figure 2",10
"Tables 2, S1",10
"Figure 1 and Table III",10
"Tables 1 and 2 and Figure 2",10
"Supplementary Figure 5",10
"Figure 1, Tables S1, S2",10
"Additional file 5",10
"Figure 3 and Supplementary Table S1",10
"Tabls S3, S4",10
"Text page 2620",9
"Figure 1 and Table 3",9
"Figure 3F",9
"Figure 4 and Table I",9
