as_location,occurrences
"Supplementary Data 2",397638
"Author submitted",173582
"Supplementary Data 1",156586
"S2 Data",137596
"Table 1 or author provided",38460
"Figure 1",36586
"Supplementary Table 1",29818
"Figure 2",29121
"Figure 3",20361
"Author provided",17853
"Author Provided",17154
"Figure 4",15938
"Table 1",15759
"Figure 5",14680
"Figure 1 and Data S2",13064
"Table S3",11980
"Supplementary File 4",11768
NULL,10905
"Table 2",10890
"Table S5, Table S1",10357
"Supplemental Table S2",9675
"Supplemental Table S1",9645
"Supplementary Tables 1, 2, 3, Figures 3, 4, 5, Supplementary Figure 3",8444
"Figure 3 and Supplementary Figure 2",6978
"Figure 1, Supplemental Table S3",5845
"Figure 6",5722
"Figures 1 and 2",5655
"Table 3",5650
"Table S3, Table S1, Figure 3",5110
"Tables S2, S1",4641
"Supplementary Figures 8-18",3994
"Figures 2 and S4 and Supplemental Data File 1",3468
"Table 4",3120
"S1 File",3039
"Figure 1 and S1 File",3039
"Figure 2 and Table S1",2993
"Figure 7",2950
"Table S1",2579
"Figures 2 and 3",2126
"Figure 1, S1 File",1779
"Figure 5, Table 2",1728
"Figure 1 and Table 1",1523
"Table II",1504
"Table I",1469
"Figure S1",1439
"Figure 8",1371
"Figure S4",1360
"Table S2",1316
"Supplementary Files S2, S3",1277
"Figure 3, Table S2",1258
"Figures 2, 3, and Table S2",1218
"Figures 3 and 4",1183
"Figure S3",999
"Table 5",983
"Figure 1A",953
"Supplementary Table 3",904
"Figure S2 and Table S1",899
"Supplemental Table",898
"Table III",861
"Figures 4 and 5",859
"Figure S2",818
"Author communication",800
"Table S2, S3, and Author Correspondence",794
"Supplementary Files S2, S3, Figure 3",747
"Figure 2 and Table 2",739
"Figure 1B",733
"Figure 4 and Supplementary Figure S16",728
"Table S4",723
"Supplementary Figure 1",704
"Figures 1, 2",703
"Supplementary Figure 3",697
"Figure 1 and Table 2",676
"Figure 3B",661
"Tables 2 and 3",649
"Table 1 and Figure 2",643
"Table S2, Figure 1",633
"Figures 1 and 3",630
"Figure 2A",624
"Figure 5, Supplemental Table 1",623
"Figures 3, 4",619
"Tables 1 and 2",606
"Supporting Information Figure S3",598
"Table S9",583
"Figure 4A",573
"Supplementary Data 4",564
"Figures 1 and 4",557
"Figure 1C",541
"Text p 173",535
"Figure 3, Supplemental Table S1",528
"Figure 9",518
"Supplemental Data",513
"Figures 2, 3",491
"Table 1 and Figure 1",475
"Figures 6 ans S4",474
"S4 File, S2 File",466
"Figure 2B",445
"Figure 2 and Table 1",444
"Figure 3A",436
"Figures 5 and 6",428
"Figures 2, S1, and S4 and Supplemental Data File 1",420
"Figure S5",415
"Table IV",410
"Figure 2, Figure S1, and Table S2",387
"Figures 2 and 4",374
"Figures 2, 3; Tables 1, 2",372
"Table 2 and Figure 1",371
"Table E2",367
"Figure 1, 2",365
