as_location,occurrences
NULL,997010
"Author Provided",417007
"Table S2",296375
"Table S1",235443
"Data S1",219897
"Supplementary Table S5",111301
"Table S6",102476
"Supplemental Table 1",95221
"Supplementary Table S1",95179
"Table S4",87263
"Figures 4, 6, 7, and Table S3",83176
"Supplementary Table 2",73472
"Supplementary Table 1",70849
"Data S2",66454
"Tables S2, S4, S5, S9, S10",56128
"Supplemental Table S1",54338
"S1 Dataset",53689
"Table S3",51154
"Supplemental Table 2",48007
"Supplementary Data 1",46410
"Supplementary Table 4",44678
"Supplemental Tables",41747
"Supplementary Table 7",41359
"PRIDE Database: PXD020614",33959
"PRIDE Database: PXD023545",32848
"Supplemental Table III",32682
"Supplementary Tables S4, S5",28636
"Supporting Information S2",24071
"Supplementary Table 5",23443
"File S2",21898
"Supplemental Tables S1 and S2",19148
"Supplementary Data 2",17922
"Supplementary Table",15599
"Supplementary Table 6",14855
"Source data 3",14373
"Figure 1",14042
"Supplementary Table S6",12142
"Supplementary Table S11",11871
"Supplementary List 3",11625
"Supplemental Tables 1, 2, and 3",11433
"PRIDE ID:PXD021755",11039
"S1 Table",10068
"Supplementary Data 1 and 2",10024
"Table S8",9607
"Supplemental data S1",9579
"Supporting Table S8",9562
"Figures 1, 2, and S1",9292
"Tables S1, S2",8734
"Supplementary File SI-2",8714
"Supplementary Table S2",8081
"Supplementary Data",7911
"Supplementary Table S3",7701
"Table S7",7665
"Dataset S01",7137
"Supplemental data 1, 2, 3",6991
"Supplementary Table 3",6833
"Supplemental data 4, 5, 6",6738
"Supporting Table S2",6696
"Supplementary Table S9",6678
"Supplemental data S7",6671
PXD045025,6498
"Supplemental Table 3",6215
"Supplemental Table S7",5950
"Tables S I, II, III",5697
"Supplementary Data 3",5285
"Supplemental Tables 3, 4",5172
"Tables S1, S2, S3, and S4",4999
"Table S5",4527
"Supplementary Table S3, Supplementary Table S6",3925
"Table S12",3919
"Supplemental Table",3790
"Figure 2E-F",3706
"Figures 2, 3, 5, 7, S2, S3, S4, and Supplemental Tables 1, 2, 3, and 4",3454
"Supporting Table S3",3425
"Supplemental Table S3",3263
"Supplememtary Table 1",2839
"Supplementary Tables S1, S2, S3, S4, S5, and S6",2740
"Dataset S02",2359
"Supplementary Tables S5, S6",2350
"Supplemental Table 4",2305
"Table 1",2262
"Supporting Information S3",2216
"Tables S2, S3",2139
"Tables S2, S3, S4",2099
"Dataset S1",2020
"Supplementary Tables 5, 6",1798
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S4, Supplementary Table S6",1722
"Table S3, Table S2",1718
"Dataset S03",1651
"Table 2",1641
"Supplementary Table S1, Supplementary Table S4",1631
"Author provided, figures 1, 2, 3 and table 1",1620
"Supplementary Table 5.2",1563
"Source data 2",1533
PXD032855,1513
"Table S9",1512
"Supplementary Table 5.3",1508
"Supplemental Table S2",1502
"Supplementary Table 1.1",1488
"Supplementary Table 5.1",1413
"Supporting Information S4",1345
"Supplementary Table 17",1316
"Supplementary Tables S1, S2, and S3",1238
"Supplementary Table 1.3",1139
"Supporting Tables S3, S9",1120
"Supplemental data S5",1078
"Supplementary Table 5.4",1044
"Supplementary table",1002
"Supplementary Information",976
"Supplementary Table II",931
"Supplementary Table 3.8",919
"Supplemental table 1",887
"Supplementary 1",871
"Supplemental Tables S2,S3",856
"Supplementary Table 3.8, Supplementary Table 5.4",801
"Supporting Table S9",795
"Supplementary Table I",774
"Supplementary Tables 3, 4",754
"Supplementary Tables 1, 2",721
"Supplementary Table 3.6",699
"Figure S5 and author communication",662
"Figure 2",654
"Supplementary Table S4",613
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S5, Supplementary Table S6",608
"Dataset S4",601
"Supplementary Table 3.7, Supplementary Table 3.8, Supplementary Table 5.4",533
"Table S3, Table S1, Table S2",514
"Supplementary Table 3.1, Supplementary Table 3.2, Supplementary Table 5.1",512
"Supplementary Table 13",509
"Supplementary Table S2, Supplementary Table S5",498
"Table S3, Figure 1",492
"Figure 2, Table S2",486
"Figure 1 and Supporting Information Figure 1",447
"Supplementary Tables 1, 2, 3, 4",444
"Supplementary Table 3.2",440
"Dataset EV1",415
"Supporting Information Table 1 and figure 4",415
"Source data 5",414
"Tables 1 and S1",414
"Dataset S3",410
"Table I",399
"Supplementary data 4",385
"Supplementary data 3",380
"Supplemental Tables S2, S3, and S4",378
"Natural ligands of B27 figure",376
"Supplementary Table 3.2, Supplementary Table 5.1",372
"Table 1, Supplemental figures 3, 4",369
"Table 3",354
"Supplemtal data",332
"Supplementary Table 1.1, Supplementary Table 1.3",328
"Table II",317
"Supplementary Table 3.3, Supplementary Table 3.4, Supplementary Table 5.3",302
"Source data 6",285
"Supplementary Table 1.1, Supplementary Table 1.2",281
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S4, Supplementary Table S5",279
"Supplementary Table 1.1, Supplementary Table 1.2, Supplementary Table 1.3",272
"Table S2 and S4",259
"Supplementary Table 3.1",250
"Supplementary Table 3.5, Supplementary Table 3.6, Supplementary Table 5.2",247
"Supplementary Table 3.3",243
"Supplementary table 2",237
"Supplementary Data Table 1",236
"Supplementary Table 3.4, Supplementary Table 5.3",232
