as_location,occurrences
NULL,146862
"Figure 2",37625
"Figure 1",35790
"Figure 3",27154
"Figure 4",18505
"Figure 5",15525
"Table 1",11951
"Figures 1, 2, 3, and 5",9883
"Figure 6",9224
"Table S3",9173
"Table 2",7388
"Figure 1 and Tables 1, 3, 5, S2, S4, and S5",5176
"Table 3",5156
"Table S2",4440
"Figure 7",4136
"Figure S2",3839
"Figures 1 and 2",2825
"Table 4",2465
"Figures 2, 3, 4, and Supplementary Figures 2, 3, 4, 5, and 8",2381
"Figures 1, 2, 3, 5, supplemental tables 1, 3, 4, and author provided",2348
"Supplementary Table 1",2207
"Figure 1 and Table III",2202
"Figures 2 and 3",2076
"Table S3, Supplemental Figure 1, Supplemental Figure 2",2031
"author provided, Tables 1 and 2, Figures 2 and 3",1931
"WNV proteome scan negatives",1878
"Supplemental Table 3",1868
"Table S3, Supplemental Figure 1",1833
"Table S4",1735
"Supplemental Tables 1 and 2",1731
"Dataset S3",1719
"Figure S1",1708
"Author provided, Figure 1, Table 2",1706
"Figure 1 and Table S3",1691
"Table 5",1690
"Figure S5",1595
"Table II",1593
"Figure 8",1566
"Table S1",1541
"Table S8",1530
"Data File S2",1422
"Figures 3 and 4",1415
"Supplemental Figure 2",1341
"Supplementary Figure 1",1335
"Figure S3",1270
"Figures 4 and 5",1225
"Figures 2, 3, 5, and S2, S1 Table, and author provided",1128
"Figures 2 and 4",1097
"Figure 1, Extended Data Figure 1, and Author provided",1092
"Table I",1083
"Supplementary Figure 2",1069
"Table IV",1032
"Figure 3 and Table 5",1006
"Figures 2, 3, 6, 7, 8, S3, S4, and Tables S1 and S2",988
"Author Correspondence, Figure 3, 4",975
"Supplementary Figure S2",942
"Supplemental Data File S3",913
"Figure 1B",908
"Table III",889
"Author provided, Figures 2, 3, Tables 1, 2, Supplemental Tables 5, 6",884
"Figure 3 and Page 4 Text",874
"Figure S4",853
"Figure S1 and Text p.3",847
"Table S5",846
"Figure 2A",833
"Figure 2B",784
"Supplementary Table 2",767
"Tables 1 and S1",743
"Table S3 and Figure 5",716
"Figure 2 and Table S3",703
"Figure 4B",680
