h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	word_normalized_h_age	word_normalized	phrase_normalized_h_age	phrase_normalized	age_data_type	exact_age	mean_age	median_age	minimum_age	maximum_age	age_list	unit	age_description
6-8 weeks old	10000067	Mus musculus C57BL/6	0	6-8 weeks old	N	6-8 week old	Y	6-8 week	Y	range				6	8		week	
NULL	9606	Homo sapiens (human)	1	null	Y	null	N	null	N	null								
6-8 weeks old	10000000	Mus musculus BALB/c	2	6-8 weeks old	N	6-8 week old	Y	6-8 week	Y	range				6	8		week	
8 weeks	10000047	Mus musculus C57BL/10	3	8 weeks	N	8 week	Y	8 week	N	exact	8						week	
49 years old	10000119	Homo sapiens Caucasian	4	49 years old	N	49 year old	Y	49 year	Y	exact	49						year	
51 years old	10000119	Homo sapiens Caucasian	5	51 years old	N	51 year old	Y	51 year	Y	exact	51						year	
NULL	10000067	Mus musculus C57BL/6	6	null	Y	null	N	null	N	null								
NULL	9598	Pan troglodytes (chimpanzee)	7	null	Y	null	N	null	N	null								
8-16 weeks	10000000	Mus musculus BALB/c	8	8-16 weeks	N	8-16 week	Y	8-16 week	N	range				8	16		week	
6-8 weeks old	10000051	Mus musculus C57BL/10 X DBA/2	9	6-8 weeks old	N	6-8 week old	Y	6-8 week	Y	range				6	8		week	
6-10 weeks old	10000000	Mus musculus BALB/c	10	6-10 weeks old	N	6-10 week old	Y	6-10 week	Y	range				6	10		week	
4-16 years old	9606	Homo sapiens (human)	11	4-16 years old	N	4-16 year old	Y	4-16 year	Y	range				4	16		year	
32-62 years	9606	Homo sapiens (human)	12	32-62 years	N	32-62 year	Y	32-62 year	N	range				32	62		year	
32-38 years	9606	Homo sapiens (human)	13	32-38 years	N	32-38 year	Y	32-38 year	N	range				32	38		year	
2-54 years	9606	Homo sapiens (human)	14	2-54 years	N	2-54 year	Y	2-54 year	N	range				2	54		year	
3-8 years	9606	Homo sapiens (human)	15	3-8 years	N	3-8 year	Y	3-8 year	N	range				3	8		year	
6-10 wk	10000047	Mus musculus C57BL/10	16	6-10 wk	N	6-10 week	Y	6-10 week	N	range				6	10		week	
24 years	9606	Homo sapiens (human)	17	24 years	N	24 year	Y	24 year	N	exact	24						year	
6-12 weeks-old	10000219	Mus musculus C57BL/6 X CBA	18	6-12 weeks-old	N	6-12 week-old	Y	6-12 week	Y	range				6	12		week	
29-38	9606	Homo sapiens (human)	19	29-38	N	29-38	N	29-38	N	range				29	38			
NULL	10090	Mus musculus (mouse)	20	null	Y	null	N	null	N	null								
12-65 years old	9606	Homo sapiens (human)	21	12-65 years old	N	12-65 year old	Y	12-65 year	Y	range				12	65		year	
6-8 weeks	10000067	Mus musculus C57BL/6	22	6-8 weeks	N	6-8 week	Y	6-8 week	N	range				6	8		week	
6-12 weeks	10000067	Mus musculus C57BL/6	23	6-12 weeks	N	6-12 week	Y	6-12 week	N	range				6	12		week	
8-10 weeks	10000000	Mus musculus BALB/c	24	8-10 weeks	N	8-10 week	Y	8-10 week	N	range				8	10		week	
8-10 weeks	10000067	Mus musculus C57BL/6	25	8-10 weeks	N	8-10 week	Y	8-10 week	N	range				8	10		week	
45 years	9606	Homo sapiens (human)	26	45 years	N	45 year	Y	45 year	N	exact	45						year	
10-15 weeks	10000276	Mus musculus B10.S	27	10-15 weeks	N	10-15 week	Y	10-15 week	N	range				10	15		week	
6-10 weeks	10001019	Mus musculus B10.D2	28	6-10 weeks	N	6-10 week	Y	6-10 week	N	range				6	10		week	
6-10 weeks	10000647	Mus musculus Quackenbush	29	6-10 weeks	N	6-10 week	Y	6-10 week	N	range				6	10		week	
NULL	10000607	Mus musculus HLA-DR3 Tg	30	null	Y	null	N	null	N	null								
8 weeks	10000000	Mus musculus BALB/c	31	8 weeks	N	8 week	Y	8 week	N	exact	8						week	
6-8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	32	6-8 weeks	N	6-8 week	Y	6-8 week	N	range				6	8		week	
6-8 weeks	10000271	Mus musculus B10.M	33	6-8 weeks	N	6-8 week	Y	6-8 week	N	range				6	8		week	
