"h_age"	"frequency"
NULL	1110939
"0- 59 years"	96
"0-6 years"	29
"0-77 years"	2
"0-84 years"	1
"0-9 years"	14
"0-96 years"	2
"0.1-11 years"	3
"0.2 to 18 years"	69
"0.3 to 12 years"	67
"0.3-45 years"	1
"0.3-5.7 years"	3
"0.3-56 years"	1
"0.5 - 3 years"	74
"0.5-36 years"	3
"0.7 to 20.9 years (median = 11.0)"	1
"0.75-15 years"	47
"0.8 to 81 years"	39
"0.8-18.7 years"	25
"0.8-78 years"	1
"0.9 to 3.7 years"	4
"0.9-78 years"	2
"1 day"	2
"1 day to 103 years"	12
"1 day to 6 months"	7
"1 month"	19
"1 month - 13 years"	18
"1 month - 4 years"	16
"1 month-old"	2
"1 months"	2
"1 to 11 months"	1
"1 to 18 years"	2
"1 to 268 days"	1
"1 to 3 years"	7
"1 to 5 years"	104
"1 to 5 years or > 15 years"	4
"1 to 6 years"	19
"1 to 66 years"	30
"1 to 7 years"	39
"1 to 8 years"	5
"1 week"	26
"1 year"	209
"1 year 5 months to 15 years 8 months"	1
"1 year 8 months to 68 years"	2
"1 year old"	4
"1-1.5 years"	51
"1-10 years"	3
"1-10 years old"	110
"1-12 years"	286
"1-13 years"	1
"1-14 years"	6
"1-15 years"	9
"1-16 years"	272
"1-17 years"	311
"1-2 years"	31
"1-23 years"	6
"1-24 years"	8
"1-25 years"	4
"1-3 years"	49
"1-31 years"	1
"1-34 years"	58
"1-35 years"	3
"1-38 years"	1
"1-39 years"	12
"1-4 years"	4
"1-40 years"	1
"1-5 years old"	182
"1-51 years"	13
"1-55 years"	38
"1-6 months"	4
"1-6 years"	36
"1-60 years"	10
"1-64 years"	1
"1-7 years"	1
"1-75 years"	4
"1-84 years old"	82
"1-9 years"	27
"1-90 years"	2
"1.1-20 years"	2
"1.1–69 years"	4
"1.25-19 years"	2
"1.5 month"	8
"1.5 months to 40 years"	4
"1.5 years"	16
"1.5-7years"	25
"1.8-14.2 years"	51
"10 - 15 years"	12
"10 days"	4
"10 months"	27
"10 to 100 years"	6
"10 to 12 weeks"	90
"10 to 13 weeks"	19
"10 to 20 weeks"	4
"10 to 47 years"	6
"10 to 53 years"	6
"10 to 65 years"	63
"10 to 66 years"	75
"10 to 72 years"	37
"10 to 73 years"	5
"10 to 801 days"	2
"10 to 89 years"	27
"10 week old"	10
"10 weeks"	612
"10 weeks-old"	4
"10 years"	4
"10 years and older"	3
"10-12 weeks"	193
"10-12 weeks old"	4
"10-13 years"	4
"10-14 weeks"	86
"10-14 years"	3
"10-15 weeks"	1
"10-15 years"	7
"10-16 weeks"	8
"10-16 weeks old"	5
"10-17 years"	5
"10-19 years"	1
"10-20 weeks"	2
"10-24 weeks"	6
"10-29 years"	1
"10-39 years"	3
"10-45 years"	17
"10-62 years"	130
"10-64 years"	14
"10-66 yr"	34
"10-67 years"	3
"10-70 years"	56
"10-71 years"	2
"10-75 years"	116
"10-77 years"	1
"10-98 years"	1
"10-week-old"	13
"10-weeks"	11
"10.6 months"	4
"100 day fetus"	2
"10–14-week old"	15
"11 +/- 7 years"	9
"11 months"	3
"11 months - 55 years"	103
"11 to 47 years"	11
"11 to 51 years"	16
"11 to 66 months"	3
"11 to 82"	35
"11 weeks"	57
"11 years"	6
"11-12 weeks"	8
"11-15 months"	3
"11-58 years"	2
"11-60 years"	2
"11-62 years-old"	6
"11-68 years"	1
"11-71 years"	20
"11-72 years"	1
"11-77 years"	1
"11-78 years"	16
"11-83 years"	1014
"12 - 20 weeks"	11
"12 months"	14
"12 months old"	12
"12 to 13 years"	2
"12 to 14 weeks"	42
"12 to 16 weeks"	50
"12 to 192 weeks"	3
"12 to 54 years"	27
"12 to 55 years"	4
"12 to 60 months"	4
"12 to 66 years-old"	9
"12 to 69 years"	2
"12 to 78 years"	2
"12 to 88 years"	4
"12 week"	5
"12 weeks"	271
"12 weeks old"	2
"12 weeks-old"	4
"12 years"	2
"12-13 months"	13
"12-13 weeks"	17
"12-14 weeks"	31
"12-14 weeks old"	2
"12-15 months"	1
"12-15 weeks"	3
"12-15 years"	2
"12-16 months"	5
"12-16 weeks"	18
"12-16 weeks old"	9
"12-16 weeks-old"	4
"12-18 months"	2
"12-18 weeks"	4
"12-20 weeks"	7
"12-24 month old"	152
"12-30"	1
"12-35 years"	5
"12-44 years"	15
"12-53 years"	1
"12-54 years"	5
"12-55 years"	2
"12-57 years"	8
"12-58 years"	2024
"12-64 years"	8
"12-66 years"	2
"12-68 years"	1
"12-73 years"	78
"12-74 years"	2
"12-80 years"	16
"12-88 years"	46
"12-week-old"	37
