Metric	Value
Number of Unique Strings	4133
Number of Unique Strings After Phrase Normalization	2711
Change in Number of Unique Strings	-34.41%
Ratio of Total Strings to Unique Strings	1.75 : 1
Mean String Frequency	1.75
Standard Deviation of String Frequency	10.1
Ratio of Total Strings to Unique Strings Phrase Normalized	2.67 : 1
Mean String Frequency After Phrase Normalization	2.67
Standard Deviation of String Frequency After Phrase Normalization	15.18
Change in Ratio of Unique Strings to Total Strings	52.45%
Number of Single Use Strings	3729
Single Use Strings as a Percentage of All Strings	51.59%
Single Use Strings as a Percentage of Unique Strings	90.23%
Number of Single Use Strings Phrase Normalized	1965
Single Use Strings as a Percentage of All Strings After Phrase Normalization	27.19%
Single Use Strings as a Percentage of Unique Strings After Phrase Normalization	72.48%
Change in Number of Single Use Strings	-47.3%
Change in Ratio of Single Use Strings to Total Strings	-19.66%
Low Frequency Strings	349
Low Frequency Strings as a Percentage of All Strings	4.83%
Low Frequency Strings After Phrase Normalization	699
Low Frequency Strings as a Percentage of All Strings After Phrase Normalization	9.67%
Mid Frequency Strings	41
Mid Frequency Strings as a Percentage of All Strings	0.57%
Mid Frequency Strings After Phrase Normalization	33
Mid Frequency Strings as a Percentage of All Strings After Phrase Normalization	0.46%
High Frequency Strings	14
High Frequency Strings as a Percentage of All Strings	0.19%
High Frequency Strings After Phrase Normalization	14
High Frequency Strings as a Percentage of All Strings After Phrase Normalization	0.19%
