before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	0
NULL	N	N	N	N	N	N	Y	null	1
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	2
8 weeks	N	N	N	N	N	N	N	8 weeks	3
49 years old	N	N	N	N	N	N	N	49 years old	4
51 years old	N	N	N	N	N	N	N	51 years old	5
NULL	N	N	N	N	N	N	Y	null	6
NULL	N	N	N	N	N	N	Y	null	7
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	8
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	9
6-10 weeks old	N	N	N	N	N	N	N	6-10 weeks old	10
4-16 years old	N	N	N	N	N	N	N	4-16 years old	11
32-62 years	N	N	N	N	N	N	N	32-62 years	12
32-38 years	N	N	N	N	N	N	N	32-38 years	13
2-54 years	N	N	N	N	N	N	N	2-54 years	14
3-8 years	N	N	N	N	N	N	N	3-8 years	15
6-10 wk	N	N	N	N	N	N	N	6-10 wk	16
24 years	N	N	N	N	N	N	N	24 years	17
6-12 weeks-old	N	N	N	N	N	N	N	6-12 weeks-old	18
29-38	N	N	N	N	N	N	N	29-38	19
NULL	N	N	N	N	N	N	Y	null	20
12-65 years old	N	N	N	N	N	N	N	12-65 years old	21
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	22
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	23
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	24
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	25
45 years	N	N	N	N	N	N	N	45 years	26
10-15 weeks	N	N	N	N	N	N	N	10-15 weeks	27
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	28
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	29
NULL	N	N	N	N	N	N	Y	null	30
8 weeks	N	N	N	N	N	N	N	8 weeks	31
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	32
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	33
Adults (pregnant)	N	N	N	N	N	N	Y	adults (pregnant)	34
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	35
Adults	N	N	N	N	N	N	Y	adults	36
26-72 years-old	N	N	N	N	N	N	N	26-72 years-old	37
4-6 weeks old	N	N	N	N	N	N	N	4-6 weeks old	38
20-55 years	N	N	N	N	N	N	N	20-55 years	39
55-69 years	N	N	N	N	N	N	N	55-69 years	40
2-4 months old	N	N	N	N	N	N	N	2-4 months old	41
2-4 months old	N	N	N	N	N	N	N	2-4 months old	42
NULL	N	N	N	N	N	N	Y	null	43
NULL	N	N	N	N	N	N	Y	null	44
33-52 years-old	N	N	N	N	N	N	N	33-52 years-old	45
26-45 years	N	N	N	N	N	N	N	26-45 years	46
7-74 years old	N	N	N	N	N	N	N	7-74 years old	47
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	48
21-45 years old	N	N	N	N	N	N	N	21-45 years old	49
8-24 weeks old	N	N	N	N	N	N	N	8-24 weeks old	50
NULL	N	N	N	N	N	N	Y	null	51
NULL	N	N	N	N	N	N	Y	null	52
NULL	N	N	N	N	N	N	Y	null	53
average age 29.8 years	N	N	N	N	N	N	N	average age 29.8 years	54
18-91 years	N	N	N	N	N	N	N	18-91 years	55
NULL	N	N	N	N	N	N	Y	null	56
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	57
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	58
29-58 years	N	N	N	N	N	N	N	29-58 years	59
NULL	N	N	N	N	N	N	Y	null	60
NULL	N	N	N	N	N	N	Y	null	61
26-38 years	N	N	N	N	N	N	N	26-38 years	62
30-52 years-old	N	N	N	N	N	N	N	30-52 years-old	63
32- 53.5 years	N	N	N	N	N	N	N	32- 53.5 years	64
NULL	N	N	N	N	N	N	Y	null	65
NULL	N	N	N	N	N	N	Y	null	66
32-74 years old	N	N	N	N	N	N	N	32-74 years old	67
6-10 weeks-old	N	N	N	N	N	N	N	6-10 weeks-old	68
NULL	N	N	N	N	N	N	Y	null	69
NULL	N	N	N	N	N	N	Y	null	70
8-week-old	N	N	N	N	N	N	N	8-week-old	71
6 weeks	N	N	N	N	N	N	N	6 weeks	72
44 years	N	N	N	N	N	N	N	44 years	73
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	74
31-39	N	N	N	N	N	N	N	31-39	75
7-8 weeks	N	N	N	N	N	N	N	7-8 weeks	76
Adults (40 year-old average)	N	N	N	N	N	N	Y	adults (40 year-old average)	77
6 weeks	N	N	N	N	N	N	N	6 weeks	78
NULL	N	N	N	N	N	N	Y	null	79
6-10 wk	N	N	N	N	N	N	N	6-10 wk	80
Children and Adults	N	N	N	N	N	N	Y	children and adults	81
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	82
NULL	N	N	N	N	N	N	Y	null	83
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	84
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	85
NULL	N	N	N	N	N	N	Y	null	86
6-10 weeks-old	N	N	N	N	N	N	N	6-10 weeks-old	87
NULL	N	N	N	N	N	N	Y	null	88
NULL	N	N	N	N	N	N	Y	null	89
Adults and children	N	N	N	N	N	N	Y	adults and children	90
20 years old	N	N	N	N	N	N	N	20 years old	91
29-41 years	N	N	N	N	N	N	N	29-41 years	92
1-48 months-old	N	N	N	N	N	N	N	1-48 months-old	93
8-12 weeks-old	N	N	N	N	N	N	N	8-12 weeks-old	94
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	95
Adult	N	N	N	N	N	N	Y	adult	96
NULL	N	N	N	N	N	N	Y	null	97
15 weeks	N	N	N	N	N	N	N	15 weeks	98
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	99
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	100
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	101
59 years	N	N	N	N	N	N	N	59 years	102
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	103
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	104
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	105
25-58 years old	N	N	N	N	N	N	N	25-58 years old	106
NULL	N	N	N	N	N	N	Y	null	107
6 weeks-old	N	N	N	N	N	N	N	6 weeks-old	108
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	109
14-65 years old	N	N	N	N	N	N	N	14-65 years old	110
7-8 weeks	N	N	N	N	N	N	N	7-8 weeks	111
31-58 years	N	N	N	N	N	N	N	31-58 years	112
6-10 wk	N	N	N	N	N	N	N	6-10 wk	113
6-9 weeks	N	N	N	N	N	N	N	6-9 weeks	114
36-70 years-old	N	N	N	N	N	N	N	36-70 years-old	115
18-45 years	N	N	N	N	N	N	N	18-45 years	116
