h_age	occurrences
1-75 years	4
6-8 weeks	38893
6-10 weeks	2131
4-10 weeks	216
2-3 weeks	38
90 days	84
6-12 weeks	3308
8-10 weeks	5341
2-6 years	4
5-6 weeks	1544
4-8 weeks	373
6-7 weeks	794
45-65 years	91
1-16 years	293
1-1.5 years	61
6 months	515
1-17 years	311
3-8 years	23
4-6 weeks	2777
21-51 years	177
1 year	89320
31 years	11737
4 weeks	3629
20-31 years	59
7-9 weeks	823
8-12 weeks	6231
8 weeks	6828
35-65 years	94
28-92 years	16
>9 years	7
7-8 weeks	4303
10-12 weeks	383
3 days	39
5 weeks	2154
adult	5298
12-57 years	24
6-10 years	5
14-75 years	128
5-10 weeks	46
6 weeks	9661
5-7 weeks	2603
18-54 years	32
10 months	67
16-87 years	51
19-29 years	9
3.5-15 years	25
3 months	1455
6-8 months	16
2 months	891
21-44 years	72
6-15 weeks	25
9 weeks	364
5-8 weeks	2604
22-41 years	56
53-63 years	90
10 weeks	1193
22-52 years	150
4-5 weeks	561
12-44 years	15
25-43 years	20
8-9 weeks	434
56 years	1801
14-85 years	4
12 weeks	7424
3-5 weeks	66
3 weeks	762
16-70 years	52
1 month	101
17-81 years	10
12-54 years	5
35-40 days	19
50 years	178
19-54 years	44
608 weeks	8
19-71 years	11
30 years	8031
43 days	46
3-4 weeks	290
4-5 months	16
4-6 months	118
25-60 years	87
6-12 months	49
7 days	86
65 days	17
3-6 weeks	23
3-4 months	173
7-10 weeks	679
23 days	9
7-10 years	67
8-74 years	9
60-90 days	17
6-9 weeks	402
4 months	195
45 days	9
4-5 years	5
6-9 months	27
91-101 years	37
1-64 years	1
1-6 months	4
24-34 years	50
10-14 weeks	312
2-3 months	563
7 weeks	923
20-73 years	10
16-20 years	140
6-7 months	3
42 days	120
80 years	13
12-14 weeks	122
14-60 years	21
4-8 months	52
2 and 64 years	2
16-79 years	14
22-59 years	41
38-69 years	1
20-25 years	11
4 years	86
3.6-18.6 years	5
7-15 years	5
2-18 years	36
8-15 weeks	83
21-25 years	198
1-90 years	2
14-88 years	1
24-37 years	19
5 months	180
4.5 months	13
7-12 weeks	380
18-52 years	31
49-81 years	8
>18 years	96
0-6 years	35
2-13 years	38
86 years	114
20-85 years	15
20-70 years	30
>10 years	6
3-4 years	37
4-7 weeks	50
26-30 years	214
14-51 years	10
6-13 weeks	6
28-65 years	50
25 weeks	69
7 years	29
47-82 years	2
3 years	210
19-60 years	43870
20-35 years	1
7-10 days	4
18-50 years	958
36-40 years	82
8 months	266
38 days	4
33-71 years	55
37 years	194
14-15 weeks	29
37-75 years	8
38 years	5109
22-25 years	10
<20 years	1
9-10 weeks	64
47 years	164
>15 years	4
36-45 years	8
17-65 years	2
51-89 years	40
8-16 weeks	554
5 years	142
3-4 days	2
16-30 years	2
59-67 years	6
51 years	950
14-55 years	3
2-80 years	6
1-4 years	4
>20 years	5
8-59 years	2
3-23 years	25
19-43 years	3
26 years	185
13-66 years	16
16-76 years	43
17-71 years	36
20-88 years	15
32 years	552
22-61 years	1
19-35 years	1
25-50 years	54
22-24 years	1
15-26 years	1
>13 years	5
1.25-19 years	2
8-14 weeks	337
18-65 years	3972
2-5 years	237
24 days	2
9-86 years	8
41-45 years	16
5-64 years	2
1-34 years	58
31-60 years	16
2-4 weeks	34
25 days	86
4 days	2
24-57 years	14
18-70 years	183
18-27 years	166
35 years	774
22-71 years	61
45 years	13675
11 weeks	97
23-66 years	1049
3-15 years	1
0.75-15 years	47
4-70 years	1
0.8-78 years	1
19-39 years	21
45-60 years	41
21 days	20
1.8-14.2 years	51
4-26 weeks	1
14-82 years	14
21-65 years	7
5-39 years	25
26-48 years	1
76 years	94
28-68 years	5
28-69 years	6
5-80 years	8
10-14 years	3
3-11 years	2
16 years	64
10-67 years	3
20-55 years	22
6.1-36.4 years	12
18-35 years	2
42 years	96
31-49 years	5
16-58 years	2
17-53 years	2
15-71 years	2
18 years	65
21-46 years	11
67 years	6724
14 weeks	230
27-51 years	21
67-95 years	1
9-20 weeks	12
19 years	44
17-80 years	3
69 years	13742
2-7 months	1
20-64 years	2
13-29 years	61
36-38 years	18
27.4 ± 16.2 years	5
24-83 years	8
27 years	286
43-46 years	1
25-62 years	61
20-22 weeks	3
9 months	52
44.5-71.5 years	1
20 weeks	51
13-96 years	2
71 years	73
81 years	182
15-69 years	21
73 years	91
18-79 years	5
24-55 years	41
7-74 years	14
25-40 years	16
64 years	45
20-57 years	6
63 years	754
child	37
62.8 ± 10 years	44
18-55 years	808
20-42 years	2
18-42 years	5
20-74 years	2
19-80 years	52
80-84 years	2
21-33 years	2
69 ± 15 years	3
60 ± 15 years	3
37 ± 14 years	3
11-58 years	2
20-81 years	21
