bcell_id	h_age
1466089	1 year
1408930	6 month
1408948	6 month
1370825	adult
1347208	8-16 week
1466021	1 year
1466047	1 year
1466000	1 year
1466043	1 year
1503629	adult
1503630	adult
1503631	adult
1503640	adult
1507109	1 month
1499882	adult
1499847	adult
1503457	adult
1499876	adult
1499877	adult
1499879	adult
1499880	adult
1499881	adult
1499893	adult
1499894	adult
1499861	adult
1499862	adult
1499863	adult
1499864	adult
1499865	adult
1503622	adult
1503618	adult
1503619	adult
1499889	adult
1499890	adult
1503620	adult
1503621	adult
1503624	adult
1503625	adult
1503626	adult
1503627	adult
1503628	adult
1499891	adult
1499892	adult
1503623	adult
1503632	adult
1503633	adult
1503634	adult
1466029	1 year
1466007	1 year
1479469	45 day
1479470	45 day
1408964	6 month
1466092	1 year
1479431	45 day
1479432	45 day
1466060	1 year
1478125	8 week
1478120	8 week
1479433	45 day
1479436	45 day
1478124	8 week
1491191	3.5 month
1489594	2 month
1491198	3.5 month
1491197	3.5 month
1491199	3.5 month
1489585	2 month
1480139	adult
1480142	adult
1499859	adult
1499860	adult
1499854	adult
1499857	adult
1499858	adult
1499878	adult
1499883	adult
1499884	adult
1499885	adult
1499886	adult
1499887	adult
1499888	adult
1499895	adult
1499896	adult
1499897	adult
1499898	adult
1499899	adult
1499900	adult
1499852	adult
1499853	adult
1499901	adult
1499903	adult
1503614	adult
1499866	adult
1499867	adult
1499868	adult
1499869	adult
1499870	adult
1503615	adult
1503616	adult
1503617	adult
1499871	adult
1499872	adult
1499873	adult
1499874	adult
1499875	adult
1491194	3.5 month
1347189	8-16 week
1491193	3.5 month
1268162	6-10 week
1325018	1 month
1277863	1 month
1277853	1 month
1347193	8-16 week
1349281	1 month
1409014	6 month
1409019	6 month
1347168	8-16 week
1347188	8-16 week
1409038	6 month
1466091	1 year
1408944	6 month
1408949	6 month
1408976	6 month
1408955	6 month
1408986	6 month
1408993	6 month
1408999	6 month
1408929	6 month
1466140	1 year
1466027	1 year
1466056	1 year
1466097	1 year
1466102	1 year
1466061	1 year
1466004	1 year
1004748	8-10 week
1268161	6-10 week
1277862	1 month
16180	6-10 week
1268160	6-10 week
1277906	1 month
1277907	1 month
1370734	adult
1370824	adult
1371433	adult
1347176	8-16 week
1347177	8-16 week
1347181	8-16 week
1347182	8-16 week
1347170	8-16 week
1347171	8-16 week
1347201	8-16 week
1347186	8-16 week
1347187	8-16 week
1347205	8-16 week
1347207	8-16 week
1347172	8-16 week
1325012	1 month
1349279	1 month
1349208	1 month
1466037	1 year
1466038	1 year
1466028	1 year
1408104	6 month
1408106	6 month
1408109	6 month
1409028	6 month
1466084	1 year
1466085	1 year
1466093	1 year
1466094	1 year
1347169	8-16 week
1466099	1 year
1466100	1 year
1466101	1 year
1466086	1 year
1466090	1 year
1466023	1 year
1466025	1 year
1466026	1 year
1466108	1 year
1466095	1 year
1466098	1 year
1466045	1 year
1408937	6 month
1408935	6 month
1409032	6 month
1409034	6 month
1408958	6 month
1408960	6 month
1408961	6 month
1470373	1 year
1470375	1 year
1408943	6 month
1408945	6 month
1408996	6 month
1409001	6 month
1409003	6 month
1466137	1 year
1466141	1 year
1408946	6 month
1408994	6 month
1409005	6 month
1409006	6 month
1408963	6 month
1408995	6 month
1408966	6 month
1409013	6 month
1409015	6 month
1409017	6 month
1466051	1 year
1408992	6 month
1409007	6 month
1409008	6 month
1409018	6 month
1409021	6 month
1466001	1 year
1466053	1 year
1466002	1 year
1466003	1 year
1408971	6 month
1408973	6 month
1408931	6 month
1466054	1 year
1408975	6 month
1408919	6 month
1408921	6 month
1408927	6 month
1408928	6 month
1409011	6 month
1409022	6 month
1466046	1 year
1466055	1 year
1409029	6 month
1466048	1 year
1408947	6 month
1408951	6 month
1466032	1 year
1466033	1 year
1408978	6 month
1466005	1 year
1466018	1 year
1466019	1 year
1466020	1 year
1408940	6 month
1409035	6 month
1409037	6 month
1408932	6 month
1408983	6 month
1408977	6 month
1408988	6 month
1408991	6 month
1408980	6 month
1466057	1 year
1466058	1 year
1466062	1 year
1466083	1 year
1408952	6 month
1408953	6 month
1408954	6 month
1408984	6 month
1408985	6 month
1408987	6 month
1466063	1 year
1466087	1 year
1408956	6 month
1408936	6 month
1408970	6 month
1466034	1 year
1409041	6 month
1409042	6 month
1409026	6 month
5782	adult
5787	adult
1347175	8-16 week
1347221	8-16 week
16220	6-10 week
1347185	8-16 week
1347191	8-16 week
1347178	8-16 week
1347179	8-16 week
1769365	adult
1371432	adult
1408968	6 month
1408990	6 month
1409002	6 month
1408939	6 month
1466044	1 year
1409025	6 month
1409040	6 month
1347200	8-16 week
1370735	adult
1408108	6 month
1408959	6 month
1347206	8-16 week
1470376	1 year
1347174	8-16 week
1347173	8-16 week
1277852	1 month
1371427	adult
1289535	adult
1347198	8-16 week
1324997	1 month
1349277	1 month
1466138	1 year
1466139	1 year
1466035	1 year
1466036	1 year
1465999	1 year
1466006	1 year
1409031	6 month
1409039	6 month
1466017	1 year
1408965	6 month
1466107	1 year
1408974	6 month
1408981	6 month
1347190	8-16 week
1408925	6 month
1408972	6 month
1408989	6 month
1409009	6 month
1409010	6 month
1409016	6 month
1409023	6 month
1408950	6 month
1408957	6 month
1408103	6 month
1466022	1 year
1466024	1 year
1466066	1 year
1347167	8-16 week
1466052	1 year
1466059	1 year
1466065	1 year
1347192	8-16 week
1408113	6 month
1408926	6 month
1408934	6 month
1408942	6 month
1466088	1 year
1466096	1 year
1466064	1 year
1408922	6 month
1408111	6 month
1466039	1 year
1408941	6 month
1408962	6 month
1466049	1 year
1408933	6 month
1409033	6 month
1409030	6 month
1408998	6 month
1409020	6 month
1347184	8-16 week
1408967	6 month
1409027	6 month
1408982	6 month
1409036	6 month
1409012	6 month
1408969	6 month
1466042	1 year
1409004	6 month
1347183	8-16 week
1347180	8-16 week
1408979	6 month
1347216	8-16 week
1466008	1 year
1347213	8-16 week
1408997	6 month
1408938	6 month
1409000	6 month
1786219	adult
1790895	adult
1786221	adult
1786222	adult
1815244	adult
1815307	adult
1815221	adult
1815237	adult
1812072	adult
1812075	adult
1812076	adult
1812077	adult
1811398	adult
1803236	4 week
1803234	4 week
1812086	child
1812085	adult
1800707	adult
1786200	adult
1786201	adult
1786226	adult
1786224	adult
1786205	adult
1786220	adult
1786223	adult
1785961	adult
1786225	adult
1786228	adult
1803228	4 week
1801450	newborn
1799191	newborn
1802310	adult
1799172	newborn
1790899	adult
1811443	adult
1807367	adult
1803213	4 week
1800742	adult
1789603	adult
1790900	adult
1789612	adult
1790898	adult
1789616	adult
1789617	adult
1793555	newborn
1793268	adult
1857709	6-10 week
