bcell_id	h_age
1341093	2-day to 6-week old
1212538	18-72
6513714	15-72
1341087	2-day to 6-week old
1341091	2-day to 6-week old
1476779	3 months to 7 years
1476781	3 months to 7 years
1476787	3 months to 7 years
1476784	3 months to 7 years
1354456	36-55
1494638	16 weeks-40 years
1341099	2-day to 6-week old
1341094	2-day to 6-week old
22792918	48
22792920	48
22792919	49
1412605	4 months- 4 years
1412610	4 months- 4 years
1379508	2 months to 14 years
1099228	18-72
1212514	18-72
1212515	18-72
1212518	18-72
1212532	18-72
1212530	18-72
1099226	18-72
1212529	18-72
1212536	18-72
1212539	18-72
1212540	18-72
1212534	18-72
1212535	18-72
1099229	18-72
1656843	23-80
1379503	2 months to 14 years
1379507	2 months to 14 years
1379509	2 months to 14 years
1472685	60
1960364	6 months to 3 years
1960365	6 months to 3 years
1281794	60
1341081	2-day to 6-week old
1341085	2-day to 6-week old
1281837	24
1336230	18-21
1212525	18-72
1341097	2-day to 6-week old
1341098	2-day to 6-week old
1354453	32-70
1354454	32-70
1354455	36-55
1341086	2-day to 6-week old
1341088	2-day to 6-week old
1341090	2-day to 6-week old
1341092	2-day to 6-week old
1341095	2-day to 6-week old
1412612	4 months- 4 years
1412613	4 months- 4 years
1412604	4 months- 4 years
1412606	4 months- 4 years
1412608	4 months- 4 years
1412609	4 months- 4 years
1412611	4 months- 4 years
1412602	4 months- 4 years
1412622	4 months- 4 years
1412603	4 months- 4 years
1412620	4 months- 4 years
1412621	4 months- 4 years
1471712	60
1471717	60
1471718	60
1471721	60
1471878	60
1471879	60
1471701	60
1379510	2 months to 14 years
1412618	4 months- 4 years
1341096	2-day to 6-week old
1471720	60
1341082	2-day to 6-week old
1212522	18-72
1212537	18-72
1212524	18-72
1471702	60
1471709	60
1471722	60
1983949	6 months to 53 years
1212517	18-72
1212519	18-72
1212528	18-72
1212531	18-72
1412607	4 months- 4 years
1412619	4 months- 4 years
1412615	4 months- 4 years
1412623	4 months- 4 years
1212541	18-72
1099227	18-72
1212533	18-72
1379506	2 months to 14 years
1336724	15-71
1212526	18-72
1212516	18-72
1471719	60
1786858	39.88 ± 10.13
1785431	25 to 77
1785432	25 to 77
1786809	39.18 ± 6.77
1785419	25 to 77
1771632	77
1771639	77
1771652	77
1771659	77
1771620	77
2116285	8 mo to 35 years
1496106	7 months to 14 years
2116286	8 mo to 35 years
2116287	8 mo to 35 years
1812012	64
1812013	64
1812014	64
1812015	64
1812009	64
1812016	64
1812017	64
1812018	64
2116226	8 mo to 35 years
2116227	8 mo to 35 years
2116280	8 mo to 35 years
2116283	8 mo to 35 years
2116284	8 mo to 35 years
1816954	67
1816957	67
1786587	2 months-12 years
1786588	2 months-12 years
1786589	2 months-12 years
1786813	38.15 ± 6.5
1786814	38.15 ± 6.5
1786815	38.15 ± 6.5
1786798	39.88 ± 10.13
1786812	38.15 ± 6.5
1786801	39.88 ± 10.13
1785877	52
1785941	22-41
1785942	22-41
1785943	22-41
1785944	22-41
1786802	39 ± 15
1786800	39.88 ± 10.13
1785945	22-41
1785948	22-41
1785949	22-41
1786804	39 ± 15
1786805	39 ± 15
1786806	39.18 ± 6.77
1786807	39.18 ± 6.77
1786808	39.18 ± 6.77
1785950	22-41
1786803	39 ± 15
1787291	6 months - 47 years
1787293	6 months - 47 years
1786799	39.88 ± 10.13
1787285	6 months - 47 years
1787294	6 months - 47 years
1787297	6 months - 47 years
2116310	8 mo to 35 years
1796612	2.8 to 4.2
1790360	24-49
2116311	8 mo to 35 years
2468231	6 months - 47 years
2116312	8 mo to 35 years
1786110	62
1778704	6 days to 7  months
1496102	7 months to 14 years
1496104	7 months to 14 years
1513319	14-57
1496105	7 months to 14 years
1494360	3 weeks - 6 months
1584134	3 months to 11 years
1584140	3 months to 11 years
1494640	16 weeks-40 years
1584141	3 months to 11 years
1584139	3 months to 11 years
1582545	22–59
2117082	8 mo to 35 years
2117079	8 mo to 35 years
1513252	14-57
1513289	14-57
1513306	14-57
1513288	14-57
1513326	14-57
1637727	5 to 26
1621359	14
1621360	14
1621361	14
1621365	14
1621358	14
1621367	14
1621368	14
1621369	14
1621370	14
1621366	14
1621376	14
1621377	14
1621378	14
1621379	14
1621380	14
1621382	14
1621383	14
1621384	14
1621385	14
1621392	14
1621399	14
1621400	14
1621401	14
1621402	14
1621349	14
1621393	14
1621394	14
1621395	14
1621396	14
1621397	14
1621398	14
1621403	14
1907646	3 weeks-15 years
1907647	3 weeks-15 years
1645212	69
1640244	5 to 26
1600818	6 months - 9 years
1600819	6 months - 9 years
1600820	6 months - 9 years
1600731	6 months - 9 years
1600732	6 months - 9 years
1600733	6 months - 9 years
1640287	6 to 84
1600728	6 months - 9 years
1600824	6 months - 9 years
1600825	6 months - 9 years
1600826	6 months - 9 years
1600832	6 months - 9 years
1600833	6 months - 9 years
1600834	6 months - 9 years
1640288	32 to 78
1600729	6 months - 9 years
1600730	6 months - 9 years
1600736	6 months - 9 years
1600737	6 months - 9 years
1600738	6 months - 9 years
1600739	6 months - 9 years
1600835	6 months - 9 years
1600830	6 months - 9 years
1600831	6 months - 9 years
1600837	6 months - 9 years
1600838	6 months - 9 years
1600839	6 months - 9 years
1600840	6 months - 9 years
1641466	6-22.8
1600841	6 months - 9 years
1600847	6 months - 9 years
1600821	6 months - 9 years
1600822	6 months - 9 years
1600823	6 months - 9 years
1600827	6 months - 9 years
1600828	6 months - 9 years
1600829	6 months - 9 years
1600740	6 months - 9 years
1600746	6 months - 9 years
1600747	6 months - 9 years
1600748	6 months - 9 years
1600749	6 months - 9 years
1600843	6 months - 9 years
1600844	6 months - 9 years
1600845	6 months - 9 years
1600846	6 months - 9 years
1600851	6 months - 9 years
1600852	6 months - 9 years
1600812	6 months - 9 years
1600813	6 months - 9 years
1600750	6 months - 9 years
1600755	6 months - 9 years
1600756	6 months - 9 years
1600757	6 months - 9 years
1600848	6 months - 9 years
1600849	6 months - 9 years
1600853	6 months - 9 years
1600752	6 months - 9 years
1600753	6 months - 9 years
1600754	6 months - 9 years
1600850	6 months - 9 years
1600856	6 months - 9 years
1600857	6 months - 9 years
1600858	6 months - 9 years
1600859	6 months - 9 years
1600760	6 months - 9 years
1600761	6 months - 9 years
1600762	6 months - 9 years
1600763	6 months - 9 years
1600854	6 months - 9 years
1600855	6 months - 9 years
1600758	6 months - 9 years
1600759	6 months - 9 years
1600765	6 months - 9 years
