bcell_id	h_age
1338083	Adults and children
1352075	average age 54
1280466	16-Feb
1336974	Adults and children
1279748	14 and younger
1279767	14 and younger
1279777	14 and younger
1279800	14 and younger
1466132	Ponies
1466136	Ponies
1336714	More than 15 years
1343567	Adutls
1384777	10 years and older
1466040	Ponies
1345388	Adutls
1279762	14 and younger
1319778	6-24 mo of age
1319782	6-24 mo of age
1336987	Children and adults
1279960	14 and younger
1279938	14 and younger
1279582	14 and younger
1279909	14 and younger
1335495	children and adults
1279420	14 and younger
1336935	More than 15 years
1336716	More than 15 years
1339467	Adults and children
1339474	Adults and children
1279619	14 and younger
1330820	Children and adults
1279497	14 and younger
1280006	14 and younger
1352106	average age 54
1351998	average age 54
1279920	14 and younger
1341796	2 to >20 years
1336966	Adults and children
1466105	Ponies
1466115	Ponies
1280027	14 and younger
1505074	≥ 18 years
1504551	≥ 18 years
1336986	Children and adults
1336957	Adults and children
1336965	Adults and children
1336943	More than 15 years
1342679	up to 12 weeks old
1479019	Younger than 35 years
1479020	Younger than 35 years
1279375	14 and younger
1280035	14 and younger
1279476	14 and younger
1319835	6-24 mo of age
1491772	Adults and children
1491773	Adults and children
1489288	Children <5 years old
1489289	Children <5 years old
1489254	Children <5 years old
1330947	Children and adults
1489290	Children <5 years old
1489291	Children <5 years old
1489292	Children <5 years old
1489293	Children <5 years old
1489255	Children <5 years old
1491774	Adults and children
1491775	Adults and children
1491770	Adults and children
1491771	Adults and children
1489256	Children <5 years old
1489257	Children <5 years old
1489258	Children <5 years old
1489259	Children <5 years old
1489294	Children <5 years old
1489285	Children <5 years old
1489286	Children <5 years old
1489287	Children <5 years old
1491900	8 weeks or 12 months
1491896	8 weeks or 12 months
1336745	More than 15 years
1489260	Children <5 years old
1489261	Children <5 years old
1489262	Children <5 years old
1489263	Children <5 years old
1338211	Children and Adults
1341991	Children and adults
1489264	Children <5 years old
1489295	Children <5 years old
1489296	Children <5 years old
1489297	Children <5 years old
1489298	Children <5 years old
22792459	16-20years
1279465	14 and younger
1279470	14 and younger
1352021	average age 54
1319769	6-24 mo of age
1351999	average age 54
1351989	average age 54
1352015	average age 54
1335485	children and adults
1352069	average age 54
1336706	More than 15 years
1336720	More than 15 years
1336934	More than 15 years
1341801	2 to >20 years
8304	37 average
1279422	14 and younger
1279781	14 and younger
1279761	14 and younger
1279877	14 and younger
1279861	14 and younger
1279809	14 and younger
1279976	14 and younger
1280004	14 and younger
1279482	14 and younger
1279613	14 and younger
1279869	14 and younger
1279718	14 and younger
1279693	14 and younger
1279525	14 and younger
1279367	14 and younger
1279832	14 and younger
1279380	14 and younger
1279537	14 and younger
1279541	14 and younger
1319454	6-24 mo of age
1279890	14 and younger
1279895	14 and younger
1279602	14 and younger
1279603	14 and younger
1279889	14 and younger
1319840	6-24 mo of age
1352094	average age 54
1279595	14 and younger
1280019	14 and younger
1280026	14 and younger
1279580	14 and younger
1347306	Adults and children
1279361	14 and younger
1279355	14 and younger
1279625	14 and younger
1330948	Children and adults
1338212	Children and Adults
1279504	14 and younger
1279509	14 and younger
1279793	14 and younger
1280040	14 and younger
1341824	Children and adults
1279940	14 and younger
1279443	14 and younger
1279518	14 and younger
1279816	14 and younger
1352073	average age 54
1352083	average age 54
1352096	average age 54
1279921	14 and younger
1279970	14 and younger
1280074	14 and younger
1279999	14 and younger
1279556	14 and younger
1342697	up to 12 weeks old
1342703	up to 12 weeks old
1351991	average age 54
1279930	14 and younger
1279412	14 and younger
