bcell_id	h_age	new_h_age
1341809	6-8 week-old	6-8 weeks
1961150	24-day-old	24 days
1412714	1-5 years old	1-5 years
17494	7-9 wks	7-9 weeks
17498	7-9 wks	7-9 weeks
1339898	Adults	adult
19094	12-24 month old	12-24 months
19169	12-24 month old	12-24 months
1338271	1-84 years old	1-84 years
1312106	4 to 7 week-old	4-7 weeks
20420	8 wekks-old	8 weeks
1341362	4-8-week-old	4-8 weeks
1466041	Adult	adult
1355448	6-8 weeks-old	6-8 weeks
1352137	2-month-old	2 months
17395	7-9 wks	7-9 weeks
1412863	1-5 years old	1-5 years
1267640	4-10 weeks old	4-10 weeks
1376983	6 weeks old	6 weeks
1326527	5-6 weeks-old	5-6 weeks
1278270	2-4 years-old	2-4 years
1466118	Adult	adult
1475044	3 weeks old	3 weeks
1474332	6-7 weeks-old	6-7 weeks
1474333	6-7 weeks-old	6-7 weeks
1474337	6-7 weeks-old	6-7 weeks
1474353	6-7 weeks-old	6-7 weeks
1313324	6-8 weeks-old	6-8 weeks
1355421	6-8 weeks old	6-8 weeks
1347090	One week	1 week
1343188	6-7-week-old	6-7 weeks
1412839	1-5 years old	1-5 years
1379536	Adults	adult
1408930	6 month	6 months
1408948	6 month	6 months
1278276	6-8 weeks-old	6-8 weeks
1349683	6-8 weeks old	6-8 weeks
1474354	6-7 weeks-old	6-7 weeks
1162747	6-8 weeks-old	6-8 weeks
1339049	Adults	adult
1339075	Adults	adult
1376970	6 weeks old	6 weeks
1349178	8-12 weeks old	8-12 weeks
1337997	6-8 weeks-old	6-8 weeks
1337858	6-8 weeks-old	6-8 weeks
1475150	3 weeks old	3 weeks
1349066	6-8 weeks old	6-8 weeks
16275	4-6 weeks-old	4-6 weeks
1339675	Adults	adult
1338277	1-84 years old	1-84 years
1338290	1-84 years old	1-84 years
1338301	1-84 years old	1-84 years
1275785	6-7 wks	6-7 weeks
1341992	Adults	adult
1378538	7 weeks old	7 weeks
1343138	6-7-week-old	6-7 weeks
1338334	1-84 years old	1-84 years
1244213	4-6 weeks-old	4-6 weeks
1349631	3 month old	3 months
1066607	6-8 weeks-old	6-8 weeks
4132	8-10 wo	8-10 weeks
4170	8-10 wo	8-10 weeks
4225	8-10 wo	8-10 weeks
1279849	4 to 6 weeks	4-6 weeks
1335418	5-7 months old	5-7 months
1343149	6-7-week-old	6-7 weeks
1475055	3 weeks old	3 weeks
1475058	3 weeks old	3 weeks
