h_age	occurrences
2-day to 6-week old	17
18-72	56
15-72	4
3 months to 7 years	4
36-55	2
16 weeks-40 years	2
48	20
49	13
4 months- 4 years	35
2 months to 14 years	6
23-80	14
60	40
6 months to 3 years	106
24	14
18-21	1
32-70	2
6 months to 53 years	2
15-71	1
39.88 ± 10.13	5
25 to 77	3
39.18 ± 6.77	4
77	94
8 mo to 35 years	61
7 months to 14 years	4
64	54
67	66626
2 months-12 years	3
38.15 ± 6.5	4
52	42
22-41	8
39 ± 15	4
6 months - 47 years	6
2.8 to 4.2	3
24-49	1
62	28
6 days to 7  months	1
14-57	14
3 weeks - 6 months	1
3 months to 11 years	4
22–59	1
5 to 26	2
14	33
3 weeks-15 years	20
69	92
6 months - 9 years	136
6 to 84	1
32 to 78	1
6-22.8	1
19.8 to 38.8	4
3 months to 64 years	17
7 months - 9 years	2
3 months to 2 years	1
19-49	1
18-53	1
17-81	2
20-82	12
19-43	2
4 months-30 years	20
4 months-15 years	4
32-60	2
25	40
38	138
50 to 68	19
48-51	7
13-68	9
23.6-53.8	2
14 to 45	8
11 to 82	35
17 to 84	4
20 to 75	3
18–73	7
38-73	93
21 months-45 years	13
18-35	3
23-53	5
24.92 +/- 0.84	23
57-59	10
23-66	2
26-48	3
19-66	1
40-42	7
63-64	3
31-32	9
44-47	1
40	84
44	68
57	194
35	121
31.7+/-4.5	4
31.6+/-5.4	4
1 month - 13 years	18
42.18+/-13.23	4
44.94+/-15.65	4
28-82	1
1 day to 103 years	12
12-30	1
6 months to 14 years	149
20-85	1
53.7 +/- 11.2	15
58.8 +/- 8.7	14
55.7 +/- 5.7	1
49.5 +/- 7.5	1
1 day to 6 months	7
2 months - 12 years	482
8 months to 54 years	929
11 months - 55 years	103
1.5 months to 40 years	4
17 months - 4 years	2
3 months to 15 years	1
7 months to 10 years	1
60-74	48
66-73	24
1 month - 4 years	16
3 months to 25 years	3
29-38	19
31-39	65
73	53
7-79	8
32	49
32-42	1
37-57	14
52-68	18
17-57	30
6 months-1.1 year	35
18-61	10
17-88	6
30	7
1 month-old-81 years-old	14
43-46	15
27-60	10
30-86	7
5 months-3 years	25
50	195
41-55	34
20-65	39
6 months to 2 years	2
21	36
47.6	5
50-76	4
31-80	10
31-37	3
8-10	11
47	20
23-32	17
42	25671
31	10
31-42	1
29-70	10
32-74	24
6-8	74
26	76
11-50	8
9-72	3
2 months to 52 years	20
17	60
1-32	8
41-73	4
32-58	4
51	189
50-58	16
30-45	16
28-44	20
54	29
36	41
43	6
29	19
27	9
45-52	7
12-20	6
19-25	12
19-26	6
39	30
29-55	40
19-48	10
24-36	17
15	3
43-65	4
18-70	2
4 wk - 3 mo	3
8 weeks to 6 months	30
25-37	1
14-74	2
25-73	13
20-51	5
34	3
38-53	10
16-53	2
19-57	21
30-78	14
13-45	4
12-43	8
46	256
10-52	2
12-41	1
13	9
27 to 51	11
12 years 9 months	4
19	4
28	148
21-35	2
23-64	4
32-63	10
45	29
33-39	9
26-55	10
39-43	2
29-63	28
18-45	4
19-61	36
24-67	18
33-87	34
23-67	18
6-15	11
20-58	6
26-39	2
25-45	3
2 to 62	31
19-62	18
37	110
7	2
56-85	10
63	45
26-64	6
31-54	1
33-63	16
18-49	28
25-54	28
26-57	5
34-35	5
34-64	3
32-35	2
35-64	8
61	82
15-90	9
54-74	21
58-75	297
56-63	300
7-30	44
21-79	3
21-37	1
17 to 24	9
6 weeks to 22 months	9
4 days to 5 weeks	1
24-52	3
19-30	2
26-58	2
24-46	28
6 motnhs to 15 years	1
70	279
29-62	24
8-44	4
22-39	10
6 months to 18 years	16
9 months to 81 years	12
58	60
37-74	2
55	33
24-75	92
12 weeks - 22 months	4
19-45	19
12 weeks to 20 months	4
6 weeks to 20 months	1
22-46	27
29-83	8
14-56	840
33	39211
22.5-35.5	4
17-56	16
24-55	4
58.8 ± 17.4	7
3 months- 17 years	3
21-26	6
13-26	2
13-17	2
79	118
71	54
53	50
41	10
65	28
66	7
56	184
1 day to 40 years	28
72	37
56 to 66	1
22-71	1
56-66	1
22	2
74	32
69-70	2
56-69	1
70-71	2
50–81	12
54–77	23
7 months to 44 years	1
68	7
8.4	1
83-86	1
83	9
81	3
64-83	4
4 days - 9 months	460
6 months to 5 years	1
5 months to 5 years	279
6 months to 15 years	705
59	2
75	1
76	1
78	2
80	1
82	1
84	1
85	1
86	2
87	2
88	1
89	2
90	2
91	2
92	2
93	1
94	2
95	2
96	2
97	2
98	1
99	1
100	1
101	2
