mhc_elution_id	h_age
22763773	1 year
22763782	1 year
3960247	adult
3967574	adult
3967832	adult
3968158	adult
3968200	adult
3967731	adult
3961437	adult
3962703	adult
3961949	adult
3963215	adult
3960572	adult
3962769	adult
3960824	adult
3962773	adult
3963515	adult
3963998	adult
3960840	adult
3963344	adult
3961876	adult
3964089	adult
3957115	adult
3958378	adult
3960746	adult
3966797	adult
3957909	adult
3956455	adult
3956279	adult
3967035	adult
3965625	adult
3965185	adult
3965424	adult
3965659	adult
3965884	adult
3956044	adult
3957093	adult
3964176	adult
3964248	adult
3966745	adult
3958889	adult
3958899	adult
3959255	adult
3960195	adult
22763850	1 year
22763812	1 year
22763813	1 year
22763816	1 year
22763820	1 year
22763825	1 year
22763784	1 year
3956153	adult
3956161	adult
3956165	adult
3956166	adult
3956390	adult
3956392	adult
3956399	adult
3956401	adult
3956910	adult
3956912	adult
3956914	adult
3956915	adult
3956918	adult
3956919	adult
3956920	adult
3956921	adult
3956922	adult
3957112	adult
3957113	adult
3957114	adult
3957116	adult
3957117	adult
3957120	adult
3957121	adult
3957122	adult
3957124	adult
3957161	adult
3957173	adult
3957254	adult
3957256	adult
3957260	adult
3957264	adult
3957503	adult
3957511	adult
3957514	adult
3957515	adult
3957516	adult
3957624	adult
3957625	adult
3957630	adult
3957634	adult
3957637	adult
3957875	adult
3957877	adult
3957880	adult
3957884	adult
3958124	adult
3958126	adult
3958130	adult
3958134	adult
3958370	adult
3958372	adult
3958374	adult
3955456	adult
3955459	adult
3955460	adult
3955462	adult
3955464	adult
3955465	adult
3955467	adult
3955468	adult
3955687	adult
3955690	adult
3955695	adult
3955698	adult
3955922	adult
3955924	adult
3955925	adult
3955928	adult
3955930	adult
3955932	adult
3956176	adult
3956178	adult
3956181	adult
3956405	adult
3956408	adult
3956409	adult
3956412	adult
3956414	adult
3956923	adult
3956925	adult
3956926	adult
3956927	adult
3956928	adult
3956929	adult
3956930	adult
3956931	adult
3956933	adult
3956934	adult
3957125	adult
3957127	adult
3957128	adult
3957129	adult
3957130	adult
3957131	adult
3957132	adult
3957133	adult
3957135	adult
3957164	adult
3957163	adult
3957272	adult
3957277	adult
3957281	adult
3957524	adult
3957525	adult
3957530	adult
3957645	adult
3957653	adult
3957896	adult
3957901	adult
3958136	adult
3958138	adult
3958144	adult
3958146	adult
3958148	adult
3958399	adult
3955472	adult
3955474	adult
3955476	adult
3955478	adult
3955700	adult
3955702	adult
3955703	adult
3955708	adult
3955709	adult
3955934	adult
3955941	adult
3955944	adult
3955945	adult
3956183	adult
3956185	adult
3956186	adult
3956189	adult
3956191	adult
3956194	adult
3956195	adult
3956935	adult
3956936	adult
3956939	adult
3956940	adult
3956941	adult
3956942	adult
3956943	adult
3956944	adult
3956945	adult
3957137	adult
3957138	adult
3957139	adult
3957140	adult
3957141	adult
3957142	adult
3957144	adult
3957145	adult
3957146	adult
3957147	adult
3957166	adult
3957285	adult
3957288	adult
3957290	adult
3957297	adult
3957537	adult
3957539	adult
3957540	adult
3957542	adult
3957543	adult
3957544	adult
3957655	adult
3957657	adult
3957665	adult
3957668	adult
3957904	adult
3957912	adult
3957915	adult
3958150	adult
3958156	adult
3958159	adult
3958382	adult
3958387	adult
3958390	adult
3958392	adult
3955486	adult
3955490	adult
3955493	adult
3955715	adult
3955716	adult
3955718	adult
3955720	adult
3955722	adult
3955725	adult
3955728	adult
3955958	adult
3956197	adult
3956199	adult
3956201	adult
3956204	adult
3956206	adult
3956950	adult
3956951	adult
3956952	adult
3956953	adult
3956956	adult
3956957	adult
3956959	adult
3956960	adult
3957315	adult
3957679	adult
3957684	adult
3957920	adult
3957928	adult
3957930	adult
3958170	adult
3958171	adult
3958175	adult
3958179	adult
3955271	adult
3955272	adult
3955273	adult
3955274	adult
3955275	adult
3955276	adult
3955277	adult
3955278	adult
3955280	adult
3955282	adult
3955500	adult
3955502	adult
3955507	adult
3955511	adult
3955731	adult
3955732	adult
3955733	adult
3955736	adult
3955737	adult
3955739	adult
3955966	adult
3955968	adult
3955969	adult
3955970	adult
3955974	adult
3955978	adult
3956211	adult
3956214	adult
3956215	adult
3956216	adult
3956220	adult
3956223	adult
3956961	adult
3956962	adult
3956963	adult
3956964	adult
3956965	adult
3956966	adult
3956967	adult
3956968	adult
3956969	adult
3956970	adult
3956971	adult
3956972	adult
3957150	adult
3957149	adult
3957319	adult
3957324	adult
3957326	adult
3957327	adult
3957699	adult
3957701	adult
3957934	adult
3957942	adult
3958181	adult
3958184	adult
3958194	adult
3958196	adult
3955283	adult
3955284	adult
3955286	adult
3955288	adult
3955290	adult
3955291	adult
3955293	adult
3955294	adult
3955515	adult
3955517	adult
3955523	adult
3955743	adult
3955744	adult
3955748	adult
3955752	adult
3955755	adult
3955982	adult
3955984	adult
3955988	adult
3955990	adult
3955992	adult
3956225	adult
3956226	adult
3956227	adult
3956229	adult
3956230	adult
3956232	adult
3956233	adult
3956235	adult
3956236	adult
3956973	adult
3956974	adult
3956975	adult
3956976	adult
3956977	adult
3956978	adult
3956979	adult
3956980	adult
3956981	adult
3957152	adult
3957151	adult
3957335	adult
3957341	adult
3957344	adult
3957345	adult
3957708	adult
3957714	adult
3957718	adult
3957951	adult
3957953	adult
3957955	adult
3957957	adult
3957959	adult
3957962	adult
3958199	adult
3958202	adult
3958206	adult
3958211	adult
3955296	adult
3955298	adult
3955300	adult
3955302	adult
3955304	adult
3955305	adult
3955306	adult
3955308	adult
3955532	adult
3955535	adult
3955537	adult
3955539	adult
3955541	adult
3955542	adult
3955761	adult
3955763	adult
3955764	adult
3955767	adult
3955768	adult
3955771	adult
3955993	adult
3955995	adult
3955996	adult
3955997	adult
3955999	adult
3956004	adult
3956005	adult
3956240	adult
3956241	adult
3956242	adult
3956244	adult
3956245	adult
3956247	adult
3956248	adult
3956249	adult
3956250	adult
3956769	adult
3956986	adult
3956987	adult
3956992	adult
3957154	adult
3957153	adult
3957178	adult
3957346	adult
3957349	adult
3957351	adult
3957355	adult
3957722	adult
3957723	adult
3957729	adult
3957733	adult
3957964	adult
3957967	adult
3957972	adult
3957977	adult
3958213	adult
3958217	adult
3958219	adult
3958221	adult
3958224	adult
3958225	adult
3955309	adult
3955310	adult
3955312	adult
3955313	adult
3955314	adult
3955319	adult
3955322	adult
3955543	adult
3955545	adult
3955546	adult
3955547	adult
3955549	adult
3955552	adult
3955773	adult
3955781	adult
3955782	adult
3956008	adult
3956013	adult
3956016	adult
3956021	adult
3956251	adult
3956253	adult
3956255	adult
3956264	adult
3956265	adult
3956516	adult
3957001	adult
3957002	adult
3957009	adult
3957010	adult
3957011	adult
3957012	adult
3957013	adult
3957156	adult
3957155	adult
3957361	adult
3957373	adult
3957376	adult
3957735	adult
3957739	adult
3957742	adult
3957982	adult
3957988	adult
3957990	adult
3958228	adult
3958232	adult
3955323	adult
3955325	adult
3955326	adult
3955327	adult
3955328	adult
3955329	adult
3955330	adult
3955331	adult
3955335	adult
3955557	adult
3955560	adult
3955563	adult
3955564	adult
3955565	adult
3955568	adult
3955787	adult
3955788	adult
3955790	adult
3955795	adult
3955797	adult
3955799	adult
3956023	adult
3956029	adult
3956030	adult
3956031	adult
3956033	adult
3956267	adult
3956271	adult
3956275	adult
3957014	adult
3957015	adult
3957016	adult
3957017	adult
3957018	adult
3957019	adult
3957020	adult
3957021	adult
3957023	adult
3957024	adult
3957025	adult
3957377	adult
3957378	adult
3957379	adult
3957383	adult
3957385	adult
3957750	adult
3957752	adult
3957754	adult
3957760	adult
3957763	adult
3958243	adult
3958245	adult
3958247	adult
3958252	adult
3958256	adult
3955343	adult
3955345	adult
3955346	adult
3955571	adult
3955574	adult
3955575	adult
3955576	adult
3955578	adult
3955579	adult
3955583	adult
3955801	adult
3955804	adult
3955806	adult
3955808	adult
3955810	adult
3955813	adult
3956036	adult
3956038	adult
3956039	adult
3956048	adult
3956290	adult
3956294	adult
3956810	adult
3956824	adult
3957026	adult
3957027	adult
3957028	adult
3957029	adult
3957030	adult
3957031	adult
3957032	adult
3957033	adult
3957034	adult
3957035	adult
3957036	adult
3957392	adult
3957393	adult
3957394	adult
3957402	adult
3957404	adult
3957769	adult
3957774	adult
3957776	adult
3958014	adult
3958017	adult
3958018	adult
3958259	adult
3958262	adult
3958264	adult
3955353	adult
3955356	adult
