mhc_elution_id	h_age
2484436	4 days - 9 months
2484428	4 days - 9 months
2484366	4 days - 9 months
2484378	4 days - 9 months
2484387	4 days - 9 months
2484423	4 days - 9 months
2484296	4 days - 9 months
2484391	4 days - 9 months
2484402	4 days - 9 months
2484437	4 days - 9 months
2484302	4 days - 9 months
2484309	4 days - 9 months
2484317	4 days - 9 months
2484324	4 days - 9 months
2484331	4 days - 9 months
2484422	4 days - 9 months
2484338	4 days - 9 months
2484345	4 days - 9 months
2484353	4 days - 9 months
2484358	4 days - 9 months
2484372	4 days - 9 months
2484365	4 days - 9 months
2484379	4 days - 9 months
2484409	4 days - 9 months
2484414	4 days - 9 months
2484314	4 days - 9 months
2461505	6 months to 5 years
2484380	4 days - 9 months
2484381	4 days - 9 months
2484382	4 days - 9 months
2484383	4 days - 9 months
2484384	4 days - 9 months
2484385	4 days - 9 months
2484434	4 days - 9 months
2484435	4 days - 9 months
2484438	4 days - 9 months
2484439	4 days - 9 months
2484440	4 days - 9 months
2484441	4 days - 9 months
2484386	4 days - 9 months
2484388	4 days - 9 months
2484389	4 days - 9 months
2484390	4 days - 9 months
2484392	4 days - 9 months
2484393	4 days - 9 months
2484394	4 days - 9 months
2484395	4 days - 9 months
2484396	4 days - 9 months
2484397	4 days - 9 months
2484398	4 days - 9 months
2484400	4 days - 9 months
2484401	4 days - 9 months
2484403	4 days - 9 months
2484404	4 days - 9 months
2484405	4 days - 9 months
2484406	4 days - 9 months
2484407	4 days - 9 months
2484408	4 days - 9 months
2484410	4 days - 9 months
2484411	4 days - 9 months
2484412	4 days - 9 months
2484413	4 days - 9 months
2484359	4 days - 9 months
2484360	4 days - 9 months
2484361	4 days - 9 months
2484362	4 days - 9 months
2484363	4 days - 9 months
2484415	4 days - 9 months
2484416	4 days - 9 months
2484417	4 days - 9 months
2484418	4 days - 9 months
2484364	4 days - 9 months
2484367	4 days - 9 months
2484368	4 days - 9 months
2484369	4 days - 9 months
2484370	4 days - 9 months
2484371	4 days - 9 months
2484419	4 days - 9 months
2484420	4 days - 9 months
2484421	4 days - 9 months
2484424	4 days - 9 months
2484425	4 days - 9 months
2484426	4 days - 9 months
2484427	4 days - 9 months
2484373	4 days - 9 months
2484374	4 days - 9 months
2484375	4 days - 9 months
2484376	4 days - 9 months
2484377	4 days - 9 months
2484429	4 days - 9 months
2484430	4 days - 9 months
2484431	4 days - 9 months
2484432	4 days - 9 months
2484433	4 days - 9 months
2484604	4 days - 9 months
2484605	4 days - 9 months
2484606	4 days - 9 months
2484607	4 days - 9 months
2484651	4 days - 9 months
2484652	4 days - 9 months
2484654	4 days - 9 months
2484522	4 days - 9 months
2484608	4 days - 9 months
2484621	4 days - 9 months
2484649	4 days - 9 months
2484690	4 days - 9 months
2484484	4 days - 9 months
2484485	4 days - 9 months
2484486	4 days - 9 months
2484487	4 days - 9 months
2484488	4 days - 9 months
2484655	4 days - 9 months
2484657	4 days - 9 months
2484658	4 days - 9 months
2484659	4 days - 9 months
2484661	4 days - 9 months
2484662	4 days - 9 months
2484663	4 days - 9 months
2484664	4 days - 9 months
2484491	4 days - 9 months
2484492	4 days - 9 months
2484493	4 days - 9 months
2484494	4 days - 9 months
2484495	4 days - 9 months
2484496	4 days - 9 months
2484707	4 days - 9 months
2484708	4 days - 9 months
2484709	4 days - 9 months
2484710	4 days - 9 months
2484539	4 days - 9 months
2484540	4 days - 9 months
2484329	4 days - 9 months
2484330	4 days - 9 months
2484332	4 days - 9 months
2484333	4 days - 9 months
2484334	4 days - 9 months
2484335	4 days - 9 months
2484711	4 days - 9 months
2484712	4 days - 9 months
2484713	4 days - 9 months
2484715	4 days - 9 months
2484717	4 days - 9 months
2484718	4 days - 9 months
2484719	4 days - 9 months
2484720	4 days - 9 months
2484721	4 days - 9 months
2484560	4 days - 9 months
2484568	4 days - 9 months
2484542	4 days - 9 months
2484543	4 days - 9 months
2484544	4 days - 9 months
2484545	4 days - 9 months
2484546	4 days - 9 months
2484547	4 days - 9 months
2484548	4 days - 9 months
2484550	4 days - 9 months
2484551	4 days - 9 months
2484552	4 days - 9 months
2484337	4 days - 9 months
2484339	4 days - 9 months
2484340	4 days - 9 months
2484341	4 days - 9 months
2484342	4 days - 9 months
2484609	4 days - 9 months
2484610	4 days - 9 months
2484442	4 days - 9 months
2484444	4 days - 9 months
2484576	4 days - 9 months
2484600	4 days - 9 months
2484613	4 days - 9 months
2484622	4 days - 9 months
2484631	4 days - 9 months
2484642	4 days - 9 months
2484650	4 days - 9 months
2484653	4 days - 9 months
2484611	4 days - 9 months
2484612	4 days - 9 months
2484614	4 days - 9 months
2484615	4 days - 9 months
2484616	4 days - 9 months
2484617	4 days - 9 months
2484618	4 days - 9 months
2484619	4 days - 9 months
2484620	4 days - 9 months
2484445	4 days - 9 months
2484446	4 days - 9 months
2484447	4 days - 9 months
2484448	4 days - 9 months
2484449	4 days - 9 months
2484450	4 days - 9 months
2484452	4 days - 9 months
2484453	4 days - 9 months
2484454	4 days - 9 months
2484665	4 days - 9 months
2484498	4 days - 9 months
2484499	4 days - 9 months
2484667	4 days - 9 months
2484668	4 days - 9 months
2484669	4 days - 9 months
2484670	4 days - 9 months
2484671	4 days - 9 months
2484672	4 days - 9 months
2484674	4 days - 9 months
2484675	4 days - 9 months
2484676	4 days - 9 months
2484678	4 days - 9 months
2484500	4 days - 9 months
2484502	4 days - 9 months
2484503	4 days - 9 months
2484505	4 days - 9 months
2484506	4 days - 9 months
2484507	4 days - 9 months
2484508	4 days - 9 months
2484509	4 days - 9 months
2484510	4 days - 9 months
2484722	4 days - 9 months
2484293	4 days - 9 months
2484294	4 days - 9 months
2484295	4 days - 9 months
2484297	4 days - 9 months
2484298	4 days - 9 months
2484299	4 days - 9 months
2484300	4 days - 9 months
2484343	4 days - 9 months
2484344	4 days - 9 months
2484346	4 days - 9 months
2484347	4 days - 9 months
2484348	4 days - 9 months
2484723	4 days - 9 months
2484724	4 days - 9 months
2484725	4 days - 9 months
2484726	4 days - 9 months
2484727	4 days - 9 months
2484728	4 days - 9 months
2484729	4 days - 9 months
2484731	4 days - 9 months
2484732	4 days - 9 months
2484733	4 days - 9 months
2484734	4 days - 9 months
2484735	4 days - 9 months
2484554	4 days - 9 months
2484555	4 days - 9 months
2484556	4 days - 9 months
2484557	4 days - 9 months
2484558	4 days - 9 months
2484559	4 days - 9 months
2484561	4 days - 9 months
2484563	4 days - 9 months
2484349	4 days - 9 months
2484351	4 days - 9 months
2484352	4 days - 9 months
2484354	4 days - 9 months
2484356	4 days - 9 months
2484357	4 days - 9 months
2484660	4 days - 9 months
2484666	4 days - 9 months
2484673	4 days - 9 months
2484683	4 days - 9 months
2484691	4 days - 9 months
2484693	4 days - 9 months
2484700	4 days - 9 months
2484760	4 days - 9 months
2484596	4 days - 9 months
2484564	4 days - 9 months
2484565	4 days - 9 months
2484566	4 days - 9 months
2484624	4 days - 9 months
2484625	4 days - 9 months
2484626	4 days - 9 months
2484627	4 days - 9 months
2484628	4 days - 9 months
2484629	4 days - 9 months
2484630	4 days - 9 months
2484633	4 days - 9 months
2484634	4 days - 9 months
2484455	4 days - 9 months
2484456	4 days - 9 months
2484458	4 days - 9 months
2484459	4 days - 9 months
2484460	4 days - 9 months
2484461	4 days - 9 months
2484462	4 days - 9 months
2484463	4 days - 9 months
2484465	4 days - 9 months
2484635	4 days - 9 months
2484636	4 days - 9 months
2484466	4 days - 9 months
2484467	4 days - 9 months
2484679	4 days - 9 months
2484680	4 days - 9 months
2484681	4 days - 9 months
2484682	4 days - 9 months
2484684	4 days - 9 months
2484685	4 days - 9 months
2484686	4 days - 9 months
2484687	4 days - 9 months
2484511	4 days - 9 months
2484512	4 days - 9 months
2484513	4 days - 9 months
2484514	4 days - 9 months
2484516	4 days - 9 months
2484517	4 days - 9 months
2484518	4 days - 9 months
2484519	4 days - 9 months
2484520	4 days - 9 months
2484521	4 days - 9 months
2484301	4 days - 9 months
2484303	4 days - 9 months
2484304	4 days - 9 months
2484305	4 days - 9 months
2484306	4 days - 9 months
2484307	4 days - 9 months
2484308	4 days - 9 months
2484310	4 days - 9 months
2484311	4 days - 9 months
2484312	4 days - 9 months
2484581	4 days - 9 months
2484688	4 days - 9 months
2484689	4 days - 9 months
2484692	4 days - 9 months
2484443	4 days - 9 months
2484451	4 days - 9 months
2484457	4 days - 9 months
2484464	4 days - 9 months
2484524	4 days - 9 months
2484736	4 days - 9 months
2484737	4 days - 9 months
2484738	4 days - 9 months
2484739	4 days - 9 months
2484742	4 days - 9 months
2484743	4 days - 9 months
2484744	4 days - 9 months
2484567	4 days - 9 months
2484569	4 days - 9 months
2484570	4 days - 9 months
2484313	4 days - 9 months
2484582	4 days - 9 months
2484583	4 days - 9 months
2484584	4 days - 9 months
2484587	4 days - 9 months
2484588	4 days - 9 months
2484591	4 days - 9 months
2484592	4 days - 9 months
2484593	4 days - 9 months
2484594	4 days - 9 months
2484469	4 days - 9 months
2484476	4 days - 9 months
2484483	4 days - 9 months
2484746	4 days - 9 months
2484747	4 days - 9 months
2484749	4 days - 9 months
2484632	4 days - 9 months
2484677	4 days - 9 months
2484468	4 days - 9 months
2484478	4 days - 9 months
2484696	4 days - 9 months
2484489	4 days - 9 months
2484501	4 days - 9 months
2484562	4 days - 9 months
2484571	4 days - 9 months
2484572	4 days - 9 months
2484573	4 days - 9 months
2484574	4 days - 9 months
2484575	4 days - 9 months
2484577	4 days - 9 months
2484578	4 days - 9 months
2484579	4 days - 9 months
2484637	4 days - 9 months
2484638	4 days - 9 months
2484639	4 days - 9 months
2484640	4 days - 9 months
2484641	4 days - 9 months
2484643	4 days - 9 months
2484761	4 days - 9 months
2484762	4 days - 9 months
2484470	4 days - 9 months
2484471	4 days - 9 months
2484472	4 days - 9 months
2484473	4 days - 9 months
2484474	4 days - 9 months
2484475	4 days - 9 months
2484477	4 days - 9 months
2484580	4 days - 9 months
2484644	4 days - 9 months
2484645	4 days - 9 months
2484647	4 days - 9 months
2484648	4 days - 9 months
2484479	4 days - 9 months
2484480	4 days - 9 months
2484481	4 days - 9 months
2484482	4 days - 9 months
2484694	4 days - 9 months
2484695	4 days - 9 months
2484697	4 days - 9 months
2484698	4 days - 9 months
2484699	4 days - 9 months
2484701	4 days - 9 months
2484525	4 days - 9 months
2484526	4 days - 9 months
2484528	4 days - 9 months
2484529	4 days - 9 months
2484530	4 days - 9 months
2484531	4 days - 9 months
2484532	4 days - 9 months
2484533	4 days - 9 months
2484315	4 days - 9 months
2484316	4 days - 9 months
2484318	4 days - 9 months
2484319	4 days - 9 months
2484320	4 days - 9 months
2484321	4 days - 9 months
2484322	4 days - 9 months
2484323	4 days - 9 months
2484702	4 days - 9 months
2484703	4 days - 9 months
2484704	4 days - 9 months
2484705	4 days - 9 months
2484706	4 days - 9 months
2484490	4 days - 9 months
2484497	4 days - 9 months
2484504	4 days - 9 months
2484515	4 days - 9 months
2484523	4 days - 9 months
2484535	4 days - 9 months
2484536	4 days - 9 months
2484537	4 days - 9 months
2484538	4 days - 9 months
2484750	4 days - 9 months
2484751	4 days - 9 months
2484752	4 days - 9 months
2484753	4 days - 9 months
2484754	4 days - 9 months
2484755	4 days - 9 months
2484756	4 days - 9 months
2484325	4 days - 9 months
2484326	4 days - 9 months
2484327	4 days - 9 months
2484328	4 days - 9 months
2484595	4 days - 9 months
2484597	4 days - 9 months
2484598	4 days - 9 months
2484599	4 days - 9 months
2484601	4 days - 9 months
2484602	4 days - 9 months
2484603	4 days - 9 months
2484527	4 days - 9 months
2484534	4 days - 9 months
2484541	4 days - 9 months
2484549	4 days - 9 months
2484553	4 days - 9 months
2484763	4 days - 9 months
2484764	4 days - 9 months
2484765	4 days - 9 months
2484767	4 days - 9 months
2484768	4 days - 9 months
2484399	4 days - 9 months
2484757	4 days - 9 months
2484758	4 days - 9 months
2484759	4 days - 9 months
2545611	5 months to 5 years
2545612	5 months to 5 years
2545613	5 months to 5 years
2545614	5 months to 5 years
2545622	5 months to 5 years
2545623	5 months to 5 years
2545624	5 months to 5 years
2545625	5 months to 5 years
2545626	5 months to 5 years
2545633	5 months to 5 years
2545634	5 months to 5 years
2545635	5 months to 5 years
2545636	5 months to 5 years
2545637	5 months to 5 years
2545638	5 months to 5 years
2545644	5 months to 5 years
2545645	5 months to 5 years
2545646	5 months to 5 years
2545647	5 months to 5 years
2545648	5 months to 5 years
2545649	5 months to 5 years
2545655	5 months to 5 years
2545656	5 months to 5 years
2545657	5 months to 5 years
2545658	5 months to 5 years
2545659	5 months to 5 years
2545666	5 months to 5 years
2545667	5 months to 5 years
2545668	5 months to 5 years
2545669	5 months to 5 years
2545670	5 months to 5 years
2545671	5 months to 5 years
2545556	5 months to 5 years
2545557	5 months to 5 years
2545567	5 months to 5 years
2545568	5 months to 5 years
2545578	5 months to 5 years
2545579	5 months to 5 years
2545589	5 months to 5 years
2545590	5 months to 5 years
2545591	5 months to 5 years
2545600	5 months to 5 years
2545601	5 months to 5 years
2545602	5 months to 5 years
2545603	5 months to 5 years
2545615	5 months to 5 years
2545616	5 months to 5 years
2545617	5 months to 5 years
2545618	5 months to 5 years
2545619	5 months to 5 years
2545620	5 months to 5 years
2545621	5 months to 5 years
2545785	5 months to 5 years
2545786	5 months to 5 years
2545787	5 months to 5 years
2545788	5 months to 5 years
2545627	5 months to 5 years
2545628	5 months to 5 years
2545629	5 months to 5 years
2545630	5 months to 5 years
2545631	5 months to 5 years
2545632	5 months to 5 years
2545796	5 months to 5 years
2545797	5 months to 5 years
2545798	5 months to 5 years
2545799	5 months to 5 years
2545639	5 months to 5 years
2545640	5 months to 5 years
2545641	5 months to 5 years
2545642	5 months to 5 years
2545643	5 months to 5 years
2545650	5 months to 5 years
2545651	5 months to 5 years
2545652	5 months to 5 years
2545653	5 months to 5 years
2545654	5 months to 5 years
2545660	5 months to 5 years
2545661	5 months to 5 years
2545662	5 months to 5 years
2545663	5 months to 5 years
2545664	5 months to 5 years
2545665	5 months to 5 years
2545672	5 months to 5 years
2545673	5 months to 5 years
2545674	5 months to 5 years
2545675	5 months to 5 years
2545676	5 months to 5 years
2545524	5 months to 5 years
2545525	5 months to 5 years
2545526	5 months to 5 years
2545527	5 months to 5 years
2545528	5 months to 5 years
2545529	5 months to 5 years
2545530	5 months to 5 years
2545531	5 months to 5 years
2545532	5 months to 5 years
2545533	5 months to 5 years
2545535	5 months to 5 years
2545536	5 months to 5 years
2545537	5 months to 5 years
2545538	5 months to 5 years
2545539	5 months to 5 years
2545540	5 months to 5 years
2545541	5 months to 5 years
2545542	5 months to 5 years
2545543	5 months to 5 years
2545544	5 months to 5 years
2545545	5 months to 5 years
2545546	5 months to 5 years
2545547	5 months to 5 years
2545548	5 months to 5 years
2545549	5 months to 5 years
2545550	5 months to 5 years
2545551	5 months to 5 years
2545552	5 months to 5 years
2545553	5 months to 5 years
2545554	5 months to 5 years
2545555	5 months to 5 years
2545721	5 months to 5 years
2545558	5 months to 5 years
2545559	5 months to 5 years
2545560	5 months to 5 years
2545561	5 months to 5 years
2545562	5 months to 5 years
2545563	5 months to 5 years
2545564	5 months to 5 years
2545565	5 months to 5 years
2545566	5 months to 5 years
2545732	5 months to 5 years
2545733	5 months to 5 years
2545569	5 months to 5 years
2545570	5 months to 5 years
2545571	5 months to 5 years
2545572	5 months to 5 years
2545573	5 months to 5 years
2545574	5 months to 5 years
2545575	5 months to 5 years
2545576	5 months to 5 years
2545577	5 months to 5 years
2545743	5 months to 5 years
2545744	5 months to 5 years
2545580	5 months to 5 years
2545581	5 months to 5 years
2545582	5 months to 5 years
2545583	5 months to 5 years
2545584	5 months to 5 years
2545585	5 months to 5 years
2545586	5 months to 5 years
2545587	5 months to 5 years
2545588	5 months to 5 years
2545754	5 months to 5 years
2545755	5 months to 5 years
2545592	5 months to 5 years
2545593	5 months to 5 years
2545594	5 months to 5 years
2545595	5 months to 5 years
2545596	5 months to 5 years
2545597	5 months to 5 years
2545598	5 months to 5 years
2545599	5 months to 5 years
2545764	5 months to 5 years
2545765	5 months to 5 years
2545766	5 months to 5 years
2545604	5 months to 5 years
2545605	5 months to 5 years
2545606	5 months to 5 years
2545607	5 months to 5 years
2545608	5 months to 5 years
2545609	5 months to 5 years
2545610	5 months to 5 years
2545774	5 months to 5 years
2545775	5 months to 5 years
2545776	5 months to 5 years
2545777	5 months to 5 years
2545789	5 months to 5 years
2545790	5 months to 5 years
2545791	5 months to 5 years
2545792	5 months to 5 years
2545793	5 months to 5 years
2545794	5 months to 5 years
2545795	5 months to 5 years
2545688	5 months to 5 years
2545689	5 months to 5 years
2545690	5 months to 5 years
2545691	5 months to 5 years
2545692	5 months to 5 years
2545693	5 months to 5 years
2545694	5 months to 5 years
2545695	5 months to 5 years
2545696	5 months to 5 years
2545697	5 months to 5 years
2545534	5 months to 5 years
2545699	5 months to 5 years
2545700	5 months to 5 years
2545701	5 months to 5 years
2545702	5 months to 5 years
2545703	5 months to 5 years
2545704	5 months to 5 years
2545705	5 months to 5 years
2545706	5 months to 5 years
2545707	5 months to 5 years
2545708	5 months to 5 years
2545710	5 months to 5 years
2545711	5 months to 5 years
2545712	5 months to 5 years
2545713	5 months to 5 years
2545714	5 months to 5 years
2545715	5 months to 5 years
2545716	5 months to 5 years
2545717	5 months to 5 years
2545718	5 months to 5 years
2545719	5 months to 5 years
2545720	5 months to 5 years
2545722	5 months to 5 years
2545723	5 months to 5 years
2545724	5 months to 5 years
2545725	5 months to 5 years
2545726	5 months to 5 years
2545727	5 months to 5 years
2545728	5 months to 5 years
2545729	5 months to 5 years
2545730	5 months to 5 years
2545731	5 months to 5 years
2545734	5 months to 5 years
2545735	5 months to 5 years
2545736	5 months to 5 years
2545737	5 months to 5 years
2545738	5 months to 5 years
2545739	5 months to 5 years
2545740	5 months to 5 years
2545741	5 months to 5 years
2545742	5 months to 5 years
2545745	5 months to 5 years
2545746	5 months to 5 years
2545747	5 months to 5 years
2545748	5 months to 5 years
2545749	5 months to 5 years
2545750	5 months to 5 years
2545751	5 months to 5 years
2545752	5 months to 5 years
2545753	5 months to 5 years
2545756	5 months to 5 years
2545757	5 months to 5 years
2545758	5 months to 5 years
2545759	5 months to 5 years
2545760	5 months to 5 years
2545761	5 months to 5 years
2545762	5 months to 5 years
2545763	5 months to 5 years
2545767	5 months to 5 years
2545768	5 months to 5 years
2545769	5 months to 5 years
2545770	5 months to 5 years
2545771	5 months to 5 years
2545772	5 months to 5 years
2545773	5 months to 5 years
2545778	5 months to 5 years
2545779	5 months to 5 years
2545780	5 months to 5 years
2545781	5 months to 5 years
2545782	5 months to 5 years
2545783	5 months to 5 years
2545784	5 months to 5 years
2545698	5 months to 5 years
2545709	5 months to 5 years
2545677	5 months to 5 years
2545678	5 months to 5 years
2545679	5 months to 5 years
2545680	5 months to 5 years
2545681	5 months to 5 years
2545682	5 months to 5 years
2545683	5 months to 5 years
2545684	5 months to 5 years
2545685	5 months to 5 years
2545686	5 months to 5 years
2545687	5 months to 5 years
2545802	5 months to 5 years
2545804	5 months to 5 years
2545805	5 months to 5 years
2484355	4 days - 9 months
2484336	4 days - 9 months
3242701	6 months to 15 years
3242040	6 months to 15 years
3242041	6 months to 15 years
3242042	6 months to 15 years
3242043	6 months to 15 years
3242044	6 months to 15 years
3242045	6 months to 15 years
3242046	6 months to 15 years
3242047	6 months to 15 years
3242167	6 months to 15 years
3242168	6 months to 15 years
3242169	6 months to 15 years
3242170	6 months to 15 years
3242171	6 months to 15 years
3242172	6 months to 15 years
3242173	6 months to 15 years
3242174	6 months to 15 years
3242295	6 months to 15 years
3242296	6 months to 15 years
3242297	6 months to 15 years
3242298	6 months to 15 years
3242299	6 months to 15 years
3242300	6 months to 15 years
3242301	6 months to 15 years
3242302	6 months to 15 years
3242423	6 months to 15 years
3242424	6 months to 15 years
3242425	6 months to 15 years
3242426	6 months to 15 years
3242427	6 months to 15 years
3242428	6 months to 15 years
3242429	6 months to 15 years
3242430	6 months to 15 years
3242551	6 months to 15 years
3242552	6 months to 15 years
3242553	6 months to 15 years
3242554	6 months to 15 years
3242555	6 months to 15 years
3242556	6 months to 15 years
3242557	6 months to 15 years
3242558	6 months to 15 years
3242678	6 months to 15 years
3242679	6 months to 15 years
3242680	6 months to 15 years
3242681	6 months to 15 years
3242682	6 months to 15 years
3242683	6 months to 15 years
3242684	6 months to 15 years
3242685	6 months to 15 years
3242048	6 months to 15 years
3242049	6 months to 15 years
3242050	6 months to 15 years
3242051	6 months to 15 years
3242052	6 months to 15 years
3242053	6 months to 15 years
3242054	6 months to 15 years
3242055	6 months to 15 years
3242175	6 months to 15 years
3242176	6 months to 15 years
3242177	6 months to 15 years
3242178	6 months to 15 years
3242179	6 months to 15 years
3242180	6 months to 15 years
3242181	6 months to 15 years
3242182	6 months to 15 years
3242303	6 months to 15 years
3242304	6 months to 15 years
3242305	6 months to 15 years
3242306	6 months to 15 years
3242307	6 months to 15 years
3242308	6 months to 15 years
3242309	6 months to 15 years
3242310	6 months to 15 years
3242431	6 months to 15 years
3242432	6 months to 15 years
3242433	6 months to 15 years
3242434	6 months to 15 years
3242435	6 months to 15 years
3242436	6 months to 15 years
3242437	6 months to 15 years
3242438	6 months to 15 years
3242559	6 months to 15 years
3242560	6 months to 15 years
3242561	6 months to 15 years
3242562	6 months to 15 years
3242563	6 months to 15 years
3242564	6 months to 15 years
3242565	6 months to 15 years
3242566	6 months to 15 years
3242686	6 months to 15 years
3242687	6 months to 15 years
3242688	6 months to 15 years
3242689	6 months to 15 years
3242690	6 months to 15 years
3242691	6 months to 15 years
3242692	6 months to 15 years
3242693	6 months to 15 years
3242056	6 months to 15 years
3242057	6 months to 15 years
3242058	6 months to 15 years
3242059	6 months to 15 years
3242060	6 months to 15 years
3242061	6 months to 15 years
3242062	6 months to 15 years
3242063	6 months to 15 years
3242183	6 months to 15 years
