mhc_elution_id	h_age
2371733	middle-aged
2371734	middle-aged
2371735	middle-aged
2371736	middle-aged
2371737	middle-aged
2371738	middle-aged
2371739	middle-aged
2371740	middle-aged
2371741	middle-aged
2371742	middle-aged
2371745	middle-aged
2371743	middle-aged
2371744	middle-aged
2371746	middle-aged
3384640	young and old
3384238	old
3386544	young and old
3389494	old
3390254	old
3389674	young and old
3394511	young and old
3396941	young and old
3398248	young and old
3399550	young and old
3402469	young and old
3402404	old
3402421	young and old
3406377	young and old
3407838	old
3409319	young and old
3407476	old
3409165	old
3408151	young and old
3414755	young and old
3414796	old
3412970	young and old
3415331	old
3418296	old
3422485	young and old
3426768	old
3427158	old
3432354	old
3430749	young and old
3433586	old
3436643	old
3437218	old
3436344	old
3439327	young and old
3441283	old
3465151	old
3464481	young and old
3441104	young and old
3441324	young and old
3443523	young and old
3442770	old
3444968	old
3445705	young and old
3445923	young and old
3446704	young and old
3445336	young and old
3445364	young and old
3445807	young and old
3445609	old
3453569	young and old
3454178	old
3451879	old
3454191	young and old
3453245	young and old
3451986	young and old
3456790	young and old
3455064	young and old
3456005	old
3459504	old
3458018	old
3459451	young and old
3460227	young and old
3464298	old
3464299	young and old
3464300	old
3464301	young and old
3464302	old
3464303	young and old
3464304	old
3464305	young and old
3464306	old
3464307	young and old
3464308	old
3464494	old
3464495	young and old
3464496	old
3464497	young and old
3464498	old
3464499	young and old
3464500	old
3464501	young and old
3464502	old
3464503	young and old
3464504	old
3464505	young and old
3464632	old
3464633	young and old
3464634	old
3464635	young and old
3464636	old
3464637	young and old
3464638	old
3464639	young and old
3464640	old
3464641	young and old
3464642	old
3464643	young and old
3464827	old
3464828	young and old
3464829	old
3464830	young and old
3464831	old
3464832	young and old
3464833	old
3464834	young and old
3464836	old
3464837	young and old
3464839	old
3465021	old
3465022	young and old
3465023	old
3465024	young and old
3465025	old
3465026	young and old
3465027	old
3465028	young and old
3465029	old
3465030	young and old
3465031	old
3465032	young and old
3465213	old
3465214	young and old
3465215	old
3465216	young and old
3465217	old
3465218	young and old
3465219	old
3465220	young and old
3465221	old
3465222	young and old
3465223	old
3465224	young and old
3465409	old
3465410	young and old
3465411	old
3465412	young and old
3465413	old
3465414	young and old
3465415	old
3465416	young and old
3465417	old
3465418	young and old
3465420	old
3463752	old
3463753	young and old
3463754	old
3463755	young and old
3463756	old
3463757	young and old
3463758	old
3463759	young and old
3463760	old
3463761	young and old
3463762	old
3463763	young and old
3463916	old
3463917	young and old
3463918	old
3463919	young and old
3463920	old
3463921	young and old
3463922	old
3463923	young and old
3463924	old
3463925	young and old
3463926	old
3463927	young and old
3464105	old
3464106	young and old
3464107	old
3464108	young and old
3464109	old
3464110	young and old
3464111	old
3464112	young and old
3464113	old
3464114	young and old
3464115	old
3464116	young and old
3464309	young and old
3464310	old
3464311	young and old
3464312	old
3464313	young and old
3464314	old
3464315	young and old
3464316	old
3464317	young and old
3464318	old
3464319	young and old
3464320	old
3464506	old
3464507	young and old
3464508	old
3464509	young and old
3464510	old
3464511	young and old
3464512	old
3464513	young and old
3464514	old
3464515	young and old
3464516	old
3464517	young and old
3464644	old
3464645	young and old
3464646	old
3464647	young and old
3464649	old
3464650	young and old
3464652	old
3464653	young and old
3464655	old
3464656	young and old
3464840	young and old
3464841	old
3464842	young and old
3464844	old
3464845	young and old
3464847	old
3464848	young and old
3464850	old
3464851	young and old
3464852	old
3465033	old
3465034	young and old
3465035	old
3465036	young and old
3465037	old
3465038	young and old
3465039	old
3465040	young and old
3465041	old
3465042	young and old
3465043	old
3465044	young and old
3465225	old
3465226	young and old
3465227	old
3465228	young and old
3465230	old
3465231	young and old
3465233	old
3465234	young and old
3465236	old
3465237	young and old
3465421	young and old
3465519	old
3465520	young and old
3465521	old
3465522	young and old
3465523	old
3465524	young and old
3465525	old
3465526	young and old
3465527	old
3465528	young and old
3465529	old
3463764	old
3463765	young and old
3463766	old
3463767	young and old
3463768	old
3463769	young and old
3463770	old
3463771	young and old
3463772	old
3463773	young and old
3463774	old
3463928	old
3463929	young and old
3463930	old
3463931	young and old
3463932	old
3463933	young and old
3463934	old
3463935	young and old
3463936	old
3463937	young and old
3463938	old
3463939	young and old
3464117	old
3464118	young and old
3464119	old
3464120	young and old
3464121	old
3464122	young and old
3464123	old
3464124	young and old
3464125	old
3464126	young and old
3464127	old
3464128	young and old
3464321	young and old
3464322	old
3464323	young and old
3464324	old
3464325	young and old
3464326	old
3464327	young and old
3464328	old
3464329	young and old
3464331	old
3464332	young and old
3464518	old
3464519	young and old
3464520	old
3464521	young and old
3464522	old
3464523	young and old
3464524	old
3464525	young and old
3464526	old
3464527	young and old
3464528	old
3464529	young and old
3464658	old
3464659	young and old
3464660	old
3464661	young and old
3464662	old
3464663	young and old
3464664	old
3464665	young and old
3464666	old
3464667	young and old
3464668	old
3464853	young and old
3464854	old
3464855	young and old
3464856	old
3464857	young and old
3464858	old
3464859	young and old
3464860	old
3464861	young and old
3464862	old
3464863	young and old
3464864	old
3465045	old
3465046	young and old
3465047	old
3465048	young and old
3465049	old
3465050	young and old
3465051	old
3465052	young and old
3465053	old
3465054	young and old
3465055	old
3465056	young and old
3465239	old
3465240	young and old
3465242	old
3465243	young and old
3465245	old
3465246	young and old
3465247	old
3465248	young and old
3465249	old
3465250	young and old
3465530	young and old
3465556	young and old
3465557	old
3465558	young and old
3465559	old
3465560	young and old
3465561	old
3465562	young and old
3465563	old
3465564	young and old
3465565	old
3465566	young and old
3463775	young and old
3463776	old
3463777	young and old
3463778	old
3463779	young and old
3463780	old
3463781	young and old
3463782	old
3463783	young and old
3463784	old
3463785	young and old
3463786	old
3463940	old
3463941	young and old
3463942	old
3463943	young and old
3463944	old
3463945	young and old
3463946	old
3463947	young and old
3463948	old
3463949	young and old
3463950	old
3463951	young and old
3464129	old
3464130	young and old
3464131	old
3464132	young and old
3464133	old
3464134	young and old
3464135	old
3464136	young and old
3464137	old
3464138	young and old
3464139	old
3464140	young and old
3464334	old
3464335	young and old
3464336	old
3464337	young and old
3464338	old
3464339	young and old
3464341	old
3464342	young and old
3464344	old
3464345	young and old
3464669	young and old
3464670	old
3464671	young and old
3464672	old
3464673	young and old
3464674	old
3464675	young and old
3464676	old
3464677	young and old
3464678	old
3464679	young and old
3464680	old
3464865	young and old
3464866	old
3464867	young and old
3464868	old
3464869	young and old
3464870	old
3464871	young and old
3464872	old
3464873	young and old
3464874	old
3464875	young and old
3464876	old
3465057	old
3465058	young and old
3465059	old
3465060	young and old
3465061	old
3465062	young and old
3465063	old
3465064	young and old
3465065	old
3465066	young and old
3465067	old
3465068	young and old
3465251	old
3465252	young and old
3465253	old
3465254	young and old
3465255	old
3465256	young and old
3465257	old
3465258	young and old
3465259	old
3465260	young and old
3465261	old
3465262	young and old
3465567	old
3465568	young and old
3465570	old
3465571	young and old
3465572	old
3465573	young and old
3465574	old
3465575	young and old
3465576	old
3465577	young and old
3465578	old
3463711	young and old
3463712	old
3463713	young and old
3463714	old
3463715	young and old
3463716	old
3463717	young and old
3463952	old
3463953	young and old
3463954	old
3463955	young and old
3463956	old
3463957	young and old
3463958	old
3463959	young and old
3463960	old
3463961	young and old
3463962	old
3464141	old
3464142	young and old
3464143	old
3464144	young and old
3464145	old
3464146	young and old
3464147	old
3464148	young and old
3464149	old
3464150	young and old
3464151	old
3464152	young and old
3464347	old
3464348	young and old
3464350	old
3464351	young and old
3464353	old
3464354	young and old
3464356	old
3464357	young and old
3464359	old
3464681	young and old
3464682	old
3464683	young and old
3464684	old
3464685	young and old
3464686	old
3464687	young and old
3464688	old
3464689	young and old
3464690	old
3464691	young and old
3464692	old
3464877	young and old
3464878	old
3464879	young and old
3464880	old
3464881	young and old
3464883	old
3464884	young and old
3464885	old
3464886	young and old
3464887	old
3464888	young and old
3465069	old
3465070	young and old
3465071	old
3465072	young and old
3465073	old
3465074	young and old
3465075	old
3465076	young and old
3465077	old
3465078	young and old
3465079	old
3465080	young and old
3465263	old
3465264	young and old
3465265	old
3465266	young and old
3465267	old
3465268	young and old
3465269	old
3465270	young and old
3465271	old
3465272	young and old
3465273	old
3465274	young and old
3465579	young and old
3465580	old
3465581	young and old
3465582	old
3465583	young and old
3465584	old
3465585	young and old
3465586	old
3465587	young and old
3465588	old
3465589	young and old
3465590	old
3463718	old
3463719	young and old
3463720	old
3463721	young and old
3463963	young and old
3463964	old
3463965	young and old
3463966	old
3463967	young and old
3463968	old
3463969	young and old
3463970	old
3463971	young and old
3463972	old
3463973	young and old
3463974	old
3464153	old
3464154	young and old
3464155	old
3464156	young and old
3464157	old
3464158	young and old
3464159	old
3464160	young and old
3464161	old
3464162	young and old
3464163	old
3464164	young and old
3464360	young and old
3464362	old
3464363	young and old
3464364	old
3464365	young and old
3464366	old
3464367	young and old
3464368	old
3464369	young and old
3464370	old
3464371	young and old
