h_age	occurrences
6-8 week-old	6
24-day-old	15
1-5 years old	182
7-9 wks	195
Adults	1572
12-24 month old	152
1-84 years old	82
4 to 7 week-old	301
8 wekks-old	6
4-8-week-old	7
Adult	7602
6-8 weeks-old	205
2-month-old	6
4-10 weeks old	13
6 weeks old	945
5-6 weeks-old	44
2-4 years-old	4
3 weeks old	184
6-7 weeks-old	40
6-8 weeks old	1488
One week	30
6-7-week-old	72
6 month	127
8-12 weeks old	204
4-6 weeks-old	87
6-7 wks	3
7 weeks old	43
3 month old	10
8-10 wo	94
4 to 6 weeks	1255
5-7 months old	8
8-16 week	37
6-10 weeks-old	322
4-week old	49
8-12 weeks-old	91
26-72 years-old	36
8 weeks old	220
6 to 8 weeks	7704
56.3 +/- 12.8 years	71
18 to 50 years	50
6 - 8 mo	14
10 to 65 years	63
Children	368
6 months old	35
4 to 70 years old	39
1 to 6 years	19
11 to 47 years	22
4 to 45 years-old	12
4-60 years old	6
6 to 24 months	7
8 to 9 weeks	103
19 to 44 years	23
4 month old	13
5 weeks old	1
22 wk	15
2 months old	45
17-42 years-old	13
2-65 years-old	7
6 week-old	8
3-4 months-old	39
8-week old	51
45 day	6
45 to 55 years	118
12 to 55 years	4
8-9-weeks-old	78
18 to 66 years	254
8 week	34
8 weeks-old	96
8 to 12-week-old	14
18-20 years-old	6
8-10 weeks old	586
12 weeks-old	7
Infant	176
6 - 9 months	79
4 - 6 weeks	186
8 week-old	40
2 - 3 months	8
10 weeks-old	4
3.5 month	6
16 to 60 years	9
2 month	2
8 to 10 weeks	7439
12 months old	25
6-7 weeks old	8
Infants	100
14 weeks old	2
6-10 weeks old	200
12 weeks old	17
3 to 16 years	17
25-week-old	10
7-8 weeks-old	10
60-90 days old	19
4-6 wks	225
3-4 weeks-old	1
12 to 66 years-old	9
4-6 weeks old	63
3-4 weeks old	5
> 6 months	13
4-36 month-old	2
7-weeks-old	4
6 - 8 wo	6
3 months-old	35
8-12 wk	90
6-10 week	24
21 day old	312
4 to 6 week-old	7
6 weeks-old	178
35 years-old	5
6-8 wk	27
29 years old	22
6- week-old	1
7 to 77 years	5
35.5 +/- 12.8 years	25
26–71 years	4
38 to 50 years	2
5 to 7 weeks	62
5-10 weeks old	14
8 to 12 weeks	1995
2-week old	3
42 years old	8
65 and 74 years old	3
7-9 weeks old	447
5-weeks-old	16
4 years old	2
4 to 6 years	10
19-27 years old	7
6-week-old	6
6-36-month-old	2
8-10 weeks-old	73
18 to 73 years	15
2-3 month old	3
3 to 5 months	86
1.5-7years	25
18-19 years-old	2
8 wo	3
5 wk	4
40-day-old	5
10-12 weeks old	5
6 wk	7
7 wk	1
2 mo	5
24-75 years old	36
4 wk	6
10-16 weeks old	46
8-10 week	1
2 month old	3
6 to 8 weeks old	277
5-7 months-old	2
Three-month-old	32
35 to 66 years	35
6 to 8 -week-old	4
67 years old	15
21 to 59 years	10
Four-weeks-old	5
19 to 83 years	120422
2-4 months old	89
27 to 46 years	4
2-5 months old	1
1 month-old	2
11-62 years-old	9
23 to 89 years	98
3-65 years-old	6
Juvenile	112
19 to 71 years	5
1 to 8 years	5
19 to 66 years	624
27 to 71 years	1
8-12-week-old	3
3 months old	5
17 to 45 years	2
3-5 weeks old	2
18-21 years-old	1
8 to 12 months	70
19-40 years old	2
12-16 weeks-old	4
15-64 years old	4
14-65 years old	32
4 months old	1
28 years-old	5
8 wk	5
27 to 85 years	69
25-58 years old	44
4-5 weeks old	68
7 - 79 years	2
10-week-old	13
28 to 52 years	4020
29 to 52 years	4015
28 to 54 years	3991
8-24 weeks old	27
9 weeks old	7
> 20 years	6995
33 to 81 years	119
2-3 months old	1
mean = 45 years	493
6-8 wks	59
28-58 years old	4
15-95 years old	1
6-16 wk	27
8 to 16 weeks	49
9-22 months old	1
39 +/- 2.4 years	7
6 to 10 weeks	1205
4- to 6-week-old	29
5-6 weeks old	45
7 to 8 weeks	210
2-4 yrs	1
30-60 years old	3
20 to 60 years	83
21 to 45 years	6
10 to 47 years	6
25 to 46 years	49
9-12 weeks old	1
13 to 82 years	1
16 to 20 weeks	11
40.0±13.7 years	11
14.4±3.8  years	3
29 to 47 years	1
12 to 13 years	2
12 to 78 years	2
62 to 87 years	2
Mean age = 34.8 years	5
38 to 66 years	2
20 to 59 years	191
12 to 69 years	2
13 to 29 years	21
35 to 50 years	9
4 to 18 years	56
7 to 54 years	14
6 to 69 years	2
4 to 45 years	124
16 to 76 years	7
5 to 6 years	10
3 to 9 weeks	5
21 to 56 years	71
24 to 61 years	2
7 to 10 weeks	187
81 years old	7
8 to 48 years	6
6 to 28 years	15
8 to 53 years	20
10 to 53 years	6
10-66 yr	34
3 to 4 months	67
33 to 61 years	13
4 week	32
12-16 weeks old	35
1 to 5 years	210
2 to 3 weeks	25
14 +/- 3 years	21
36 to 75 years	12
18 to 60 years	51
mean = 34 years	3
13 to 79 years	3
< 40 years	12
mean = 71.2 years	2
1 to 11 months	1
20 to 70 years	136
mean = 65.04 years	2
18 to 67 years	2
mean = 72.4 years	2
21 to 43 years	2
24 to 75 years	17
32 to 72 years	6
> 20 weeks	14
14.4±3.8 years	4
Mean age = 30 years	1
34 to 37 years	2
26 to 52 years	5
