h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
29-38	9606	Homo sapiens (human)	19	29-38	N	pass	0	29-38	N	pass	0	29-38	N	fail	0	0	
Adults (pregnant)	9606	Homo sapiens (human)	34	adults (pregnant)	Y	pass	1	adult (pregnant)	Y	pass	1	adult (pregnant)	N	fail	0	2	
average age 29.8 years	9606	Homo sapiens (human)	54	average age 29.8 years	N	pass	0	average age 29.8 year	Y	pass	1	average age 29.8 year	N	fail	0	1	
31-39	9606	Homo sapiens (human)	75	31-39	N	pass	0	31-39	N	pass	0	31-39	N	fail	0	0	
Adults (40 year-old average)	9606	Homo sapiens (human)	77	adults (40 year-old average)	Y	pass	1	adult (40 year-old average)	Y	pass	1	adult (40 year average)	Y	fail	4	6	
73	9606	Homo sapiens (human)	134	73	N	pass	0	73	N	pass	0	73	N	fail	0	0	
7-79	9606	Homo sapiens (human)	147	7-79	N	pass	0	7-79	N	pass	0	7-79	N	fail	0	0	
mean 54 years (range 19-68)	9606	Homo sapiens (human)	177	mean 54 years (range 19-68)	N	pass	0	mean 54 year (range 19-68)	Y	pass	1	mean 54 year (range 19-68)	N	fail	0	1	
average age 29.8	9606	Homo sapiens (human)	203	average age 29.8	N	pass	0	average age 29.8	N	pass	0	average age 29.8	N	fail	0	0	
Mean: 29 years	9606	Homo sapiens (human)	225	mean: 29 years	Y	pass	1	mean: 29 year	Y	pass	1	mean: 29 year	N	fail	0	2	
32	9606	Homo sapiens (human)	238	32	N	pass	0	32	N	pass	0	32	N	fail	0	0	
32-42	9606	Homo sapiens (human)	239	32-42	N	pass	0	32-42	N	pass	0	32-42	N	fail	0	0	
37-57	9606	Homo sapiens (human)	274	37-57	N	pass	0	37-57	N	pass	0	37-57	N	fail	0	0	
52-68	9606	Homo sapiens (human)	279	52-68	N	pass	0	52-68	N	pass	0	52-68	N	fail	0	0	
10.5 years avg.	9606	Homo sapiens (human)	292	10.5 years avg.	N	pass	0	10.5 year average.	Y	pass	5	10.5 year average	Y	fail	1	5	
18–64 years)	9606	Homo sapiens (human)	298	18-64 years)	Y	pass	1	18-64 years)	N	pass	0	18-64 years)	N	fail	0	1	
At least 8 weeks old	10000000	Mus musculus BALB/c	307	at least 8 weeks old	Y	pass	1	at least 8 week old	Y	pass	1	at least 8 week	Y	fail	4	6	
8 weeks or older	10000067	Mus musculus C57BL/6	313	8 weeks or older	N	pass	0	8 week or older	Y	pass	1	8 week or older	N	fail	0	1	
2 months or older	10000000	Mus musculus BALB/c	320	2 months or older	N	pass	0	2 month or older	Y	pass	1	2 month or older	N	fail	0	1	
21 - 85 yo	9606	Homo sapiens (human)	326	21 - 85 yo	N	pass	0	21 - 85 yo	N	pass	0	21-85 yo	Y	fail	2	2	
17-57	9606	Homo sapiens (human)	328	17-57	N	pass	0	17-57	N	pass	0	17-57	N	fail	0	0	
35.4 yrs average	9606	Homo sapiens (human)	330	35.4 yrs average	N	pass	0	35.4 year average	Y	pass	3	35.4 year average	N	fail	0	3	
18-72	9606	Homo sapiens (human)	333	18-72	N	pass	0	18-72	N	pass	0	18-72	N	fail	0	0	
6 months-1.1 year	9606	Homo sapiens (human)	334	6 months-1.1 year	N	pass	0	6 month-1.1 year	Y	fail	1	6 month-1.1 year	N	fail	0	1	
4 months- 4 years	9606	Homo sapiens (human)	337	4 months- 4 years	N	pass	0	4 month- 4 year	Y	fail	2	4 month- 4 year	N	fail	0	2	
35	9606	Homo sapiens (human)	362	35	N	pass	0	35	N	pass	0	35	N	fail	0	0	
18-61	9606	Homo sapiens (human)	366	18-61	N	pass	0	18-61	N	pass	0	18-61	N	fail	0	0	
mean age 30 years	9606	Homo sapiens (human)	380	mean age 30 years	N	pass	0	mean age 30 year	Y	pass	1	mean age 30 year	N	fail	0	1	
17-88	9606	Homo sapiens (human)	392	17-88	N	pass	0	17-88	N	pass	0	17-88	N	fail	0	0	
10 years and older	9606	Homo sapiens (human)	412	10 years and older	N	pass	0	10 year and older	Y	pass	1	10 year and older	N	fail	0	1	
30	9606	Homo sapiens (human)	414	30	N	pass	0	30	N	pass	0	30	N	fail	0	0	
mean age 46.5 years	9606	Homo sapiens (human)	421	mean age 46.5 years	N	pass	0	mean age 46.5 year	Y	pass	1	mean age 46.5 year	N	fail	0	1	
1 month-old-81 years-old	9606	Homo sapiens (human)	426	1 month-old-81 years-old	N	pass	0	1 month-old-81 year-old	Y	fail	1	1 month-81 year	Y	fail	8	9	
43-46	9606	Homo sapiens (human)	470	43-46	N	pass	0	43-46	N	pass	0	43-46	N	fail	0	0	
27-60	10000119	Homo sapiens Caucasian	489	27-60	N	pass	0	27-60	N	pass	0	27-60	N	fail	0	0	
Children (mean age 7.2 years)	9606	Homo sapiens (human)	505	children (mean age 7.2 years)	Y	pass	1	child (mean age 7.2 years)	Y	pass	3	child (mean age 7.2 years)	N	fail	0	4	
30-86	9606	Homo sapiens (human)	506	30-86	N	pass	0	30-86	N	pass	0	30-86	N	fail	0	0	
average age 35.1	9606	Homo sapiens (human)	525	average age 35.1	N	pass	0	average age 35.1	N	pass	0	average age 35.1	N	fail	0	0	
Mean age = 30.7 years	9606	Homo sapiens (human)	532	mean age = 30.7 years	Y	pass	1	mean age = 30.7 year	Y	pass	1	mean age = 30.7 year	N	fail	0	2	
5 months-3 years	9606	Homo sapiens (human)	542	5 months-3 years	N	pass	0	5 month-3 year	Y	fail	2	5 month-3 year	N	fail	0	2	
50	9606	Homo sapiens (human)	575	50	N	pass	0	50	N	pass	0	50	N	fail	0	0	
41-55	9606	Homo sapiens (human)	584	41-55	N	pass	0	41-55	N	pass	0	41-55	N	fail	0	0	
20-65	9606	Homo sapiens (human)	597	20-65	N	pass	0	20-65	N	pass	0	20-65	N	fail	0	0	
6 months to 2 years	9606	Homo sapiens (human)	610	6 months to 2 years	N	pass	0	6 month to 2 year	Y	fail	2	6 month to 2 year	N	fail	0	2	
average 48 years	9606	Homo sapiens (human)	630	average 48 years	N	pass	0	average 48 year	Y	pass	1	average 48 year	N	fail	0	1	
6 weeks or older	10000233	Mus musculus CBA/Ca	651	6 weeks or older	N	pass	0	6 week or older	Y	pass	1	6 week or older	N	fail	0	1	
6 weeks or older	10000000	Mus musculus BALB/c	679	6 weeks or older	N	pass	0	6 week or older	Y	pass	1	6 week or older	N	fail	0	1	
37 yrs average	9606	Homo sapiens (human)	686	37 yrs average	N	pass	0	37 year average	Y	pass	3	37 year average	N	fail	0	3	
21	9606	Homo sapiens (human)	699	21	N	pass	0	21	N	pass	0	21	N	fail	0	0	
37 yrs. Average	9606	Homo sapiens (human)	720	37 yrs. average	Y	pass	1	37 year. average	Y	pass	3	37 year. average	N	fail	0	4	
47.6	9606	Homo sapiens (human)	731	47.6	N	pass	0	47.6	N	pass	0	47.6	N	fail	0	0	
mean age 54 years	9606	Homo sapiens (human)	743	mean age 54 years	N	pass	0	mean age 54 year	Y	pass	1	mean age 54 year	N	fail	0	1	
50-76	9606	Homo sapiens (human)	744	50-76	N	pass	0	50-76	N	pass	0	50-76	N	fail	0	0	
31-80	9606	Homo sapiens (human)	768	31-80	N	pass	0	31-80	N	pass	0	31-80	N	fail	0	0	
31-37	9606	Homo sapiens (human)	770	31-37	N	pass	0	31-37	N	pass	0	31-37	N	fail	0	0	
Adults and children (ages 4.5-10.5 and 15-44)	9606	Homo sapiens (human)	772	adults and children (ages 4.5-10.5 and 15-44)	Y	pass	1	adult and child (ages 4.5-10.5 and 15-44)	Y	pass	4	adult and child (ages 4.5-10.5 and 15-44)	N	fail	0	5	
At least 8 weeks old	10000067	Mus musculus C57BL/6	777	at least 8 weeks old	Y	pass	1	at least 8 week old	Y	pass	1	at least 8 week	Y	fail	4	6	
47	9606	Homo sapiens (human)	793	47	N	pass	0	47	N	pass	0	47	N	fail	0	0	
66-88	9606	Homo sapiens (human)	798	66-88	N	pass	0	66-88	N	pass	0	66-88	N	fail	0	0	
Mean: 30 years	9606	Homo sapiens (human)	817	mean: 30 years	Y	pass	1	mean: 30 year	Y	pass	1	mean: 30 year	N	fail	0	2	
average of 30.2 years	9606	Homo sapiens (human)	844	average of 30.2 years	N	pass	0	average of 30.2 year	Y	pass	1	average of 30.2 year	N	fail	0	1	
8-10	10000000	Mus musculus BALB/c	871	8-10	N	pass	0	8-10	N	pass	0	8-10	N	fail	0	0	
23-32	9606	Homo sapiens (human)	883	23-32	N	pass	0	23-32	N	pass	0	23-32	N	fail	0	0	
~ 33 to 55 years	9606	Homo sapiens (human)	920	~ 33 to 55 years	N	pass	0	~ 33 to 55 year	Y	pass	1	~ 33-55 year	Y	fail	4	5	
42	9606	Homo sapiens (human)	935	42	N	pass	0	42	N	pass	0	42	N	fail	0	0	
31	9606	Homo sapiens (human)	940	31	N	pass	0	31	N	pass	0	31	N	fail	0	0	
