unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
year		Adults (40 year-old average)	9606	Homo sapiens (human)	77	adults (40 year-old average)	adults (40 year average)				40		adult	manual
week		11 or 18 weeks	10000025	Mus musculus Biozzi AB/H	141	11 or 18 week	11 or 18 week		11	18				manual
week		5, 11 or 18 weeks	10000632	Mus musculus NOD	152	5, 11 or 18 week	5, 11 or 18 week		5	18				manual
year		mean 54 years (range 19-68)	9606	Homo sapiens (human)	177	mean 54 year (range 19-68)	mean 54 year (range 19-68)		19	68	54			manual
week		11 or 18 weeks	10000637	Mus musculus NODasp	208	11 or 18 week	11 or 18 week		11	18				manual
year		10.5 years avg.	9606	Homo sapiens (human)	292	10.5 year avg.	10.5 year avg				10.5			manual
year		18–64 years)	9606	Homo sapiens (human)	298	18-64 years)	18-64 years)		18	64				manual
week		At least 8 weeks old	10000000	Mus musculus BALB/c	307	at least 8 week old	at least 8 week		8					manual
week		8 weeks or older	10000067	Mus musculus C57BL/6	313	8 week or older	8 week or older		8					manual
month		2 months or older	10000000	Mus musculus BALB/c	320	2 month or older	2 month or older		2					manual
year		21 - 85 yo	9606	Homo sapiens (human)	326	21 - 85 yo	21-85 yo		21	85				manual
year		35.4 yrs average	9606	Homo sapiens (human)	330	35.4 year average	35.4 year average				35.4			manual
year		6 months-1.1 year	9606	Homo sapiens (human)	334	6 month-1.1 year	6 month-1.1 year		.5	1.1				manual
year		4 months- 4 years	9606	Homo sapiens (human)	337	4 month- 4 year	4 month- 4 year		.333	4				manual
week		5, 8, 11 or 18 weeks	10000632	Mus musculus NOD	345	5, 8, 11 or 18 week	5, 8, 11 or 18 week		5	18				manual
year		10 years and older	9606	Homo sapiens (human)	412	10 year and older	10 year and older		10					manual
year		1 month-old-81 years-old	9606	Homo sapiens (human)	426	1 month-old-81 year-old	1 month-81 year		0.083	81				manual
week		8-10wk	10000000	Mus musculus BALB/c	436	8-10wk	8-10wk		8	10				manual
year		Children (mean age 7.2 years)	9606	Homo sapiens (human)	505	children (mean age 7.2 years)	children (mean age 7.2 years)				7.2		child	manual
year		5 months-3 years	9606	Homo sapiens (human)	542	5 month-3 year	5 month-3 year		0.417	3				manual
year		6 months to 2 years	9606	Homo sapiens (human)	610	6 month to 2 year	6 month to 2 year		0.5	2				manual
week		6 weeks or older	10000233	Mus musculus CBA/Ca	651	6 week or older	6 week or older		6					manual
week		6 weeks or older	10000000	Mus musculus BALB/c	679	6 week or older	6 week or older		6					manual
year		37 yrs average	9606	Homo sapiens (human)	686	37 year average	37 year average				37			manual
year		37 yrs. Average	9606	Homo sapiens (human)	720	37 year. average	37 year. average				37			manual
		Adults and children (ages 4.5-10.5 and 15-44)	9606	Homo sapiens (human)	772	adults and children (ages 4.5-10.5 and 15-44)	adults and children (ages 4.5-10.5 and 15-44)		4.5	44			adult and child	manual
week		At least 8 weeks old	10000067	Mus musculus C57BL/6	777	at least 8 week old	at least 8 week		8					manual
year		~ 33 to 55 years	9606	Homo sapiens (human)	920	~ 33 to 55 year	~ 33-55 year		33	55				manual
year		23 and 61 years	9606	Homo sapiens (human)	937	23 and 61 year	23 and 61 year		23	61				manual
week		11 or 18 weeks	10000632	Mus musculus NOD	968	11 or 18 week	11 or 18 week		11	18				manual
year		10 to over 90 years	9606	Homo sapiens (human)	979	10 to over 90 year	10 to over 90 year		10					manual
		Adult (within 24 hours of parturition)	9606	Homo sapiens (human)	988	adult (within 24 hour of parturition)	adult (within 24 hour of parturition)						adult (within 24 hour of parturition)	manual
month		2 months and 5 months	10000224	Mus musculus C57BL/6JTgN(Alb1HBV)44Bri	1012	2 month and 5 month	2 month and 5 month		2	5				manual
week		5 or 6 weeks	10090	Mus musculus (mouse)	1034	5 or 6 week	5 or 6 week		5	6				manual
week		6 weeks or older	10090	Mus musculus (mouse)	1038	6 week or older	6 week or older		6					manual
year		18, 35 years	9606	Homo sapiens (human)	1062	18, 35 year	18, 35 year		18	35				manual
week		7 yo 8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	1074	7 yo 8 week	7 yo 8 week		7	8				manual
week		5 or 8 weeks	10000632	Mus musculus NOD	1078	5 or 8 week	5 or 8 week		5	8				manual
year		35.4 yrs. Average	9606	Homo sapiens (human)	1091	35.4 year. average	35.4 year. average				35.4			manual
year	11.3	Median age 11.3 years	9606	Homo sapiens (human)	1120	median age 11.3 year	median age 11.3 year							manual
year		2 months to 52 years	9606	Homo sapiens (human)	1134	2 month to 52 year	2 month to 52 year		0.167	52				manual
year	6.3	Median age 6.3 years	9606	Homo sapiens (human)	1138	median age 6.3 year	median age 6.3 year							manual
week		9 or 20 weeks	10000632	Mus musculus NOD	1197	9 or 20 week	9 or 20 week		9	20				manual
		Mean=28.5 ± 15.0	9606	Homo sapiens (human)	1232	mean=28.5 +/- 15.0	mean=28.5 +/- 15.0		13.5	43.5	28.5			manual
month		2, 3, or 4 months	10000632	Mus musculus NOD	1259	2, 3, or 4 month	2, 3, or 4 month		2	4				manual
year		38.6 years (mean age)	9606	Homo sapiens (human)	1336	38.6 year (mean age)	38.6 year (mean age)				38.6			manual
month		2 months or 2-10 months	10000047	Mus musculus C57BL/10	1345	2 month or 2-10 month	2 month or 2-10 month		2	10				manual
hour		within 12 hours of birth	10000038	Mus musculus C3H/He	1403	within 12 hour of birth	within 12 hour of birth			12				manual
week		older than 8 weeks	10000216	Mus musculus C57BL/6 X BALB/c	1413	older than 8 week	older than 8 week		8					manual
