word_normalized_h_age
6-8 week
null
6-8 week
8 week
49 year
51 year
null
null
8-16 week
6-8 week
6-10 week
4-16 year
32-62 year
32-38 year
2-54 year
3-8 year
6-10 week
24 year
6-12 week
29-38
null
12-65 year
6-8 week
6-12 week
8-10 week
8-10 week
45 year
10-15 week
6-10 week
6-10 week
null
8 week
6-8 week
6-8 week
! Invalid words: ['pregnant'] !
6-8 week
adult
26-72 year
4-6 week
20-55 year
55-69 year
2-4 month
2-4 month
null
null
33-52 year
26-45 year
7-74 year
6-8 week
21-45 year
8-24 week
null
null
null
mean 29.8 year
18-91 year
null
6-10 week
6-10 week
29-58 year
null
null
26-38 year
30-52 year
32- 53.5 year
null
null
32-74 year
6-10 week
null
null
8-week
6 week
44 year
8-12 week
31-39
7-8 week
adult (40 year- mean)
6 week
null
6-10 week
child and adult
6-8 week
null
6-8 week
6-8 week
null
6-10 week
null
null
adult and child
20 year
29-41 year
1-48 month
8-12 week
6-8 week
adult
null
15 week
4-6 week
6-10 week
6 to 8 week
59 year
8-12 week
8-12 week
8-12 week
25-58 year
null
6 week
6-8 week
14-65 year
7-8 week
31-58 year
6-10 week
6-9 week
36-70 year
18-45 year
6-10 week
8-11 week
24-75 year
6-10 week
6-8 week
2-8 month
6 to 8 week
5 week
adult
9-86 year
19-74 year
18-30 year
null
5-6 week
12-16 week
12-16 week
5-7 week
73
6-8 week
null
7-10 week
1-9 year
18-75 year
4-16 week
11 or 18 week
15-73 year
8-16 week
6-8 week
null
null
7-79
20-29 year
adult
null
6-8 week
5, 11 or 18 week
35 to 40 day
8-12 week
6-10 week
4-24 month
null
null
8-12 week
6-8 week
6-8 week
18 year
61 year
null
18 to 65 year
8-12 week
18-59 year
6-10 week
8-14 week
4-6 week
> 18 year
30-60 year
6-12 week
6 month
6-8 week
8-10 week
! Invalid words: ['range'] !
6-8 week
37 year
6-8 week
null
null
5-14 year
child
6-8 week
null
null
6-8 week
null
10 month
4-16 week
6-8 week
4 week
8-12 week
null
null
8-12 week
5-6 week
6-8 week
42-64 year
46-53 year
6-12 week
mean 29.8
6-8 week
6-8 week
1.5 - 10 year
8-12 week
11 or 18 week
21-34 year
8 week
33 year
null
8-10 week
8-10 week
4-6 week
null
8-12 week
null
6-12 week
10-12 week
2-18 month
null
8-11 week
37-61 year
mean: 29 year
4-6 week
null
4-6 week
8 week
8-10 week
6-10 week
8 week
6 week
28-55 year
22-52 year
null
6-12 month
32
32-42
null
6-8 week
4-5 week
5 week
2 month
8-12 week
3 month
8 week
29-38 year
8-10 week
8-10 week
null
7-10 week
6-8 week
null
8-year
8-week
38-59 year
6-12 week
28-42 year
null
6 month
8-12 week
8-12 week
23-55 year
28-63 year
null
null
2 month
6-8 week
6-8 week
8-14 week
8-12 week
null
37-57
null
null
3-4 week
10-50 year
52-68
5-8 week
6-12 week
5-30 year
8-14 week
21-66 year
12 week
21-50 year
8 week
null
5-8 week
8 week
null
10.5 year mean
null
6-8 week
4-8 week
2 month
2 month
18-64 year)
6-8 week
6-8 week
1-2 month
6-16 week
null
3.5-17 month
6-7 week
1-1.5 year
! Invalid words: ['at', 'least'] !
8-24 week
7-9 week
7-9 week
12 week
4-5 week
! Invalid words: ['older'] !
17-81 year
10-12 week
8-10 week
3 month
5-6 month
6-10 week
! Invalid words: ['older'] !
28-65 year
6 to 8-week
8 week
5-6 week
8-10 week
! Invalid words: ['yo'] !
6-12 week
17-57
22-55 year
35.4 year mean
5-8 week
> 6 week
18-72
6 month-1.1 year
null
6 week
4 month- 4 year
10-16 week
36-51 year
15-50 year
16-48 year
6-8 week
21-55 year
8 to 10 week
5, 8, 11 or 18 week
4-6 week
30-65 year
null
3-5 week
15 week
null
6-8 week
newborn
6 week
25-50 year
6-8 week
17-86 year
12 week
48 year
18-60 year
8 to 10 week
35
46 year
28 year
6 to 10 week
18-61
7-12 week
6 to 10 week
4-10 week
4-10 week
18-54 year
13-133 month
6-8 week
8 week
8-12 week
75 year
32-51 year
4 week
7-10 week
mean 30 year
27 to 78 year
8-12 week
6-12 week
6-12 week
null
4-8 week
6 to 10 week
8-12 week
null
18-50 year
22-61 year
17-88
21-44 year
null
18-30 year
null
12 to 55 year
6-12 week
10-79 year
null
4-5 week
16-87 year
20-67 year
6-8 week
8 week
3-4 month
6-12 week
6-8 week
6-8 week
2-68 year
7-10 week
! Invalid words: ['older'] !
null
30
16-45 year
8 to 12 week
19-59 year
5-6 week
38-64 year
6-8 week
mean 46.5 year
6-8 week
23-69 year
6-8 week
null
1 month--81 year
6-12 week
6-8 week
null
8-14 week
null
4-10 week
42-70 year
6-10 week
12-16 week
8-10 week
12 week
8-12 week
8-65 year
8-16 week
6-12 week
null
8-15 week
null
6-8 week
6-16 week
null
52 year
8-16 week
16 year
8-16 week
8-12 week
4-6 week
2-4 month
8-10 week
8-10 week
10 week
5-65 year
25-61 year
1 year
12-57 year
