input_word	correct_term	input_context
zero	0	
one	1	
two	2	
three	3	
four	4	
five	5	
six	6	
seven	7	
eight	8	
nine	9	
ten	10	
eleven	11	
twelve	12	
thirteen	13	
fourteen	14	
fifteen	15	
sixteen	16	
seventeen	17	
eighteen	18	
nineteen	19	
adutl	adult	
adutls	adult	
adults	adult	
children	child	
years	year	
yr	year	
yrs	year	
yera	year	
yeras	year	
yeays	year	
yesrs	year	
months	month	
mo	month	
mos	month	
monts	month	
motnhs	month	
weeks	week	
wk	week	
wks	week	
weels	week	
weks	week	
wo	week	
wekk	week	
wekks	week	
days	day	
hours	hour	
hr	hour	
hrs	hour	
