"h_age"	"h_organism_id"	"h_organism_name"
"6-8 weeks old"	10000067	"Mus musculus C57BL/6"
NULL	9606	"Homo sapiens (human)"
"6-8 weeks old"	10000000	"Mus musculus BALB/c"
"8 weeks"	10000047	"Mus musculus C57BL/10"
"49 years old"	10000119	"Homo sapiens Caucasian"
"51 years old"	10000119	"Homo sapiens Caucasian"
NULL	10000067	"Mus musculus C57BL/6"
NULL	9598	"Pan troglodytes (chimpanzee)"
"8-16 weeks"	10000000	"Mus musculus BALB/c"
"6-8 weeks old"	10000051	"Mus musculus C57BL/10 X DBA/2"
"6-10 weeks old"	10000000	"Mus musculus BALB/c"
"4-16 years old"	9606	"Homo sapiens (human)"
"32-62 years"	9606	"Homo sapiens (human)"
"32-38 years"	9606	"Homo sapiens (human)"
"2-54 years"	9606	"Homo sapiens (human)"
"3-8 years"	9606	"Homo sapiens (human)"
"6-10 wk"	10000047	"Mus musculus C57BL/10"
"24 years"	9606	"Homo sapiens (human)"
"6-12 weeks-old"	10000219	"Mus musculus C57BL/6 X CBA"
"29-38"	9606	"Homo sapiens (human)"
NULL	10090	"Mus musculus (mouse)"
"12-65 years old"	9606	"Homo sapiens (human)"
"6-8 weeks"	10000067	"Mus musculus C57BL/6"
"6-12 weeks"	10000067	"Mus musculus C57BL/6"
"8-10 weeks"	10000000	"Mus musculus BALB/c"
"8-10 weeks"	10000067	"Mus musculus C57BL/6"
"45 years"	9606	"Homo sapiens (human)"
"10-15 weeks"	10000276	"Mus musculus B10.S"
"6-10 weeks"	10001019	"Mus musculus B10.D2"
"6-10 weeks"	10000647	"Mus musculus Quackenbush"
NULL	10000607	"Mus musculus HLA-DR3 Tg"
"8 weeks"	10000000	"Mus musculus BALB/c"
"6-8 weeks"	10000576	"Mus musculus HLA-A*02:01 Tg"
"6-8 weeks"	10000271	"Mus musculus B10.M"
"Adults (pregnant)"	9606	"Homo sapiens (human)"
"6-8 weeks"	10000253	"Mus musculus A/J"
"Adults"	9606	"Homo sapiens (human)"
"26-72 years-old"	9606	"Homo sapiens (human)"
"4-6 weeks old"	10000000	"Mus musculus BALB/c"
"20-55 years"	9606	"Homo sapiens (human)"
"55-69 years"	9606	"Homo sapiens (human)"
"2-4 months old"	10000000	"Mus musculus BALB/c"
"2-4 months old"	10000067	"Mus musculus C57BL/6"
NULL	10000601	"Mus musculus HLA-DR1 Tg"
NULL	10000598	"Mus musculus HLA-DQ8 Tg"
"33-52 years-old"	9606	"Homo sapiens (human)"
"26-45 years"	9606	"Homo sapiens (human)"
"7-74 years old"	9606	"Homo sapiens (human)"
"6-8 weeks"	10000038	"Mus musculus C3H/He"
"21-45 years old"	9606	"Homo sapiens (human)"
"8-24 weeks old"	10000067	"Mus musculus C57BL/6"
NULL	10000047	"Mus musculus C57BL/10"
NULL	10000094	"Mus musculus C57BL/6 IAbeta null"
NULL	10000188	"Sus scrofa NIH miniature pig"
"average age 29.8 years"	9606	"Homo sapiens (human)"
"18-91 years"	9606	"Homo sapiens (human)"
NULL	10000645	"Mus musculus PrP null"
"6-10 weeks"	10000263	"Mus musculus B10.BR"
"6-10 weeks"	10000000	"Mus musculus BALB/c"
"29-58 years"	9606	"Homo sapiens (human)"
NULL	10000000	"Mus musculus BALB/c"
NULL	10000649	"Mus musculus SJL"
"26-38 years"	9606	"Homo sapiens (human)"
"30-52 years-old"	9606	"Homo sapiens (human)"
"32- 53.5 years"	9606	"Homo sapiens (human)"
NULL	9534	"Chlorocebus aethiops (African green monkey)"
NULL	10000575	"Mus musculus HBV(adr) transgenic BALB/c"
"32-74 years old"	9606	"Homo sapiens (human)"
"6-10 weeks-old"	10000038	"Mus musculus C3H/He"
NULL	10000582	"Mus musculus HLA-A2 Tg"
NULL	10000670	"Cavia porcellus Ssc:AL"
"8-week-old"	10000067	"Mus musculus C57BL/6"
"6 weeks"	10000038	"Mus musculus C3H/He"
"44 years"	9606	"Homo sapiens (human)"
"8-12 weeks"	10000263	"Mus musculus B10.BR"
"31-39"	9606	"Homo sapiens (human)"
"7-8 weeks"	10000649	"Mus musculus SJL"
"Adults (40 year-old average)"	9606	"Homo sapiens (human)"
"6 weeks"	10000000	"Mus musculus BALB/c"
NULL	10000276	"Mus musculus B10.S"
"6-10 wk"	10000271	"Mus musculus B10.M"
"Children and Adults"	9606	"Homo sapiens (human)"
