h_age	h_organism_id	h_organism_name	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
adults (pregnant)	9606	Homo sapiens (human)					adults (pregnant)	34
adults (40 year-old average)	9606	Homo sapiens (human)	40			year	average	77
10.5 years avg.	9606	Homo sapiens (human)	10.5			year	average	292
18-64 years)	9606	Homo sapiens (human)		18	64	year		298
at least 8 weeks old	10000000	Mus musculus BALB/c		8		week		307
8 weeks or older	10000067	Mus musculus C57BL/6		8		week		313
2 months or older	10000000	Mus musculus BALB/c		2		month		320
35.4 yrs average	9606	Homo sapiens (human)	35.4			year	average	330
6 months-1.1 year	9606	Homo sapiens (human)		0.5	1.1	year		334
4 months- 4 years	9606	Homo sapiens (human)		0.33	4	year		338
10 years and older	9606	Homo sapiens (human)		10		year		412
