index	input_data_loc	output_data_loc
951	Fig 1B	['figure 1b']
1197	Figure  2, 4 and 5	['figure 2', 'figure 4', 'figure 5']
1242	Figure  S9	['figure s9']
1524	Figure 1 and PDB 8IVX	['figure 1', 'pdb 8ivx']
1840	Figure 1 and Table 1, Supplementary Figure 4	['figure 1', 'table 1', 'figure 4']
1879	Figure 1 and Table 9	['figure 1', 'table 9']
1892	Figure 1 and Table IV	['figure 1', 'table 4']
2110	Figure 1 and text p.47	['figure 1', 'page 47']
2362	Figure 1, 2, 3, and 6	['figure 1', 'figure 2', 'figure 3', 'figure 6']
2687	Figure 1, and Extended Data Figures 1, 2	['figure 1', 'extended data figure 1', 'extended data figure 2']
3288	Figure 1, Supplemental Figure 14 and Supplemental Table 5	['figure 1', 'supplemental figure 14', 'supplemental table 5']
3348	Figure 1, Supplemental Tables I and II	['figure 1', 'supplemental table 1', 'supplemental table 2']
3653	Figure 1, Supplementary Figures 1, 2, Supplementary Tables 1, 2 and PDB 6OAO	['figure 1', 'figure 1', 'figure 2', 'table 1', 'table 2', 'pdb 6oao']
3945	Figure 1, Supplementary Table 1 and Supplementary Figures 5 and 6	['figure 1', 'table 1', 'figure 5', 'figure 6']
4029	Figure 1, Supplementary Table S1 and PDB 4MAY	['figure 1', 'table s1', 'pdb 4may']
4989	Figure 1-3 and Table 2	['figure 1', 'figure 3', 'table 2']
5616	Figure 1C,D, 3B	['figure 1c', 'figure 1d', 'figure 3b']
5646	Figure 1D and 8C	['figure 1d', 'figure 8c']
5823	Figure 1L	['figure 1l']
6214	Figure 2 and Supplemental Figure S3	['figure 2', 'supplemental figure s3']
6391	Figure 2 and Supplementary Table 4	['figure 2', 'table 4']
7547	Figure 2, Figure S1, and Table S2	['figure 2', 'figure s1', 'table s2']
7637	Figure 2, S2 and Table II	['figure 2', 'figure s2', 'table 2']
8441	Figure 2, Supplementary Table S2, Supplementary Figure S2	['figure 2', 'table s2', 'figure s2']
8446	Figure 2, Supplementary Tables 1, 2 and PDB 4HS3	['figure 2', 'table 1', 'table 2', 'pdb 4hs3']
9470	Figure 2A, Figure 3B, Figure 6A	['figure 2a', 'figure 3b', 'figure 6a']
10101	Figure 3 and S7	['figure 3', 'figure s7']
