input_word	correct_term	input_context
tbl	table	
tab	table	
tabe	table	
tabl	table	
tabel	table
tabble	table	
tables	table	
fig	figure	
figs	figure	
figur	figure	
fugre	figure	
fugure	figure	
fugures	figure	
figurs	figure	
figrue	figure	
fiugre	figure	
figurse	figure	
figgure	figure	
figuure	figure	
fiigure	figure	
figures	figure	
dataset	data	
datta	data	
dat	data	
dta	data	
titel	title	
tittle	title	
titl	title	
abstarct	abstract	
absract	abstract	
abst	abstract	
abs	abstract	
refence	reference	
referce	reference	
refernce	reference	
referece	reference	
referenc	reference	
referecne	reference	
references	reference	
supplament	supplemental	
supplental	supplemental	
supplemenary	supplemental	
supplimentry	supplemental	
supplemenraty	supplemental	
supplememtary	supplemental	
supplementary	supplemental	
supplimentary	supplemental	
supplemenatal	supplemental	
supplemenatry	supplemental	
supplemenntary	supplemental	
supplementaery	supplemental	
supplem	supplemental	
supp	supplemental	
suppl	supplemental	
extanded	extended	
exteneded	extended	
p	page	
pg	page	
pages	page	
&	and	
i	1	
ii	2	
iii	3	
iv	4	
v	5	
vi	6	
vii	7	
viii	8	
ix	9	
x	10	
xi	11	
xii	12	
xiii	13	
xiv	14	
xv	15	
xvi	16	
xvii	17	
xviii	18	
xix	19	
xx	20	
