Metric	Value
Number of Unique Strings	251809
Number of Unique Strings Phrase Normalized	233152
Change in Number of Unique Strings	-7.41%
Ratio of Total Strings to Unique Strings	1.25 : 1
Ratio of Total Strings to Unique Strings Phrase Normalized	1.35 : 1
Change in Ratio of Unique Strings to Total Strings	8.0%
Number of Single Use Strings	228132
Single Use Strings as a Percentage of All Strings	72.36
Single Use Strings as a Percentage of Unique Strings	90.6
Number of Single Use Strings Phrase Normalized	228571
Single Use Strings as a Percentage of All Strings After Phrase Normalization	72.5
Single Use Strings as a Percentage of Unique Strings After Phrase Normalization	98.04
Change in Number of Single Use Strings	0.19%
Change in Ratio of Single Use Strings to Total Strings	8.21%
