index	unknown_word	pdb_plausible?	context	occurrences	category	replace_with	remove	invalidate	allow
2	pg	N	'abstract and results (pg. 3031)', 'figure 1, pg. 2378', 'figure 5 and results (pg. 1035)', 'materials and methods (pg. 1734)', 'materials and methods (pg. 386)', 'materials and methods (pg. 704)', 'methods, pg. 12', 'pg 5961', 'pg. 1410 and j. virol. 61:1358-1367', 'pg. 2327', 'pg. 2380', 'pg. 4088'	26					
3	argiro	N	'argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]'	1					
7	pxd035499	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)', 'pride database id: pxd035499'	4					
8	2022_msresults_aut1533	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2'	2					
9	from	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)', 'corespondency from authors', 'deduced from amino acid locations in abstract', 'deduced from cited accession'	20					
10	mzid	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3					
11	download	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3					
12	pridedb	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3					
13	2022_msresults_susscrofa	N	'2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	1					
16	10706966]	N	'argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]'	1					
17	3210figure	N	'3210figure 4'	1					
20	vii	N	'fig.2,fig.4, table iv, table vi, table vii', 'fig.3, fig.5, fig.6,table iv, table vi, table vii', 'table i, figure 1 table v, vii', 'table iii, iv, vii table i, figure 1', 'table v and vii', 'table vi, vii, viii', 'table vii and figure 1', 'table vii and figure 2', 'table vii and figure 4', 'table vii and figure 5'	43					
22	table1	N	'figure 1 and table1', 'figure 1, table1', 'figure 1, extended data figure 2, extended data table1 and pdb 5c1m', 'figure 1,figure 2,table1', 'figure 1,table1', 'figure 2, 3, 4 and table1', 'figure 2, table1', 'figure 3 and table1', 'figure 4, table1 and pdb 5usf', 'figure 5 and table1', 'figure 7 and table1'	43					
25	fax	N	'6pdb fax'	1					
34	[pmid	N	'argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]', 'cited reference [pmid: 16472860]', 'cited reference [pmid: 17728232]', 'cited reference [pmid: 24027321] and pdb 4m5z', 'cited reference [pmid: 25723165] and pdb 3x2d', 'cited reference [pmid: 26311869]', 'cited reference [pmid: 27066709]'	44					
35	abbreviation	N	'abbreviation text page 875'	1					
36	baer	N	'baer et al. nature 1984;310:207'	1					
37	abbreviations	N	'abbreviations', 'abbreviations and reference cited', 'abbreviations page 43', 'abbreviations used'	4					
38	vet	N	'bmc vet res 2006;2:19'	1					
39	bmc	N	'bmc vet res 2006;2:19'	1					
40	used	N	'abbreviations used'	1					
41	absract	N	'absract'	1					
42	abstarct	N	'abstarct'	1					
43	res	N	'bmc vet res 2006;2:19', 'takeuchi et al. nucleic acid res 1990;18:4626'	2					
45	biochem	N	'chang et al. j biochem 1995;117:863-868'	1					
46	chang	N	'chang et al. j biochem 1995;117:863-868'	1					
47	16472860]	N	'cited reference [pmid: 16472860]'	1					
50	17728232]	N	'cited reference [pmid: 17728232]'	1					
