index	invalid_word	context	occurrences	replace_with	remove	invalidate	allow
0	old	'6-8 weeks old', '49 years old', '51 years old', '6-10 weeks old', '4-16 years old', '6-12 weeks-old', '12-65 years old', '26-72 years-old', '4-6 weeks old', '2-4 months old', '33-52 years-old', '7-74 years old', '21-45 years old', '8-24 weeks old', '30-52 years-old', '32-74 years old', '6-10 weeks-old'	710		x		
1	weeks	'6-8 weeks old', '8-16 weeks', '6-10 weeks old', '6-12 weeks-old', '8-10 weeks', '10-15 weeks', '4-6 weeks old', '8-24 weeks old', '6-10 weeks-old', '8-12 weeks', '7-8 weeks', '8-12 weeks-old', '6 to 8 weeks', '6 weeks-old', '6-9 weeks', '5-6 weeks', '12-16 weeks', '5-7 weeks', '7-10 weeks-old', '4-16 weeks'	2303	week			
2	null	'null'	573				x
3	years	'49 years old', '51 years old', '4-16 years old', '32-62 years', '32-38 years', '2-54 years', '3-8 years', '24 years', '12-65 years old', '45 years', '26-72 years-old', '20-55 years', '55-69 years', '33-52 years-old', '26-45 years', '7-74 years old', '21-45 years old', 'average age 29.8 years', '18-91 years'	2985	year			
4	wk	'6-10 wk', '8-11 wk', '6-8 wk', '8-16 wk', '6-8 wk old', '4-6 wk', '8-12 wk', '8-14 wk', '6-16 wk', '4-5 wk', '8-10 wk', '>6 wk', '6-12 wk', '6 to 10 wk', '6-7 wk', '6-8 wk.', '8-12 wk.', '> 8 wk.', '4 wk - 3 mo', '22 wk'	57	week			
5	adults	'adults (pregnant)', 'adults (40 year-old average)', 'children and adults', 'adults and children', 'adults and children (ages 4.5-10.5 and 15-44)', 'young adults', 'adults (15-44)', 'adults, >32 years', 'infants and adults'	21	adult			
6	months	'2-4 months old', '1-48 months-old', '2-8 months', '4-24 months', '6 months', '10 months', '6-12 months', '3 months-old', '1-2 months-old', '3.5-17 months', '5-6 months', '2 months or older', '6 months-1.1 year', '4 months- 4 years', '13-133 months', '3-4 months', '9 months', '1-4 months', '2-3 months'	537	month			
7	average	'average age 29.8 years', 'adults (40 year-old average)', '35.4 yrs average', 'average age 35.1', 'average 48 years', '37 yrs average', '37 yrs. average', 'average of 30.2 years', '35.4 yrs. average', 'average age = 19.2 years', 'average age = 60.5 years', 'average age = 36.9 years', 'average age = 54.7 years'	36	mean			
8	age	'average age 29.8 years', 'mean age 30 years', 'mean age 46.5 years', 'children (mean age 7.2 years)', 'average age 35.1', 'mean age = 30.7 years', 'mean age 54 years', 'median age 11.3 years', 'median age 6.3 years', 'mean age 26.5 years', '38.6 years (mean age)', 'average age = 19.2 years', 'adult (avg. age = 30.8 years)'	97		x		
9	week	'8-week-old', '6 to 8-week old', '6-8 week', '4 week', '6-10 week old', '8-12 week', '6-8-week-old', '8 to 12-week-old', '8 week-old', '6-week-old', '8 week old', '7-12 week', '1 week', '4-8-week-old', '14 week old', '6 to 8 week', '8 to 12 week', '4-week old', '6 week', '3 - 4 week old', '3-5 week-old'	97				x
10	year	'adults (40 year-old average)', '6 months-1.1 year', '12 to 55 year-old', '1 year-old', '32-66 years (mean = 50.3 year)', '1 year 5 months to 15 years 8 months', '1 year 8 months to 68 years', '1 year old'	18				x
11	children	'children and adults', 'adults and children', 'children (mean age 7.2 years)', 'adults and children (ages 4.5-10.5 and 15-44)', 'children (avg. age = 9.5 years)', 'children <5 years old'	7	child			
12	adult	'adult', 'young adult', 'adult (within 24 hours of parturition)', 'adult (avg. age = 30.8 years)', 'neonate and adult', 'adult (>18 years)', 'adult (6 weeks)', '1 day, 7-8 days or adult', 'adult (pregnant)', 'adult (18-49)', 'adult, >32 years'	59				x
13	days	'35 to 40 days', '10 to 17 days-old', '10 days', '10-17 days', '13 days', '50 days', '60-90 days', '23 days', '6-9 days', '80 days', '10-13 days', '65 days', '27-29 days', '33-36 days', '16 +/- 11 days', '42 to 100 days', '42 to 116 days', '30 to 40 days', '< 42 days', '27 days', '8 days or 4-6 months'	93	day			
14	mean	'mean 54 years (range 19-68)', 'mean: 29 years', 'mean age 30 years', 'mean age 46.5 years', 'children (mean age 7.2 years)', 'mean age = 30.7 years', 'mean age 54 years', 'mean: 30 years', 'mean=28.5 +/- 15.0', 'mean age 26.5 years', '38.6 years (mean age)', 'mean age 31 years', 'mean age 65 years'	108				x
15	mo	'2-18 mo', '4 wk - 3 mo', '6-24 mo of age', '6 - 8 mo', '2 mo', '8 mo to 35 years'	7	month			
16	wks	'8-12 wks', '6-8 wks', '8-10 wks', '8-10 wks.', '6-10 wks', '4-6 wks', '7-9 wks', '6-7 wks'	15	week			
17	yr	'8-yr-old', '10.1 +/- 3.6 yr', '8 yr', '10-66 yr'	4	year			
18	avg	'10.5 years avg.', 'adult (avg. age = 30.8 years)', 'children (avg. age = 9.5 years)'	3	mean			
19	yrs	'35.4 yrs average', '28-60 yrs', '37 yrs average', '37 yrs. average', '45-55 yrs', '60-95 yrs', '50 yrs', '35.4 yrs. average', '46-48 yrs', '53 yrs', '2-4 yrs', '26-67 yrs'	12	year			
20	newborn	'newborn'	10				x
21	month	'1 month-old-81 years-old', '3 month', '6 month-old', '12-24 month old', '2-month-old', '3 month old', '3.5 month', '2 month', '4-36 month-old', '6-36-month-old', '2-3 month old', '2 month old', 'three-month-old', '1.5 month', '18 month old', '7-month-old', '7 month', '1 month - 13 years', '1 month - 4 years'	32				x
22	10wk	'8-10wk'	1	10 week			
23	young	'young adult', 'young adults', 'young and old'	23				x
24	child	'child', 'child (5-11)'	2				x
25	wo	'6 wo', '8-10 wo', '6 - 8 wo'	5	week			
26	neonates	'neonates', 'neonates (3 or 7 days)', 'neonates (3 days)', 'neonates (infected mothers or pm)'	6	neonate			
27	day	'2-day old', '7 day old', '1 day', '24-day-old', '15 day', 'embryonic day 15', '1 day, 7-8 days or adult', '1 day to 40 years', '2 day old', '1 day old', '2-day to 6-week old', '45 day', '21 day old', '40-day-old', '100 day fetus', '1 day to 103 years', '1 day to 6 months'	20				x
28	over	'10 to over 90 years', 'over 18 years old', '18-40 years, 65 years and over.', 'over 5 weeks', 'over 12 weeks', 'over 50 years'	7	>			
29	hours	'adult (within 24 hours of parturition)', 'within 12 hours of birth', '<18 hours', '24 hours after birth', '< 12 hours', 'less than 24 hours', '<24 hours', '<16 hours', '48 hours'	14	hour			
30	median	'median age 11.3 years', 'median age 6.3 years', 'median age 28 years', 'median age 5.5 years', 'median age = 27 years', 'median 41.7 years', 'median 66.5 years', 'median 58 years', 'median 4 years', 'median age 33 years', 'median age 21 years', '0.7 to 20.9 years (median = 11.0)', 'median age 63 years'	21				x
31	neonatal	'neonatal'	4	neonate			
32	/	'mean=28.5 +/- 15.0', '10.1 +/- 3.6 yr', '50 +/- 15 years', '40 +/- 12 years', '16 +/- 11 days', '41+/-13 years', '54+/-10 years', 'mean age 30 +/- 7 years', '56.6 +/- 19.3 years', '37 +/- 12 years', '36 +/- 13 years', '26.7 +/- 1.0 years', 'mean = 32.17+/-13.32 years', 'mean = 73+/-8.53 years', '38.1 +/- 14.8 years'	117				x
33	neonate	'neonate', 'neonate and adult'	4				x
34	calves	'calves', 'calves and cows'	3	calf			
35	newborns	'newborns', 'newborns - 29 years'	2	newborn			
36	8weeks	'6-8weeks', '6-8weeks old'	2	8 week			
37	calf	'calf'	2				x
38	juvenile	'juvenile'	3				x
39	yeays	'31-68 yeays'	1	year			
40	weels	'8 to 10 weels', '6-8 weels'	4	week			
41	under	'under 16 weeks', 'under 7 years'	2	<			
42	tp	'5 tp 7 weeks'	1	to			
43	six	'six week old', 'six to eight weeks old', 'six weeks'	4	6			
44	monts	'2 to 4 monts'	1	month			
45	eight	'six to eight weeks old'	2	8			
46	motnhs	'6 motnhs to 15 years'	1	month			
47	yeras	'53-63 yeras', '64 yeras', '22 to 60 yeras'	3	year			
48	five	'five week old'	1	5			
49	feb	'16-feb'	1			x	
50	wekks	'8 wekks-old'	1	week			
51	one	'one week'	1	1			
