index	invalid_word	context	occurrences	replace_with	remove	invalidate	allow
2	null	'null'	573				
4	wk	'6-10 wk', '8-11 wk', '6-8 wk', '8-16 wk', '6-8 wk old', '4-6 wk', '8-12 wk', '8-14 wk', '6-16 wk', '4-5 wk', '8-10 wk', '>6 wk', '6-12 wk', '6 to 10 wk', '6-7 wk', '6-8 wk.', '8-12 wk.', '> 8 wk.', '4 wk - 3 mo', '22 wk'	57				
5	adults	'adults (pregnant)', 'adults (40 year-old average)', 'children and adults', 'adults and children', 'adults and children (ages 4.5-10.5 and 15-44)', 'young adults', 'adults (15-44)', 'adults, >32 years', 'infants and adults', 'adults (40 year- average)'	21				
6	pregnant	'adults (pregnant)', 'adult (pregnant)'	2				
8	age	'average age 29.8 years', 'mean age 30 years', 'mean age 46.5 years', 'children (mean age 7.2 years)', 'average age 35.1', 'mean age 54 years', 'median age 11.3 years', 'median age 6.3 years', 'mean age 26.5 years', '38.6 years (mean age)', 'mean age 31 years', 'median age 28 years', 'mean age 65 years'	49				
9	children	'children and adults', 'adults and children', 'children (mean age 7.2 years)', 'adults and children (ages 4.5-10.5 and 15-44)', 'children <5 years old', 'children (mean age 7.2 year)'	6				
10	to	'6 to 8 weeks', '35 to 40 days', '18 to 65 years', '6 to 8-week old', '8 to 10 weeks', '6 to 10 weeks', '27 to 78 years', '12 to 55 year-old', '8 to 12 weeks', '7 to 8 weeks', '18 to 50 years', '5 to 19 weeks', '5- to 8- weeks -old', '6 months to 2 years', '10 to 17 days-old', '6 to 10 wk', '22 to 80 years'	1314				
11	days	'35 to 40 days', '10 to 17 days-old', '10 days', '10-17 days', '13 days', '50 days', '60-90 days', '23 days', '6-9 days', '80 days', '10-13 days', '65 days', '27-29 days', '33-36 days', '42 to 100 days', '42 to 116 days', '30 to 40 days', '< 42 days', '27 days', '8 days or 4-6 months', '14 days', '6 to 7 days or 8 to 12 weeks'	92				
12	range	'mean 54 years (range 19-68)', 'mean age of 32.2 years with a range from 18 to 49 years'	2				
13	mo	'2-18 mo', '4 wk - 3 mo', '6-24 mo of age', '6 - 8 mo', '2 mo', '8 mo to 35 years'	7				
14	wks	'8-12 wks', '6-8 wks', '8-10 wks', '8-10 wks.', '6-10 wks', '4-6 wks', '7-9 wks', '6-7 wks'	15				
15	yr	'8-yr-old', '8 yr', '10-66 yr'	3				
16	avg	'10.5 years avg.', '10.5 year avg.'	1				
17	least	'at least 8 weeks old', 'at least 7 weeks', 'at least 2 months'	6				
18	at	'at least 8 weeks old', 'at birth', 'at least 7 weeks', 'at least 2 months'	7				
19	older	'8 weeks or older', '2 months or older', '10 years and older', '6 weeks or older', 'older than 8 weeks', '40 years or older', '18 years or older', '10 weeks or older', '8 week or older', '2 month or older', '10 year and older', '6 week or older', '40 year or older', '18 year or older', '10 week or older'	11				
20	yo	'21 - 85 yo', '7 yo 8 weeks', '6 yo 8 weeks'	4				
21	yrs	'35.4 yrs average', '28-60 yrs', '37 yrs average', '37 yrs. average', '45-55 yrs', '60-95 yrs', '50 yrs', '35.4 yrs. average', '46-48 yrs', '53 yrs', '2-4 yrs', '26-67 yrs'	12				
22	newborn	'newborn'	10				
23	10wk	'8-10wk'	1				
24	young	'young adult', 'young adults', 'young and old'	23				
25	available	'not available'	1				
26	not	'not available'	1				
27	sucking	'sucking'	1				
28	wo	'6 wo', '8-10 wo', '6 - 8 wo'	5				
29	ages	'adults and children (ages 4.5-10.5 and 15-44)'	1				
30	neonates	'neonates', 'neonates (3 or 7 days)', 'neonates (3 days)', 'neonates (infected mothers or pm)'	6				
31	birth	'at birth', 'within 12 hours of birth', '24 hours after birth', 'birth - 5 years', 'within 1 week after birth'	5				
32	of	'average of 30.2 years', 'adult (within 24 hours of parturition)', 'within 12 hours of birth', 'mean of 12.2 years', 'mean of 37.0 years', 'mean age of 49 years', 'mean age of 57 years', 'mean age of 32.2 years with a range from 18 to 49 years', '6-24 mo of age', 'average age of 37 years', 'mean age of 39.9 years'	13				
33	over	'10 to over 90 years', 'over 18 years old', '18-40 years, 65 years and over.', 'over 5 weeks', 'over 12 weeks', 'over 50 years', '18-40 year, 65 year and over.'	7				
34	hours	'adult (within 24 hours of parturition)', 'within 12 hours of birth', '<18 hours', '24 hours after birth', '< 12 hours', 'less than 24 hours', '<24 hours', '<16 hours', '48 hours'	14				
35	within	'adult (within 24 hours of parturition)', 'within 12 hours of birth', 'within 1 week after birth'	3				
36	parturition	'adult (within 24 hours of parturition)'	1				
37	neonatal	'neonatal'	4				
38	than	'older than 8 weeks', 'less than 30 years', 'less than 24 hours', 'more than 15 years', 'younger than 35 years', 'less than 20 years'	7				
39	after	'24 hours after birth', 'within 1 week after birth'	2				
40	neonate	'neonate', 'neonate and adult'	4				
41	embryo	'embryo'	1				
42	calves	'calves', 'calves and cows'	3				
43	newborns	'newborns', 'newborns - 29 years'	2				
44	8weeks	'6-8weeks', '6-8weeks old'	2				
45	calf	'calf'	2				
46	cows	'calves and cows'	1				
47	less	'less than 30 years', 'less than 24 hours', 'less than 20 years'	4				
48	juvenile	'juvenile'	3				
49	yeays	'31-68 yeays'	1				
50	fetal	'fetal'	2				
51	weels	'8 to 10 weels', '6-8 weels'	4				
52	under	'under 16 weeks', 'under 7 years'	2				
53	/	'mean age 30 +/- 7 years', '26.7 +/- 1.0 years', '39.8 +/- 10.6 years', '27 +/- 6 years', '17 +/- 6 years', '55.2 +/- 20.1 years', '46.1 +/- 14.8 years', '58.5 +/- 18.2 years', 'mean age 35 +/- 11 years', '41 +/- 11 years', '26.2 +/- 4.8 years', '12 +/- 2 weeks', '56.3 +/- 12.8 years', '35.5 +/- 12.8 years'	71				
54	tp	'5 tp 7 weeks'	1				
55	six	'six week old', 'six to eight weeks old', 'six weeks', 'six to eight week old'	4				
56	monts	'2 to 4 monts'	1				
57	eight	'six to eight weeks old'	2				
58	younger	'30 years or younger', '14 and younger', 'younger than 35 years', '30 year or younger'	3				
59	mos	'1-8 mos', '6 mos'	2				
60	motnhs	'6 motnhs to 15 years'	1				
61	prenatal	'prenatal'	1				
62	embryonic	'embryonic day 15'	1				
63	yeras	'53-63 yeras', '64 yeras', '22 to 60 yeras'	3				
64	infant	'infant'	1				
65	pediatric	'pediatric'	1				
66	from	'mean age of 32.2 years with a range from 18 to 49 years', 'mean age of 32.2 year with a range from 18 to 49 year'	1				
67	with	'mean age of 32.2 years with a range from 18 to 49 years', '18-38 years, with an average of 22 years', 'mean age of 32.2 year with a range from 18 to 49 year', '18-38 year, with an average of 22 year'	2				
68	a	'mean age of 32.2 years with a range from 18 to 49 years', 'mean age of 32.2 year with a range from 18 to 49 year'	1				
69	five	'five week old'	1				
70	feb	'16-feb'	1				
71	ponies	'ponies'	1				
72	wekks	'8 wekks-old'	1				
73	more	'more than 15 years'	1				
74	adutls	'adutls'	2				
75	one	'one week'	1				
76	up	'up to 12 weeks old'	3				
77	infants	'infants', 'infants and adults'	2				
78	7years	'1.5-7years'	1				
79	grams	'25-30 grams'	1				
80	three	'three-month-old'	1				
81	four	'four-weeks-old', 'four-week-old'	2				
82	infected	'neonates (infected mothers or pm)'	1				
83	pm	'neonates (infected mothers or pm)'	1				
84	mothers	'neonates (infected mothers or pm)'	1				
85	g	'20-25 g'	1				
86	subadult	'subadult'	1				
87	college	'college age'	1				
88	foals	'foals'	1				
89	elderly	'elderly > 70 years'	2				
90	steer	'steer'	1				
91	31and	'31and 73 years'	1				
92	mature	'mature'	1				
93	middle	'middle aged', 'middle-aged'	2				
94	aged	'middle aged', 'middle-aged'	2				
95	fetus	'100 day fetus'	2				
96	weks	'6-7 weks'	1				
97	t0	'43 t0 53 months'	1				
98	piglet	'piglet'	1				
99	yeas	'46.7 yeas (mean)'	1				
100	on	'52 years old on average'	1				
101	an	'18-38 years, with an average of 22 years', '18-38 year, with an average of 22 year'	1				
102	born	'born before 1968'	1				
103	before	'born before 1968'	1				
104	9weeks	'7-9weeks'	1				
105	yesrs	'24 to 65 yesrs'	1				
