index	invalid_word	pdb_plausible?	context	occurrences	replace_with	remove	invalidate	allow
1	1b	N	'figure 1b', 'fig 1b', 'figure 1a and 1b', 'figure 1a figure 1b', 'figure 1a, 1b', 'figure 1a, 1b, 2a', 'figure 1a, 1b, 2a and 3c.', 'figure 1a, 1b, and 1d', 'figure 1a, 1b, table 3.', 'figure 1a, a and c, 1b a and figure 2 a and c', 'figure 1a, figure 1b', 'figure 1b and 2a', 'figure 1b and 1c', 'figure 1b and 2a,c'	260				
2	2b	N	'figure 2b', 'fig 2b', 'fig.2a, 2b', 'fig.2b', 'figure 1, 2b', 'figure 1, tables 2a, 2b, 4, supplementary figure s1 and table e2', 'figure 1a figure 2b', 'figure 1a, 2b and table 1', 'figure 1a-d, 2b', 'figure 1b and 2b,d', 'figure 1b, 2b', 'figure 1b, 2b,c', 'figure 1c, 2b, 2e and supplementary figure 1c'	258				
4	1mfd	Y	'1mfd', 'figures 2, 3 4, table 1 and pdb 1mfd', 'figure 2, 3 4, table 1 and pdb 1mfd'	2				
5	1rzj	Y	'1rzj', 'figure 1 and 1rzj'	2				
6	1rzk	Y	'1rzk', 'figure 1 and 1rzk'	2				
7	pxd035499	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)', 'pride database id: pxd035499'	4				
8	2022_msresults_aut1533	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2'	2				
9	from	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)', 'corespondency from authors', 'deduced from amino acid locations in abstract', 'deduced from cited accession'	19				
10	mzid	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3				
11	download	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3				
12	pridedb	N	'2022_msresults_aut1533.mzid (download from pridedb: pxd035499)', '2022_msresults_aut1533.mzid (download from pridedb: pxd035499), table 2', '2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	3				
13	2022_msresults_susscrofa	N	'2022_msresults_susscrofa.mzid (download from pridedb: pxd035499)'	1				
14	2pcp	Y	'2pcp', 'figures 2, 3, 4, tables i, ii, iii and pdb 2pcp', 'f1gures 2, 3, 4, tables 1, 11, 111 and pdb 2pcp', 'figure 2, 3, 4, table i, ii, 3 and pdb 2pcp'	2				
15	2vh5	Y	'2vh5', 'table 1, figure 3, and pdb 2vh5'	2				
17	3210figure	N	'3210figure 4'	1				
18	5ocy	Y	'5ocy', 'figures 2, 3, 4, supplementary figures 3, 4, supplementary tables 3, 5 and pdb 5ocy', 'figure 2, 3, 4, supplementary figure 3, 4, supplementary table 3, 5 and pdb 5ocy'	2				
19	5u1f	Y	'5u1f', 'figure 1, supplementary figures 1, 2, table 1 and pdb 5u1f', 'figure 1, supplementary figure 1, 2, table 1 and pdb 5u1f'	2				
20	6cuf	Y	'6cuf and 6cue', 'figures 4, s9, s10, tables s1, s2 and pdb 6cuf', 'pdb 6cuf and 6cue', 'table s2 and pdb 6cuf', 'figure 4, s9, s10, table s1, s2 and pdb 6cuf'	5				
21	6cue	Y	'6cuf and 6cue', 'figures 4, s9, s10, tables s1, s2 and pdb 6cue', 'pdb 6cuf and 6cue', 'table s2 and pdb 6cue', 'figure 4, s9, s10, table s1, s2 and pdb 6cue'	5				
22	6lpb	Y	'6lpb', 'figure 1, table 2 and pdb 6lpb'	2				
23	6mam	Y	'6mam', 'figures 1, 2, table 1, supplementary note 1 and pdb 6mam', 'figure 1, 2, table 1, supplementary note 1 and pdb 6mam'	2				
24	6pdb	Y	'6pdb fax'	1				
25	fax	N	'6pdb fax'	1				
26	7bei	Y	'7bei', 'figure 3, 5, table s5 and pdb 7bei', 'pdb 7bei and 7nd5'	3				
27	7bel	Y	'7bel', 'figure 3, 4, s4, table s5 and pdb 7bel', 'figures 3, 6, s4, s6, table s5 and pdb 7bel', 'figure 3, 6, s4, s6, table s5 and pdb 7bel'	4				
28	7laa	Y	'7laa', 'figures 2, 4, data s1, s2, s3 and pdb 7laa'	2				
29	7lab	Y	'7lab', 'figures 2, 4, data s1, s2, s7 and pdb 7lab', 'figure 2, 4, data s1, s2, s7 and pdb 7lab'	2				
30	7rew	Y	'7rew', 'figure 2, supplemental table 3 and pdb 7rew'	2				
31	7u8j	Y	'7u8j', 'figure 1, table s1 and pdb 7u8j'	2				
32	8av9	Y	'8av9', 'supplementary table 1 and pdb 8av9'	2				
33	8df5	Y	'8df5', 'pdb 8df5', 'table s1 and pdb 8df5'	3				
35	abbreviation	N	'abbreviation text page 875'	1				
37	abbreviations	N	'abbreviations', 'abbreviations and reference cited', 'abbreviations page 43', 'abbreviations used'	4				
40	used	N	'abbreviations used'	1				
41	absract	N	'absract'	1				
42	abstarct	N	'abstarct'	1				
44	p	N	'abstract and p. 664', 'abstract and text p. 52', 'case report p 191', 'cited reference and text p. 11782', 'discussion p 17406, figure 6', 'discussion p. 389', 'discussion text p. 228', 'experimental and results p. 474', 'figure 1 and text p. 241', 'figure 2 and text p. 2293', 'figure 3 and text p. 2296'	1434				
48	3gjf	Y	'abstract and pdb 3gjf and 3hae', 'figures 1, s2 tables s1, s3 and pdb 3gjf', 'table s3 and pdb 3gjf', 'figures 1, s2 table s1, s3 and pdb 3gjf', 'figure 1, s2 table s1, s3 and pdb 3gjf'	3				
49	3hae	Y	'abstract and pdb 3gjf and 3hae', 'table s1, figure s2 and pdb 3hae', 'text p. 5785 and pdb 3hae'	3				
51	pg	N	'abstract and results (pg. 3031)', 'figure 1, pg. 2378', 'figure 5 and results (pg. 1035)', 'materials and methods (pg. 1734)', 'materials and methods (pg. 386)', 'materials and methods (pg. 704)', 'methods, pg. 12', 'pg 5961', 'pg. 1410 and j. virol. 61:1358-1367', 'pg. 2327', 'pg. 2380', 'pg. 4088'	26				
53	discussion	N	'abstract, discussion page 1914', 'discussion p 17406, figure 6', 'discussion p. 389', 'discussion page 357', 'discussion page 8', 'discussion text p. 228', 'discussion, page 809', 'figure 1, discussion', 'figure 1, result and discussion', 'figure 2, results and discussion', 'materials and methods, discussion'	24				
54	scheme	N	'abstract, scheme 1', 'figure 1, supporting information scheme 1 and pdb 1nc2', 'figure 1, supporting information scheme 1 and pdb 1nc4', 'introduction, scheme 1', 'materials and methods and scheme 3', 'materials and methods and scheme 4', 'materials and methods and scheme 5', 'materials and methods and scheme 6'	31				
55	accession	N	'accession 23508148', 'accession no. p04403 cited', 'accession no. p07130 cited', 'accession number: m62321', 'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4', 'accession: p26664', 'author designated genebank accession number: nc_045512', 'author provided accession'	34				
56	no	N	'accession no. p04403 cited', 'accession no. p07130 cited', 'author provided accession no. x74735 and cited reference'	3				
57	p04403	N	'accession no. p04403 cited'	1				
58	p07130	N	'accession no. p07130 cited'	1				
59	number	N	'accession number: m62321', 'author designated genebank accession number: nc_045512', 'author provided accession number', 'author provided accession number in cited reference', 'cited genbank accession number', 'materials and methods (accession number)', 'materials and methods, author provided accession number'	8				
60	m62321	N	'accession number: m62321'	1				
61	u17066	N	'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4'	3				
62	p26664	N	'accession: p26664'	1				
66	s4	N	'additional file 4: table s4', 'data s1, data s2, data s3, data s4', 'data s1, data s2, data s3, data s4, data s5', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s4, data s6', 'data s1, data s2, data s4, data s5', 'data s1, data s2, data s4, data s5, data s6'	1737				
67	s1	N	'additional file table s1', 'appendix table s1', 'cited reference and supplemental table s1', 'data file s1', 'data file s1 and table s3', 'data file s1, figure 3', 'data file s1, figure 4', 'data file s1, figure 5', 'data file s1, figure 6', 'data file s1, figures 4 and 6', 'data file s1, supplemental figure 2'	3032				
68	files	N	'additional files 2 and 9', 'figures 2, 3, 4, 5, additional files 3 and 5', 'figures 2, 3, 4, additional files 5, 6 and 7', 'figures 3, 5, supplementary files 1, 2 and pdb 5ezo', 'supplementary files 4 and 6', 'supplementary files s2, s3', 'supplementary files s2, s3, figure 3', 'table ii and figure 7 and supplementary files 4 and 7'	11				
69	aetiology	N	'aetiology text page 925'	1				
70	ama1_007	N	'ama1_007'	1				
71	animals	N	'animals and methods'	1				
72	another	N	'another 10/1/23 test'	1				
73	test	N	'another 10/1/23 test', 'june30 2023 test', 'structure test', 'test 10/1/2023', 'test p e881', 'test page 121', 'test spliced bcell'	8				
74	10/1/23	N	'another 10/1/23 test'	1				
