location	index	char_normalized_location	char_normalized	char_valid?_location	char_normalization_score_location	word_normalized_location	word_normalized	word_valid?_location	word_normalization_score_location	phrase_normalized_location	phrase_normalized	phrase_valid?_location	phrase_normalization_score_location	overall_normalization_score_location	normalized_location	normalized	curator_review
3	0	3	N	pass	0	3	N	pass	0	['3']	N	fail	0	0	3	N	
149	1	149	N	pass	0	149	N	pass	0	['149']	N	fail	3	3	149	N	
484	2	484	N	pass	0	484	N	pass	0	['484']	N	fail	3	3	484	N	
7509375	3	7509375	N	pass	0	7509375	N	pass	0	['7509375']	N	fail	7	7	7509375	N	
3(I)	15	3(i)	Y	pass	1	3(i)	N	pass	0	['3']	Y	fail	3	3	3	N	
Abstract and Results (pg. 3031)	48	abstract and results (pg. 3031)	Y	pass	2	abstract and results (pg. 3031)	N	pass	0	['abstract', '3031']	Y	fail	31	31	abstract	Y	
Abstract and Results (pg. 3031)	48	abstract and results (pg. 3031)	Y	pass	2	abstract and results (pg. 3031)	N	pass	0	['abstract', '3031']	Y	fail	31	31	3031	N	
Abstract, Scheme 1	56	abstract, scheme 1	Y	pass	2	abstract, scheme 1	N	pass	0	['abstract', '1']	Y	fail	17	17	abstract	Y	
Abstract, Scheme 1	56	abstract, scheme 1	Y	pass	2	abstract, scheme 1	N	pass	0	['abstract', '1']	Y	fail	17	17	1	N	
Accession 23508148	63	accession 23508148	Y	pass	1	accession 23508148	N	pass	0	['23508148']	Y	fail	18	18	23508148	N	
another 10/1/23 test	88	another 10/1/23 test	N	pass	0	another 10/1/23 test	N	pass	0	['10', '1', '23']	Y	fail	19	19	10	N	
another 10/1/23 test	88	another 10/1/23 test	N	pass	0	another 10/1/23 test	N	pass	0	['10', '1', '23']	Y	fail	19	19	1	N	
another 10/1/23 test	88	another 10/1/23 test	N	pass	0	another 10/1/23 test	N	pass	0	['10', '1', '23']	Y	fail	19	19	23	N	
Appendix 1	89	appendix 1	Y	pass	1	appendix 1	N	pass	0	['1']	Y	fail	9	9	1	N	
AQP4 (111-130)	96	aqp4 (111-130)	Y	pass	3	aqp4 (111-130)	N	pass	0	['111', '130']	Y	fail	14	14	111	N	
AQP4 (111-130)	96	aqp4 (111-130)	Y	pass	3	aqp4 (111-130)	N	pass	0	['111', '130']	Y	fail	14	14	130	N	
AQP4 (121-140)	97	aqp4 (121-140)	Y	pass	3	aqp4 (121-140)	N	pass	0	['121', '140']	Y	fail	14	14	121	N	
AQP4 (121-140)	97	aqp4 (121-140)	Y	pass	3	aqp4 (121-140)	N	pass	0	['121', '140']	Y	fail	14	14	140	N	
AQP4 (131-150)	98	aqp4 (131-150)	Y	pass	3	aqp4 (131-150)	N	pass	0	['131', '150']	Y	fail	14	14	131	N	
AQP4 (131-150)	98	aqp4 (131-150)	Y	pass	3	aqp4 (131-150)	N	pass	0	['131', '150']	Y	fail	14	14	150	N	
AQP4 (141-160)	99	aqp4 (141-160)	Y	pass	3	aqp4 (141-160)	N	pass	0	['141', '160']	Y	fail	14	14	141	N	
AQP4 (141-160)	99	aqp4 (141-160)	Y	pass	3	aqp4 (141-160)	N	pass	0	['141', '160']	Y	fail	14	14	160	N	
AQP4 (151-170)	100	aqp4 (151-170)	Y	pass	3	aqp4 (151-170)	N	pass	0	['151', '170']	Y	fail	14	14	151	N	
AQP4 (151-170)	100	aqp4 (151-170)	Y	pass	3	aqp4 (151-170)	N	pass	0	['151', '170']	Y	fail	14	14	170	N	
AQP4 (161-180)	101	aqp4 (161-180)	Y	pass	3	aqp4 (161-180)	N	pass	0	['161', '180']	Y	fail	14	14	161	N	
AQP4 (161-180)	101	aqp4 (161-180)	Y	pass	3	aqp4 (161-180)	N	pass	0	['161', '180']	Y	fail	14	14	180	N	
AQP4 (171-190)	102	aqp4 (171-190)	Y	pass	3	aqp4 (171-190)	N	pass	0	['171', '190']	Y	fail	14	14	171	N	
AQP4 (171-190)	102	aqp4 (171-190)	Y	pass	3	aqp4 (171-190)	N	pass	0	['171', '190']	Y	fail	14	14	190	N	
AQP4 (181-200)	103	aqp4 (181-200)	Y	pass	3	aqp4 (181-200)	N	pass	0	['181', '200']	Y	fail	14	14	181	N	
AQP4 (181-200)	103	aqp4 (181-200)	Y	pass	3	aqp4 (181-200)	N	pass	0	['181', '200']	Y	fail	14	14	200	N	
AQP4 (191-210)	104	aqp4 (191-210)	Y	pass	3	aqp4 (191-210)	N	pass	0	['191', '210']	Y	fail	14	14	191	N	
AQP4 (191-210)	104	aqp4 (191-210)	Y	pass	3	aqp4 (191-210)	N	pass	0	['191', '210']	Y	fail	14	14	210	N	
AQP4 (201-220)	105	aqp4 (201-220)	Y	pass	3	aqp4 (201-220)	N	pass	0	['201', '220']	Y	fail	14	14	201	N	
AQP4 (201-220)	105	aqp4 (201-220)	Y	pass	3	aqp4 (201-220)	N	pass	0	['201', '220']	Y	fail	14	14	220	N	
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]	106	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	Y	pass	6	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	N	pass	0	['2000', '18', '2033', '8', '10706966']	Y	fail	55	55	2000	N	
Argiro et al. (2000). Vaccine 18:2033-8 [PMID: 10706966]	106	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	Y	pass	6	argiro et al. (2000). vaccine 18:2033-8 [pmid: 10706966]	N	pass	0	['2000', '18', '2033', '8', '10706966']	Y	fail	55	55	18	N	
