h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
6-8 weeks old	10000067	Mus musculus C57BL/6	6-8 weeks old		6.0	8.0	week		0
NULL	9606	Homo sapiens (human)	null						1
6-8 weeks old	10000000	Mus musculus BALB/c	6-8 weeks old		6.0	8.0	week		2
8 weeks	10000047	Mus musculus C57BL/10	8 weeks	8.0			week		3
49 years old	10000119	Homo sapiens Caucasian	49 years old	49.0			year		4
51 years old	10000119	Homo sapiens Caucasian	51 years old	51.0			year		5
NULL	10000067	Mus musculus C57BL/6	null						6
NULL	9598	Pan troglodytes (chimpanzee)	null						7
8-16 weeks	10000000	Mus musculus BALB/c	8-16 weeks		8.0	16.0	week		8
6-8 weeks old	10000051	Mus musculus C57BL/10 X DBA/2	6-8 weeks old		6.0	8.0	week		9
6-10 weeks old	10000000	Mus musculus BALB/c	6-10 weeks old		6.0	10.0	week		10
4-16 years old	9606	Homo sapiens (human)	4-16 years old		4.0	16.0	year		11
32-62 years	9606	Homo sapiens (human)	32-62 years		32.0	62.0	year		12
32-38 years	9606	Homo sapiens (human)	32-38 years		32.0	38.0	year		13
2-54 years	9606	Homo sapiens (human)	2-54 years		2.0	54.0	year		14
3-8 years	9606	Homo sapiens (human)	3-8 years		3.0	8.0	year		15
6-10 wk	10000047	Mus musculus C57BL/10	6-10 wk		6.0	10.0	week		16
24 years	9606	Homo sapiens (human)	24 years	24.0			year		17
6-12 weeks-old	10000219	Mus musculus C57BL/6 X CBA	6-12 weeks-old		6.0	12.0	week		18
29-38	9606	Homo sapiens (human)	29-38		29.0	38.0			19
NULL	10090	Mus musculus (mouse)	null						20
12-65 years old	9606	Homo sapiens (human)	12-65 years old		12.0	65.0	year		21
6-8 weeks	10000067	Mus musculus C57BL/6	6-8 weeks		6.0	8.0	week		22
6-12 weeks	10000067	Mus musculus C57BL/6	6-12 weeks		6.0	12.0	week		23
8-10 weeks	10000000	Mus musculus BALB/c	8-10 weeks		8.0	10.0	week		24
8-10 weeks	10000067	Mus musculus C57BL/6	8-10 weeks		8.0	10.0	week		25
45 years	9606	Homo sapiens (human)	45 years	45.0			year		26
10-15 weeks	10000276	Mus musculus B10.S	10-15 weeks		10.0	15.0	week		27
6-10 weeks	10001019	Mus musculus B10.D2	6-10 weeks		6.0	10.0	week		28
6-10 weeks	10000647	Mus musculus Quackenbush	6-10 weeks		6.0	10.0	week		29
NULL	10000607	Mus musculus HLA-DR3 Tg	null						30
8 weeks	10000000	Mus musculus BALB/c	8 weeks	8.0			week		31
6-8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	6-8 weeks		6.0	8.0	week		32
6-8 weeks	10000271	Mus musculus B10.M	6-8 weeks		6.0	8.0	week		33
6-8 weeks	10000253	Mus musculus A/J	6-8 weeks		6.0	8.0	week		35
Adults	9606	Homo sapiens (human)	adults					adults	36
26-72 years-old	9606	Homo sapiens (human)	26-72 years-old		26.0	72.0	year		37
4-6 weeks old	10000000	Mus musculus BALB/c	4-6 weeks old		4.0	6.0	week		38
20-55 years	9606	Homo sapiens (human)	20-55 years		20.0	55.0	year		39
55-69 years	9606	Homo sapiens (human)	55-69 years		55.0	69.0	year		40
2-4 months old	10000000	Mus musculus BALB/c	2-4 months old		2.0	4.0	month		41
2-4 months old	10000067	Mus musculus C57BL/6	2-4 months old		2.0	4.0	month		42
NULL	10000601	Mus musculus HLA-DR1 Tg	null						43
NULL	10000598	Mus musculus HLA-DQ8 Tg	null						44
33-52 years-old	9606	Homo sapiens (human)	33-52 years-old		33.0	52.0	year		45
26-45 years	9606	Homo sapiens (human)	26-45 years		26.0	45.0	year		46
7-74 years old	9606	Homo sapiens (human)	7-74 years old		7.0	74.0	year		47
6-8 weeks	10000038	Mus musculus C3H/He	6-8 weeks		6.0	8.0	week		48
21-45 years old	9606	Homo sapiens (human)	21-45 years old		21.0	45.0	year		49
8-24 weeks old	10000067	Mus musculus C57BL/6	8-24 weeks old		8.0	24.0	week		50
NULL	10000047	Mus musculus C57BL/10	null						51
NULL	10000094	Mus musculus C57BL/6 IAbeta null	null						52
NULL	10000188	Sus scrofa NIH miniature pig	null						53
average age 29.8 years	9606	Homo sapiens (human)	average age 29.8 years	29.8			year	average	54
18-91 years	9606	Homo sapiens (human)	18-91 years		18.0	91.0	year		55
NULL	10000645	Mus musculus PrP null	null						56
6-10 weeks	10000263	Mus musculus B10.BR	6-10 weeks		6.0	10.0	week		57
6-10 weeks	10000000	Mus musculus BALB/c	6-10 weeks		6.0	10.0	week		58
29-58 years	9606	Homo sapiens (human)	29-58 years		29.0	58.0	year		59
NULL	10000000	Mus musculus BALB/c	null						60
NULL	10000649	Mus musculus SJL	null						61
26-38 years	9606	Homo sapiens (human)	26-38 years		26.0	38.0	year		62
30-52 years-old	9606	Homo sapiens (human)	30-52 years-old		30.0	52.0	year		63
32- 53.5 years	9606	Homo sapiens (human)	32- 53.5 years		32.0	53.5	year		64
NULL	9534	Chlorocebus aethiops (African green monkey)	null						65
NULL	10000575	Mus musculus HBV(adr) transgenic BALB/c	null						66
32-74 years old	9606	Homo sapiens (human)	32-74 years old		32.0	74.0	year		67
6-10 weeks-old	10000038	Mus musculus C3H/He	6-10 weeks-old		6.0	10.0	week		68
NULL	10000582	Mus musculus HLA-A2 Tg	null						69
NULL	10000670	Cavia porcellus Ssc:AL	null						70
8-week-old	10000067	Mus musculus C57BL/6	8-week-old	8.0			week		71
6 weeks	10000038	Mus musculus C3H/He	6 weeks	6.0			week		72
44 years	9606	Homo sapiens (human)	44 years	44.0			year		73
8-12 weeks	10000263	Mus musculus B10.BR	8-12 weeks		8.0	12.0	week		74
31-39	9606	Homo sapiens (human)	31-39		31.0	39.0			75
7-8 weeks	10000649	Mus musculus SJL	7-8 weeks		7.0	8.0	week		76
6 weeks	10000000	Mus musculus BALB/c	6 weeks	6.0			week		78
NULL	10000276	Mus musculus B10.S	null						79
6-10 wk	10000271	Mus musculus B10.M	6-10 wk		6.0	10.0	week		80
Children and Adults	9606	Homo sapiens (human)	children and adults					children and adults	81
6-8 weeks old	10000030	Mus musculus C3H.JK	6-8 weeks old		6.0	8.0	week		82
NULL	10000119	Homo sapiens Caucasian	null						83
6-8 weeks	10000216	Mus musculus C57BL/6 X BALB/c	6-8 weeks		6.0	8.0	week		84
6-8 weeks	10000228	Mus musculus CBA	6-8 weeks		6.0	8.0	week		85
NULL	10001537	Mus musculus PL	null						86
6-10 weeks-old	10000000	Mus musculus BALB/c	6-10 weeks-old		6.0	10.0	week		87
NULL	10000275	Mus musculus B10.RIII	null						88
NULL	10000640	Mus musculus NZW	null						89
Adults and children	9606	Homo sapiens (human)	adults and children					adults and children	90
20 years old	9606	Homo sapiens (human)	20 years old	20.0			year		91
29-41 years	9606	Homo sapiens (human)	29-41 years		29.0	41.0	year		92
1-48 months-old	9606	Homo sapiens (human)	1-48 months-old		1.0	48.0	month		93
8-12 weeks-old	10000067	Mus musculus C57BL/6	8-12 weeks-old		8.0	12.0	week		94
6-8 weeks	10000000	Mus musculus BALB/c	6-8 weeks		6.0	8.0	week		95
Adult	9606	Homo sapiens (human)	adult					adult	96
NULL	9913	Bos taurus (bovine)	null						97
15 weeks	10000600	Mus musculus HLA-DR Transgenic	15 weeks	15.0			week		98
4-6 weeks	10000000	Mus musculus BALB/c	4-6 weeks		4.0	6.0	week		99
6-10 weeks	10000067	Mus musculus C57BL/6	6-10 weeks		6.0	10.0	week		100
6 to 8 weeks	10036	Mesocricetus auratus (Syrian golden hamster)	6 to 8 weeks		6.0	8.0	week		101
59 years	9606	Homo sapiens (human)	59 years	59.0			year		102
8-12 weeks	10000236	Mus musculus CBA/J	8-12 weeks		8.0	12.0	week		103
8-12 weeks	10000649	Mus musculus SJL	8-12 weeks		8.0	12.0	week		104
8-12 weeks	10000000	Mus musculus BALB/c	8-12 weeks		8.0	12.0	week		105
25-58 years old	9606	Homo sapiens (human)	25-58 years old		25.0	58.0	year		106
NULL	10000233	Mus musculus CBA/Ca	null						107
6 weeks-old	10000233	Mus musculus CBA/Ca	6 weeks-old	6.0			week		108
6-8 weeks old	10000047	Mus musculus C57BL/10	6-8 weeks old		6.0	8.0	week		109
14-65 years old	9606	Homo sapiens (human)	14-65 years old		14.0	65.0	year		110
7-8 weeks	10000000	Mus musculus BALB/c	7-8 weeks		7.0	8.0	week		111
31-58 years	9606	Homo sapiens (human)	31-58 years		31.0	58.0	year		112
6-10 wk	10000273	Mus musculus B10.P	6-10 wk		6.0	10.0	week		113
6-9 weeks	10000067	Mus musculus C57BL/6	6-9 weeks		6.0	9.0	week		114
36-70 years-old	9606	Homo sapiens (human)	36-70 years-old		36.0	70.0	year		115
18-45 years	9606	Homo sapiens (human)	18-45 years		18.0	45.0	year		116
6-10 weeks-old	10000063	Mus musculus B10.A	6-10 weeks-old		6.0	10.0	week		117
8-11 wk	10000000	Mus musculus BALB/c	8-11 wk		8.0	11.0	week		118
