h_age	h_organism_id	h_organism_name	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
11 or 18 weeks	10000025	Mus musculus Biozzi AB/H						141
5, 11 or 18 weeks	10000632	Mus musculus NOD						152
mean 54 years (range 19-68)	9606	Homo sapiens (human)						177
11 or 18 weeks	10000637	Mus musculus NODasp						208
5, 8, 11 or 18 weeks	10000632	Mus musculus NOD						346
1 month-old-81 years-old	9606	Homo sapiens (human)						426
children (mean age 7.2 years)	9606	Homo sapiens (human)						505
5 months-3 years	9606	Homo sapiens (human)						542
6 months to 2 years	9606	Homo sapiens (human)						610
6 weeks or older	10000233	Mus musculus CBA/Ca						651
6 weeks or older	10000000	Mus musculus BALB/c						679
37 yrs average	9606	Homo sapiens (human)						686
37 yrs. average	9606	Homo sapiens (human)						720
adults and children (ages 4.5-10.5 and 15-44)	9606	Homo sapiens (human)						772
at least 8 weeks old	10000067	Mus musculus C57BL/6						777
average of 30.2 years	9606	Homo sapiens (human)						844
~ 33 to 55 years	9606	Homo sapiens (human)						920
23 and 61 years	9606	Homo sapiens (human)						937
11 or 18 weeks	10000632	Mus musculus NOD						968
10 to over 90 years	9606	Homo sapiens (human)						979
adult (within 24 hours of parturition)	9606	Homo sapiens (human)						988
2 months and 5 months	10000224	Mus musculus C57BL/6JTgN(Alb1HBV)44Bri						1012
5 or 6 weeks	10090	Mus musculus (mouse)						1034
6 weeks or older	10090	Mus musculus (mouse)						1038
18, 35 years	9606	Homo sapiens (human)						1062
7 yo 8 weeks	10000576	Mus musculus HLA-A*02:01 Tg						1074
5 or 8 weeks	10000632	Mus musculus NOD						1078
35.4 yrs. average	9606	Homo sapiens (human)						1091
2 months to 52 years	9606	Homo sapiens (human)						1134
9 or 20 weeks	10000632	Mus musculus NOD						1197
mean=28.5 ± 15.0	9606	Homo sapiens (human)						1232
2, 3, or 4 months	10000632	Mus musculus NOD						1259
10.1 ± 3.6 yr	9606	Homo sapiens (human)						1261
38.6 years (mean age)	9606	Homo sapiens (human)						1336
2 months or 2-10 months	10000047	Mus musculus C57BL/10						1345
within 12 hours of birth	10000038	Mus musculus C3H/He						1403
older than 8 weeks	10000216	Mus musculus C57BL/6 X BALB/c						1413
adult (avg. age = 30.8 years)	9606	Homo sapiens (human)						1495
24 hours after birth	10000274	Mus musculus B10.PL						1524
children (avg. age = 9.5 years)	9606	Homo sapiens (human)						1543
