input_word	correct_term	occurrences
tbl	table	0
tabe	table	0
tabl	table	0
tabel	table	0
tables	table	0
fig	figure	1
fig.	figure	0
figs	figure	0
figur	figure	0
figgure	figure	0
figures	figure	6
dataset	data	0
datta	data	0
dat	data	0
dta	data	0
titel	title	0
tittle	title	0
titl	title	0
abstarct	abstract	0
absract	abstract	0
abst	abstract	0
abs	abstract	0
refence	reference	0
referce	reference	0
refernce	reference	0
referece	reference	0
referenc	reference	0
referecne	reference	0
references	reference	0
supplementary	supplemental	2
supplimentary	supplemental	0
supplimentry	supplemental	0
supplem	supplemental	0
supp.	supplemental	0
supp	supplemental	0
suppl	supplemental	0
p.	page	0
pg.	page	0
pg	page	0
pages	page	0
text p.	page	0
